Linux 6.8.0-1063-gcp (csb-bench-host-gcp) 	08/05/26 	_x86_64_	(4 CPU)

04:12:35     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:12:36     all    1.00    0.00    1.25   97.25    0.00    0.00    0.00    0.00    0.00    0.50
04:12:37     all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
04:12:38     all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
04:12:39     all    0.00    0.00    0.51   99.49    0.00    0.00    0.00    0.00    0.00    0.00
04:12:40     all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
04:12:41     all    0.00    0.00    0.75   99.00    0.00    0.25    0.00    0.00    0.00    0.00
04:12:42     all    0.25    0.00    1.00   98.75    0.00    0.00    0.00    0.00    0.00    0.00
04:12:43     all    0.00    0.00    0.75   99.25    0.00    0.00    0.00    0.00    0.00    0.00
04:12:44     all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
04:12:45     all    0.00    0.00    0.25   99.50    0.00    0.00    0.25    0.00    0.00    0.00
04:12:46     all    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00    0.00    0.00
04:12:47     all    0.00    0.00    0.50   99.25    0.00    0.00    0.25    0.00    0.00    0.00
04:12:48     all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
04:12:49     all    0.25    0.00    0.75   99.00    0.00    0.00    0.00    0.00    0.00    0.00
04:12:50     all    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00    0.00    0.00
04:12:51     all    0.00    0.00    0.75   99.25    0.00    0.00    0.00    0.00    0.00    0.00
04:12:52     all    0.00    0.00    0.50   99.25    0.00    0.25    0.00    0.00    0.00    0.00
04:12:53     all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
04:12:54     all    0.00    0.00    0.75   99.25    0.00    0.00    0.00    0.00    0.00    0.00
04:12:55     all    0.00    0.00    0.75   99.25    0.00    0.00    0.00    0.00    0.00    0.00
04:12:56     all    0.00    0.00    0.51   99.49    0.00    0.00    0.00    0.00    0.00    0.00
04:12:57     all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
04:12:58     all    0.00    0.00    0.75   99.25    0.00    0.00    0.00    0.00    0.00    0.00
04:12:59     all    0.25    0.00    0.50   99.25    0.00    0.00    0.00    0.00    0.00    0.00
04:13:00     all    0.00    0.00    0.51   99.49    0.00    0.00    0.00    0.00    0.00    0.00
04:13:01     all    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00    0.00    0.00
04:13:02     all    0.00    0.00    0.75   99.00    0.00    0.25    0.00    0.00    0.00    0.00
04:13:03     all    0.00    0.00    0.75   99.25    0.00    0.00    0.00    0.00    0.00    0.00
04:13:04     all    0.00    0.00    0.51   99.49    0.00    0.00    0.00    0.00    0.00    0.00
04:13:05     all    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00    0.00    0.00
04:13:06     all    0.25    0.00    0.25   99.50    0.00    0.00    0.00    0.00    0.00    0.00
04:13:07     all    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00    0.00    0.00
04:13:08     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
04:13:09     all    0.00    0.00    0.51   99.49    0.00    0.00    0.00    0.00    0.00    0.00
04:13:10     all    0.00    0.00    0.75   99.00    0.00    0.25    0.00    0.00    0.00    0.00
04:13:11     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
04:13:12     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
04:13:13     all    0.00    0.00    0.51   99.49    0.00    0.00    0.00    0.00    0.00    0.00
04:13:14     all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
04:13:15     all    0.00    0.00    0.75   99.25    0.00    0.00    0.00    0.00    0.00    0.00
04:13:16     all    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00    0.00    0.00
04:13:17     all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
04:13:18     all    0.25    0.00    1.00   98.75    0.00    0.00    0.00    0.00    0.00    0.00
04:13:19     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
04:13:20     all    0.00    0.00    0.75   99.25    0.00    0.00    0.00    0.00    0.00    0.00
04:13:21     all    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00    0.00    0.00
04:13:22     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
04:13:23     all    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00    0.00    0.00
04:13:24     all    0.00    0.00    0.50   99.24    0.00    0.25    0.00    0.00    0.00    0.00
04:13:25     all    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00    0.00    0.00
04:13:26     all    0.00    0.00    0.75   99.25    0.00    0.00    0.00    0.00    0.00    0.00
04:13:27     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
04:13:28     all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
04:13:29     all    0.00    0.00    1.00   98.75    0.00    0.25    0.00    0.00    0.00    0.00
04:13:30     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
04:13:31     all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
04:13:32     all    0.00    0.00    0.75   99.25    0.00    0.00    0.00    0.00    0.00    0.00
04:13:33     all    0.25    0.00    0.25   99.49    0.00    0.00    0.00    0.00    0.00    0.00
04:13:34     all    0.00    0.00    1.00   98.75    0.00    0.00    0.25    0.00    0.00    0.00
04:13:35     all    0.00    0.00    0.75   99.25    0.00    0.00    0.00    0.00    0.00    0.00
04:13:36     all    0.25    0.00    0.25   99.49    0.00    0.00    0.00    0.00    0.00    0.00
04:13:37     all    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00    0.00    0.00
04:13:38     all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
04:13:39     all    0.00    0.00    0.25   99.50    0.00    0.25    0.00    0.00    0.00    0.00
04:13:40     all    0.00    0.00    0.51   99.49    0.00    0.00    0.00    0.00    0.00    0.00
04:13:41     all    0.00    0.00    0.75   99.25    0.00    0.00    0.00    0.00    0.00    0.00
04:13:42     all    0.00    0.00    0.51   99.49    0.00    0.00    0.00    0.00    0.00    0.00
04:13:43     all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
04:13:44     all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
04:13:45     all    0.00    0.00    0.51   99.49    0.00    0.00    0.00    0.00    0.00    0.00
04:13:46     all    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00    0.00    0.00
