ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2026-08-04T20:34:10.624+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,MKDIRS,5,18,1731,8486,,,,,50,25,10,160,,,23,33,72,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/gcp-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T20:34:10.643+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,WRITE,9315,18142,88913,88188,,,,,100,99,828239,1600000,,,16,165,238334,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/gcp-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T20:34:28.787+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,STAT,964,1305,1232655,1225958,,,,,100,99,1188496,1600000,,,1,9,21020,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/gcp-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T20:34:30.092+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,RMFILES,13098,13680,115393,116952,,,,,71,72,1511422,1600000,,,11,132,1638380,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/gcp-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T20:34:43.774+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,RMDIRS,416,691,218,231,,,,,100,98,91,160,,,6023,58727,114674,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/gcp-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T20:34:44.542+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,MKDIRS,0,3,33333,40795,,,,,0,50,24,160,,,30,44,682,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/gcp-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T20:34:44.546+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,WRITE,18603,19812,80364,80756,,,,,90,91,1495047,1600000,,,15,191,766110,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/gcp-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T20:35:04.360+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,STAT,1195,1303,1241078,1227029,,,,,100,99,1484250,1600000,,,1,9,15019,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/gcp-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T20:35:05.664+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,RMFILES,12601,13282,117485,120456,,,,,74,75,1480471,1600000,,,11,128,933501,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/gcp-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T20:35:18.947+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,RMDIRS,395,645,237,247,,,,,100,99,94,160,,,8163,55916,133937,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/gcp-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
