Linux 6.8.0-1063-gcp (csb-bench-host-gcp) 	08/04/26 	_x86_64_	(4 CPU)

20:34:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:34:45     all    4.22    0.00   95.04    0.00    0.00    0.00    0.00    0.00    0.00    0.74
20:34:46     all    2.49    0.00   70.57    5.49    0.00    0.50    0.00    0.00    0.00   20.95
20:34:47     all    3.49    0.00   96.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:34:48     all    3.48    0.00   96.52    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:34:49     all    2.52    0.00   97.48    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:34:50     all    3.23    0.00   96.77    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:34:51     all    2.51    0.00   63.91    7.02    0.00    0.50    0.00    0.00    0.00   26.07
20:34:52     all    3.76    0.00   88.47    1.50    0.00    0.00    0.00    0.00    0.00    6.27
20:34:53     all    3.47    0.00   96.53    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:34:54     all    3.50    0.00   96.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:34:55     all    3.00    0.00   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:34:56     all    1.74    0.00   63.18    7.46    0.00    1.00    0.00    0.00    0.00   26.62
20:34:57     all    3.46    0.00   92.35    0.74    0.00    0.00    0.00    0.00    0.00    3.46
20:34:58     all    3.77    0.00   96.23    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:34:59     all    3.23    0.00   96.77    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:00     all    2.99    0.00   97.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:01     all    2.50    0.00   62.00    7.75    0.00    0.25    0.00    0.00    0.00   27.50
20:35:02     all    2.01    0.00   67.59   23.37    0.00    0.50    0.00    0.00    0.00    6.53
20:35:03     all    3.25    0.00   96.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:04     all    8.23    0.00   91.02    0.00    0.00    0.00    0.00    0.00    0.00    0.75
20:35:05     all   22.19    0.00   77.81    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:06     all    4.50    0.00   57.00   12.00    0.00    0.75    0.00    0.00    0.00   25.75
20:35:07     all    2.98    0.00   61.04   25.06    0.00    1.24    0.00    0.00    0.00    9.68
20:35:08     all    3.50    0.00   92.75    0.00    0.00    0.00    0.00    0.00    0.00    3.75
20:35:09     all    4.50    0.00   92.50    0.00    0.00    0.00    0.00    0.00    0.00    3.00
20:35:10     all    1.50    0.00   28.75   33.75    0.00    1.00    0.00    0.00    0.00   35.00
20:35:11     all    3.74    0.00   79.80   13.97    0.00    0.25    0.00    0.00    0.00    2.24
20:35:12     all    4.00    0.00   93.50    0.00    0.00    0.00    0.00    0.00    0.00    2.50
20:35:13     all    4.01    0.00   92.73    0.00    0.00    0.00    0.00    0.00    0.00    3.26
20:35:14     all    0.75    0.00   17.41   44.28    0.00    1.00    0.00    0.00    0.00   36.57
20:35:15     all    3.99    0.00   92.52    0.00    0.00    0.25    0.00    0.00    0.00    3.24
20:35:16     all    3.76    0.00   93.73    0.00    0.00    0.00    0.00    0.00    0.00    2.51
20:35:17     all    4.24    0.00   69.83    4.49    0.00    0.50    0.00    0.00    0.00   20.95
20:35:18     all    2.27    0.00   53.15   28.21    0.00    0.25    0.00    0.00    0.00   16.12
20:35:19     all    1.74    0.00   88.56    0.00    0.00    4.48    0.00    0.00    0.00    5.22
20:35:20     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:21     all    0.25    0.00    3.51   17.79    0.00    2.01    0.00    0.00    0.00   76.44
20:35:22     all    0.00    0.00    0.75    7.77    0.00    0.50    0.00    0.00    0.00   90.98
20:35:23     all    0.00    0.00    1.00    1.50    0.00    0.25    0.00    0.00    0.00   97.25
20:35:24     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:25     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:26     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:27     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:28     all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
20:35:29     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
