Linux 6.8.0-1063-gcp (csb-bench-host-gcp) 	08/05/26 	_x86_64_	(4 CPU)

04:21:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:21:11     all    0.77    0.00    2.05   96.41    0.00    0.00    0.00    0.00    0.00    0.77
04:21:12     all    0.26    0.00    2.05   97.70    0.00    0.00    0.00    0.00    0.00    0.00
04:21:13     all    0.00    0.00    2.30   97.70    0.00    0.00    0.00    0.00    0.00    0.00
04:21:14     all    0.51    0.00    2.53   96.72    0.00    0.25    0.00    0.00    0.00    0.00
04:21:15     all    0.25    0.00    3.05   96.70    0.00    0.00    0.00    0.00    0.00    0.00
04:21:16     all    0.26    0.00    2.04   97.70    0.00    0.00    0.00    0.00    0.00    0.00
04:21:17     all    0.26    0.00    2.55   97.19    0.00    0.00    0.00    0.00    0.00    0.00
04:21:18     all    0.51    0.00    2.05   97.44    0.00    0.00    0.00    0.00    0.00    0.00
04:21:19     all    0.00    0.00    2.54   97.20    0.00    0.00    0.25    0.00    0.00    0.00
04:21:20     all    0.00    0.00    2.53   97.22    0.00    0.25    0.00    0.00    0.00    0.00
04:21:21     all    0.51    0.00    2.04   97.20    0.00    0.00    0.25    0.00    0.00    0.00
04:21:22     all    0.25    0.00    3.04   96.71    0.00    0.00    0.00    0.00    0.00    0.00
04:21:23     all    0.25    0.00    3.04   96.71    0.00    0.00    0.00    0.00    0.00    0.00
04:21:24     all    0.51    0.00    2.04   97.45    0.00    0.00    0.00    0.00    0.00    0.00
04:21:25     all    0.50    0.00    2.52   96.47    0.00    0.25    0.25    0.00    0.00    0.00
04:21:26     all    0.25    0.00    2.79   96.95    0.00    0.00    0.00    0.00    0.00    0.00
04:21:27     all    0.77    0.00    1.53   97.70    0.00    0.00    0.00    0.00    0.00    0.00
04:21:28     all    0.00    0.00    2.54   97.20    0.00    0.00    0.25    0.00    0.00    0.00
04:21:29     all    0.00    0.00    2.79   96.70    0.00    0.25    0.00    0.00    0.00    0.25
04:21:30     all    0.26    0.00    2.05   97.69    0.00    0.00    0.00    0.00    0.00    0.00
04:21:31     all    0.26    0.00    2.30   97.45    0.00    0.00    0.00    0.00    0.00    0.00
04:21:32     all    0.51    0.00    2.29   97.20    0.00    0.00    0.00    0.00    0.00    0.00
04:21:33     all    0.00    0.00    3.05   96.95    0.00    0.00    0.00    0.00    0.00    0.00
04:21:34     all    0.26    0.00    2.05   97.70    0.00    0.00    0.00    0.00    0.00    0.00
04:21:35     all    0.25    0.00    2.28   97.21    0.00    0.25    0.00    0.00    0.00    0.00
04:21:36     all    0.51    0.00    2.30   97.19    0.00    0.00    0.00    0.00    0.00    0.00
04:21:37     all    0.00    0.00    2.80   97.20    0.00    0.00    0.00    0.00    0.00    0.00
04:21:38     all    0.26    0.00    1.54   98.20    0.00    0.00    0.00    0.00    0.00    0.00
04:21:39     all    0.51    0.00    3.03   96.46    0.00    0.00    0.00    0.00    0.00    0.00
04:21:40     all    0.76    0.00    2.03   96.96    0.00    0.25    0.00    0.00    0.00    0.00
04:21:41     all    0.26    0.00    2.30   97.44    0.00    0.00    0.00    0.00    0.00    0.00
04:21:42     all    0.50    0.00    3.51   95.74    0.00    0.00    0.25    0.00    0.00    0.00
04:21:43     all    0.25    0.00    2.78   96.72    0.00    0.25    0.00    0.00    0.00    0.00
04:21:44     all    0.51    0.00    2.04   97.45    0.00    0.00    0.00    0.00    0.00    0.00
04:21:45     all    0.25    0.00    2.78   96.96    0.00    0.00    0.00    0.00    0.00    0.00
04:21:46     all    0.25    0.00    2.80   96.95    0.00    0.00    0.00    0.00    0.00    0.00
04:21:47     all    0.00    0.00    3.05   96.95    0.00    0.00    0.00    0.00    0.00    0.00
04:21:48     all    0.51    0.00    2.79   96.70    0.00    0.00    0.00    0.00    0.00    0.00
04:21:49     all    0.76    0.00    2.29   96.69    0.00    0.25    0.00    0.00    0.00    0.00
04:21:50     all    0.00    0.00    2.56   97.19    0.00    0.26    0.00    0.00    0.00    0.00
04:21:51     all    0.00    0.00    2.78   96.96    0.00    0.25    0.00    0.00    0.00    0.00
04:21:52     all    0.76    0.00    2.53   96.71    0.00    0.00    0.00    0.00    0.00    0.00
04:21:53     all    0.25    0.00    3.03   96.46    0.00    0.00    0.25    0.00    0.00    0.00
04:21:54     all    0.25    0.00    2.79   96.95    0.00    0.00    0.00    0.00    0.00    0.00
04:21:55     all    0.51    0.00    3.03   96.46    0.00    0.00    0.00    0.00    0.00    0.00
04:21:56     all    0.25    0.00    2.29   97.20    0.00    0.25    0.00    0.00    0.00    0.00
04:21:57     all    0.25    0.00    2.29   97.20    0.00    0.00    0.25    0.00    0.00    0.00
04:21:58     all    0.26    0.00    2.30   97.45    0.00    0.00    0.00    0.00    0.00    0.00
04:21:59     all    0.26    0.00    2.30   97.44    0.00    0.00    0.00    0.00    0.00    0.00
04:22:00     all    0.51    0.00    2.29   97.20    0.00    0.00    0.00    0.00    0.00    0.00
04:22:01     all    0.25    0.00    3.02   96.22    0.00    0.25    0.25    0.00    0.00    0.00
04:22:02     all    0.26    0.00    2.55   97.19    0.00    0.00    0.00    0.00    0.00    0.00
04:22:03     all    0.26    0.00    2.30   97.44    0.00    0.00    0.00    0.00    0.00    0.00
04:22:04     all    0.50    0.00    3.02   96.22    0.00    0.00    0.25    0.00    0.00    0.00
04:22:05     all    0.00    0.00    2.79   97.21    0.00    0.00    0.00    0.00    0.00    0.00
04:22:06     all    0.51    0.00    2.54   96.69    0.00    0.25    0.00    0.00    0.00    0.00
04:22:07     all    0.51    0.00    2.53   96.97    0.00    0.00    0.00    0.00    0.00    0.00
04:22:08     all    0.00    0.00    3.05   96.95    0.00    0.00    0.00    0.00    0.00    0.00
04:22:09     all    0.26    0.00    2.05   97.70    0.00    0.00    0.00    0.00    0.00    0.00
04:22:10     all    0.51    0.00    2.53   96.96    0.00    0.00    0.00    0.00    0.00    0.00
04:22:11     all    0.00    0.00    2.06   97.94    0.00    0.00    0.00    0.00    0.00    0.00
04:22:12     all    0.00    0.00    2.30   97.70    0.00    0.00    0.00    0.00    0.00    0.00
04:22:13     all    0.25    0.00    2.54   97.21    0.00    0.00    0.00    0.00    0.00    0.00
04:22:14     all    0.25    0.00    2.04   97.46    0.00    0.25    0.00    0.00    0.00    0.00
04:22:15     all    0.51    0.00    2.78   96.71    0.00    0.00    0.00    0.00    0.00    0.00
04:22:16     all    0.25    0.00    3.04   96.71    0.00    0.00    0.00    0.00    0.00    0.00
04:22:17     all    0.25    0.00    2.29   97.46    0.00    0.00    0.00    0.00    0.00    0.00
04:22:18     all    0.25    0.00    2.79   96.95    0.00    0.00    0.00    0.00    0.00    0.00
04:22:19     all    0.25    0.00    2.29   97.46    0.00    0.00    0.00    0.00    0.00    0.00
04:22:20     all    0.26    0.00    2.55   97.19    0.00    0.00    0.00    0.00    0.00    0.00
04:22:21     all    0.00    0.00    2.05   97.95    0.00    0.00    0.00    0.00    0.00    0.00
04:22:22     all    0.26    0.00    2.04   97.45    0.00    0.00    0.26    0.00    0.00    0.00
