Linux 6.8.0-1063-gcp (csb-bench-host-gcp) 	08/04/26 	_x86_64_	(4 CPU)

20:50:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:50:57     all    6.33    0.00    2.53   89.87    0.00    0.25    0.00    0.00    0.00    1.01
20:50:58     all    5.08    0.00    2.79   91.88    0.00    0.25    0.00    0.00    0.00    0.00
20:50:59     all    4.86    0.00    2.56   92.58    0.00    0.00    0.00    0.00    0.00    0.00
20:51:00     all    4.82    0.00    3.05   92.13    0.00    0.00    0.00    0.00    0.00    0.00
20:51:01     all    5.85    0.00    2.29   91.60    0.00    0.25    0.00    0.00    0.00    0.00
20:51:02     all    6.82    0.00    2.53   90.66    0.00    0.00    0.00    0.00    0.00    0.00
20:51:03     all    8.27    0.00    3.01   88.72    0.00    0.00    0.00    0.00    0.00    0.00
20:51:04     all    7.09    0.00    2.53   90.38    0.00    0.00    0.00    0.00    0.00    0.00
20:51:05     all    7.07    0.00    2.27   90.66    0.00    0.00    0.00    0.00    0.00    0.00
20:51:06     all    6.35    0.00    2.54   90.61    0.00    0.25    0.25    0.00    0.00    0.00
20:51:07     all    6.12    0.00    2.81   90.56    0.00    0.26    0.26    0.00    0.00    0.00
20:51:08     all    7.65    0.00    3.70   88.40    0.00    0.25    0.00    0.00    0.00    0.00
20:51:09     all    7.36    0.00    2.28   90.36    0.00    0.00    0.00    0.00    0.00    0.00
20:51:10     all    6.89    0.00    2.30   90.82    0.00    0.00    0.00    0.00    0.00    0.00
20:51:11     all    7.07    0.00    2.53   89.90    0.00    0.25    0.25    0.00    0.00    0.00
20:51:12     all    5.37    0.00    2.56   92.07    0.00    0.00    0.00    0.00    0.00    0.00
20:51:13     all    6.28    0.00    3.02   90.45    0.00    0.25    0.00    0.00    0.00    0.00
20:51:14     all    4.34    0.00    2.55   92.86    0.00    0.00    0.26    0.00    0.00    0.00
20:51:15     all    4.86    0.00    2.05   93.09    0.00    0.00    0.00    0.00    0.00    0.00
20:51:16     all    4.55    0.00    3.54   91.92    0.00    0.00    0.00    0.00    0.00    0.00
20:51:17     all    5.56    0.00    2.53   91.67    0.00    0.25    0.00    0.00    0.00    0.00
20:51:18     all    5.79    0.00    2.52   91.18    0.00    0.50    0.00    0.00    0.00    0.00
20:51:19     all    4.58    0.00    2.54   92.88    0.00    0.00    0.00    0.00    0.00    0.00
20:51:20     all    5.85    0.00    2.04   92.11    0.00    0.00    0.00    0.00    0.00    0.00
20:51:21     all    4.81    0.00    3.04   91.90    0.00    0.25    0.00    0.00    0.00    0.00
20:51:22     all    3.62    0.00    2.07   94.32    0.00    0.00    0.00    0.00    0.00    0.00
20:51:23     all    6.52    0.00    2.76   90.73    0.00    0.00    0.00    0.00    0.00    0.00
20:51:24     all    5.84    0.00    2.54   91.62    0.00    0.00    0.00    0.00    0.00    0.00
20:51:25     all    5.81    0.00    2.53   91.41    0.00    0.25    0.00    0.00    0.00    0.00
20:51:26     all    6.58    0.00    2.28   91.14    0.00    0.00    0.00    0.00    0.00    0.00
20:51:27     all    6.30    0.00    2.52   91.18    0.00    0.00    0.00    0.00    0.00    0.00
20:51:28     all    5.04    0.00    2.77   91.69    0.00    0.25    0.00    0.00    0.00    0.25
20:51:29     all    4.82    0.00    3.05   92.13    0.00    0.00    0.00    0.00    0.00    0.00
20:51:30     all    5.57    0.00    2.78   91.14    0.00    0.51    0.00    0.00    0.00    0.00
20:51:31     all    6.33    0.00    2.53   90.89    0.00    0.25    0.00    0.00    0.00    0.00
20:51:32     all    6.57    0.00    2.53   90.91    0.00    0.00    0.00    0.00    0.00    0.00
20:51:33     all    6.08    0.00    3.29   68.10    0.00    0.00    0.00    0.00    0.00   22.53
20:51:34     all    1.78    0.00    3.05   22.65    0.00    0.00    0.00    0.00    0.00   72.52
20:51:35     all    2.51    0.00    3.27   21.86    0.00    0.00    0.00    0.00    0.00   72.36
20:51:36     all    2.78    0.00    3.04   21.52    0.00    0.00    0.00    0.00    0.00   72.66
20:51:37     all    2.77    0.00    2.77   21.41    0.00    0.00    0.25    0.00    0.00   72.80
20:51:38     all    1.52    0.00    2.79   21.83    0.00    0.00    0.00    0.00    0.00   73.86
20:51:39     all    2.03    0.00    2.78   21.52    0.00    0.00    0.00    0.00    0.00   73.67
20:51:40     all    3.26    0.00    3.01   21.55    0.00    0.00    0.25    0.00    0.00   71.93
20:51:41     all    3.02    0.00    3.02   21.61    0.00    0.00    0.00    0.00    0.00   72.36
20:51:42     all    2.76    0.00    3.02   21.36    0.00    0.00    0.00    0.00    0.00   72.86
20:51:43     all    2.05    0.00    3.07   21.74    0.00    0.00    0.00    0.00    0.00   73.15
20:51:44     all    2.54    0.00    2.79   21.57    0.00    0.00    0.00    0.00    0.00   73.10
20:51:45     all    2.02    0.00    3.27   21.41    0.00    0.00    0.00    0.00    0.00   73.30
20:51:46     all    2.28    0.00    2.79   21.83    0.00    0.00    0.00    0.00    0.00   73.10
20:51:47     all    2.26    0.00    3.51   21.30    0.00    0.00    0.25    0.00    0.00   72.68
20:51:48     all    1.52    0.00    3.04   21.77    0.00    0.00    0.00    0.00    0.00   73.67
20:51:49     all    1.03    0.00    2.56   21.79    0.00    0.00    0.00    0.00    0.00   74.62
20:51:50     all    1.76    0.00    3.53   21.41    0.00    0.00    0.00    0.00    0.00   73.30
20:51:51     all    2.27    0.00    3.03   21.46    0.00    0.00    0.00    0.00    0.00   73.23
20:51:52     all    2.02    0.00    3.02   21.16    0.00    0.00    0.25    0.00    0.00   73.55
20:51:53     all    2.01    0.00    3.51   21.55    0.00    0.00    0.00    0.00    0.00   72.93
20:51:54     all    2.27    0.00    3.28   21.46    0.00    0.00    0.00    0.00    0.00   72.98
20:51:55     all    2.02    0.00    3.53   21.16    0.00    0.00    0.00    0.00    0.00   73.30
20:51:56     all    2.53    0.00    3.04   21.27    0.00    0.00    0.00    0.00    0.00   73.16
20:51:57     all    2.76    0.00    3.52   21.61    0.00    0.00    0.00    0.00    0.00   72.11
20:51:58     all    3.01    0.00    3.26   21.30    0.00    0.00    0.00    0.00    0.00   72.43
20:51:59     all    2.27    0.00    3.28   21.46    0.00    0.00    0.00    0.00    0.00   72.98
20:52:00     all    2.78    0.00    3.29   21.27    0.00    0.00    0.00    0.00    0.00   72.66
20:52:01     all    3.04    0.00    3.04   21.52    0.00    0.00    0.00    0.00    0.00   72.41
20:52:02     all    3.03    0.00    3.28   21.21    0.00    0.00    0.00    0.00    0.00   72.47
20:52:03     all    2.51    0.00    3.51   21.30    0.00    0.00    0.00    0.00    0.00   72.68
20:52:04     all    1.79    0.00    2.81   21.48    0.00    0.00    0.00    0.00    0.00   73.91
20:52:05     all    1.76    0.00    2.77   21.91    0.00    0.00    0.00    0.00    0.00   73.55
20:52:06     all    3.05    0.00    3.05   21.12    0.00    0.00    0.00    0.00    0.00   72.77
20:52:07     all    2.80    0.00    2.54   21.63    0.00    0.00    0.00    0.00    0.00   73.03
20:52:08     all    3.00    0.00    4.00   21.00    0.00    0.00    0.00    0.00    0.00   72.00
20:52:09     all    3.04    0.00    2.78   21.52    0.00    0.00    0.00    0.00    0.00   72.66
20:52:10     all    2.53    0.00    2.78   21.27    0.00    0.00    0.00    0.00    0.00   73.42
20:52:11     all    1.52    0.00    3.04   21.77    0.00    0.00    0.00    0.00    0.00   73.67
20:52:12     all    1.80    0.00    2.32   21.39    0.00    0.00    0.26    0.00    0.00   74.23
20:52:13     all    2.01    0.00    3.01   21.80    0.00    0.00    0.00    0.00    0.00   73.18
20:52:14     all    1.78    0.00    3.05   21.32    0.00    0.00    0.00    0.00    0.00   73.86
20:52:15     all    2.51    0.00    3.51   21.30    0.00    0.25    0.00    0.00    0.00   72.43
20:52:16     all    2.27    0.00    2.78   21.46    0.00    0.00    0.00    0.00    0.00   73.48
20:52:17     all    2.02    0.00    3.53   21.41    0.00    0.00    0.00    0.00    0.00   73.05
20:52:18     all    2.03    0.00    2.53   21.52    0.00    0.00    0.00    0.00    0.00   73.92
20:52:19     all    2.54    0.00    3.05   21.63    0.00    0.00    0.00    0.00    0.00   72.77
20:52:20     all    3.26    0.00    2.76   21.55    0.00    0.00    0.00    0.00    0.00   72.43
20:52:21     all    2.27    0.00    3.28   21.21    0.00    0.00    0.00    0.00    0.00   73.23
20:52:22     all    2.27    0.00    3.27   21.41    0.00    0.00    0.00    0.00    0.00   73.05
20:52:23     all    3.27    0.00    2.77   21.41    0.00    0.00    0.25    0.00    0.00   72.29
20:52:24     all    2.78    0.00    3.29   21.01    0.00    0.00    0.00    0.00    0.00   72.91
20:52:25     all    1.52    0.00    2.54   22.08    0.00    0.25    0.00    0.00    0.00   73.60
20:52:26     all    1.78    0.00    3.05   21.32    0.00    0.00    0.00    0.00    0.00   73.86
20:52:27     all    2.28    0.00    3.04   21.27    0.00    0.00    0.00    0.00    0.00   73.42
20:52:28     all    1.77    0.00    2.78   21.72    0.00    0.00    0.00    0.00    0.00   73.74
20:52:29     all    1.78    0.00    2.54   21.88    0.00    0.00    0.00    0.00    0.00   73.79
20:52:30     all    1.75    0.00    3.74   21.45    0.00    0.25    0.00    0.00    0.00   72.82
20:52:31     all    2.02    0.00    3.27   21.41    0.00    0.00    0.00    0.00    0.00   73.30
20:52:32     all    1.79    0.00    2.82   21.28    0.00    0.00    0.00    0.00    0.00   74.10
20:52:33     all    2.28    0.00    2.03   21.77    0.00    0.00    0.00    0.00    0.00   73.92
20:52:34     all    1.51    0.00    3.77   21.36    0.00    0.00    0.00    0.00    0.00   73.37
20:52:35     all    1.77    0.00    2.78   21.77    0.00    0.00    0.25    0.00    0.00   73.42
20:52:36     all    1.03    0.00    2.56   21.54    0.00    0.00    0.26    0.00    0.00   74.62
20:52:37     all    2.01    0.00    3.01   21.80    0.00    0.00    0.00    0.00    0.00   73.18
20:52:38     all    2.27    0.00    3.27   21.16    0.00    0.00    0.00    0.00    0.00   73.30
20:52:39     all    1.77    0.00    3.29   21.52    0.00    0.00    0.00    0.00    0.00   73.42
20:52:40     all    2.52    0.00    3.02   21.66    0.00    0.00    0.00    0.00    0.00   72.80
20:52:41     all    2.27    0.00    3.54   21.21    0.00    0.00    0.00    0.00    0.00   72.98
20:52:42     all    1.77    0.00    2.78   21.97    0.00    0.00    0.00    0.00    0.00   73.48
20:52:43     all    1.28    0.00    3.06   21.43    0.00    0.00    0.00    0.00    0.00   74.23
20:52:44     all    1.27    0.00    3.30   21.57    0.00    0.00    0.00    0.00    0.00   73.86
20:52:45     all    2.01    0.00    3.52   21.36    0.00    0.00    0.00    0.00    0.00   73.12
20:52:46     all    1.77    0.00    2.78   21.77    0.00    0.00    0.00    0.00    0.00   73.67
20:52:47     all    2.02    0.00    3.53   21.16    0.00    0.00    0.00    0.00    0.00   73.30
20:52:48     all    2.02    0.00    3.27   21.41    0.00    0.00    0.00    0.00    0.00   73.30
20:52:49     all    1.52    0.00    2.54   21.83    0.00    0.00    0.25    0.00    0.00   73.86
20:52:50     all    1.53    0.00    3.06   21.43    0.00    0.00    0.00    0.00    0.00   73.98
20:52:51     all    2.02    0.00    3.03   21.72    0.00    0.00    0.00    0.00    0.00   73.23
20:52:52     all    1.77    0.00    3.28   21.21    0.00    0.25    0.00    0.00    0.00   73.48
20:52:53     all    2.02    0.00    3.02   21.66    0.00    0.00    0.00    0.00    0.00   73.30
20:52:54     all    3.29    0.00    2.78   21.27    0.00    0.00    0.00    0.00    0.00   72.66
20:52:55     all    2.27    0.00    3.02   21.41    0.00    0.00    0.00    0.00    0.00   73.30
20:52:56     all    1.28    0.00    3.08   21.54    0.00    0.00    0.00    0.00    0.00   74.10
20:52:57     all    2.24    0.00    3.24   21.70    0.00    0.00    0.00    0.00    0.00   72.82
20:52:58     all    2.02    0.00    3.79   20.96    0.00    0.00    0.00    0.00    0.00   73.23
20:52:59     all    1.53    0.00    2.81   21.68    0.00    0.00    0.00    0.00    0.00   73.98
20:53:00     all    2.03    0.00    3.04   21.27    0.00    0.00    0.00    0.00    0.00   73.67
20:53:01     all    2.04    0.00    2.55   21.68    0.00    0.00    0.00    0.00    0.00   73.72
20:53:02     all    2.50    0.00    3.75   21.50    0.00    0.00    0.00    0.00    0.00   72.25
20:53:03     all    2.02    0.00    3.03   21.21    0.00    0.00    0.00    0.00    0.00   73.74
20:53:04     all    1.53    0.00    3.05   21.63    0.00    0.00    0.00    0.00    0.00   73.79
20:53:05     all    1.77    0.00    2.78   21.77    0.00    0.00    0.00    0.00    0.00   73.67
20:53:06     all    2.03    0.00    3.29   21.52    0.00    0.00    0.00    0.00    0.00   73.16
20:53:07     all    2.02    0.00    3.27   21.16    0.00    0.00    0.25    0.00    0.00   73.30
20:53:08     all    1.78    0.00    2.79   21.83    0.00    0.00    0.00    0.00    0.00   73.60
20:53:09     all    2.03    0.00    3.04   21.27    0.00    0.00    0.00    0.00    0.00   73.67
20:53:10     all    1.02    0.00    2.81   21.94    0.00    0.00    0.00    0.00    0.00   74.23
20:53:11     all    1.77    0.00    3.54   21.21    0.00    0.00    0.00    0.00    0.00   73.48
20:53:12     all    2.26    0.00    3.26   21.30    0.00    0.00    0.00    0.00    0.00   73.18
20:53:13     all    2.27    0.00    3.03   21.72    0.00    0.00    0.00    0.00    0.00   72.98
20:53:14     all    2.27    0.00    3.54   21.21    0.00    0.00    0.00    0.00    0.00   72.98
20:53:15     all    1.79    0.00    2.81   21.68    0.00    0.00    0.00    0.00    0.00   73.72
20:53:16     all    2.98    0.00    3.47   21.34    0.00    0.00    0.00    0.00    0.00   72.21
