Linux 6.8.0-1063-gcp (csb-bench-host-gcp) 	08/04/26 	_x86_64_	(4 CPU)

09:19:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:19:59     all    1.26    0.00    3.78    0.00    0.00    1.26    0.00    0.00    0.00   93.70
09:20:00     all    0.51    0.00    2.30    0.00    0.00    0.26    0.00    0.00    0.00   96.94
09:20:01     all    0.00    0.00    2.54    0.00    0.00    0.25    0.25    0.00    0.00   96.95
09:20:02     all    0.77    0.00    2.04    0.00    0.00    0.51    0.00    0.00    0.00   96.68
09:20:03     all    0.77    0.00    2.05    0.00    0.00    0.26    0.00    0.00    0.00   96.93
09:20:04     all    0.76    0.00    2.78    0.25    0.00    0.76    0.00    0.00    0.00   95.45
09:20:05     all    0.51    0.00    2.54    0.00    0.00    0.25    0.00    0.00    0.00   96.69
09:20:06     all    0.76    0.00    2.53    0.00    0.00    0.51    0.00    0.00    0.00   96.20
09:20:07     all    0.76    0.00    2.54    0.00    0.00    0.00    0.00    0.00    0.00   96.70
09:20:08     all    0.76    0.00    2.79    0.00    0.00    0.51    0.00    0.00    0.00   95.94
09:20:09     all    0.76    0.00    2.27    0.00    0.00    1.01    0.00    0.00    0.00   95.96
09:20:10     all    0.77    0.00    2.31    0.00    0.00    0.26    0.00    0.00    0.00   96.67
09:20:11     all    0.51    0.00    3.05    0.00    0.00    0.25    0.00    0.00    0.00   96.19
09:20:12     all    1.50    0.00    3.51    0.00    0.00    0.75    0.00    0.00    0.00   94.24
09:20:13     all    0.76    0.00    2.54    0.00    0.00    0.25    0.00    0.00    0.00   96.45
09:20:14     all    0.50    0.00    3.53    0.00    0.00    0.50    0.00    0.00    0.00   95.47
09:20:15     all    1.01    0.00    2.78    0.00    0.00    0.25    0.00    0.00    0.00   95.95
09:20:16     all    0.50    0.00    3.02    0.00    0.00    0.25    0.00    0.00    0.00   96.22
09:20:17     all    0.51    0.00    2.55    0.00    0.00    0.51    0.00    0.00    0.00   96.43
09:20:18     all    0.76    0.00    2.52    0.00    0.00    0.50    0.25    0.00    0.00   95.97
09:20:19     all    0.76    0.00    2.54    0.00    0.00    0.76    0.00    0.00    0.00   95.94
09:20:20     all    0.51    0.00    2.30    0.26    0.00    0.26    0.00    0.00    0.00   96.68
09:20:21     all    0.76    0.00    2.53    0.00    0.00    0.51    0.25    0.00    0.00   95.96
09:20:22     all    0.77    0.00    1.79    0.00    0.00    0.26    0.00    0.00    0.00   97.19
09:20:23     all    0.51    0.00    2.28    0.00    0.00    0.25    0.00    0.00    0.00   96.95
