Linux 6.8.0-1063-gcp (csb-bench-host-gcp) 	08/04/26 	_x86_64_	(4 CPU)

00:34:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:34:42     all    0.00    0.00   17.99    0.00    0.00   14.02    0.26    0.00    0.00   67.72
00:34:43     all    0.00    0.00   19.41    0.00    0.00   16.76    0.00    0.00    0.00   63.83
00:34:44     all    0.00    0.00   19.06    0.00    0.00   15.93    0.00    0.00    0.00   65.01
00:34:45     all    0.00    0.00   18.28    0.00    0.00   17.23    0.00    0.00    0.00   64.49
00:34:46     all    0.00    0.00   18.95    0.00    0.00   16.84    0.00    0.00    0.00   64.21
00:34:47     all    0.00    0.00    6.72    0.00    0.00    4.39    0.00    0.00    0.00   88.89
00:34:48     all    0.00    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   99.00
00:34:49     all    0.00    0.00    1.02    0.00    0.00    0.26    0.00    0.00    0.00   98.72
00:34:50     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
00:34:51     all    0.00    0.00    1.78    0.00    0.00    1.02    0.00    0.00    0.00   97.20
00:34:52     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:34:53     all    0.00    0.00    2.28    0.00    0.00    0.76    0.00    0.00    0.00   96.96
00:34:54     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:34:55     all    0.00    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   99.25
00:34:56     all    0.00    0.00    1.78    0.00    0.00    0.76    0.00    0.00    0.00   97.46
00:34:57     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
00:34:58     all    0.00    0.00    2.03    0.00    0.00    1.27    0.00    0.00    0.00   96.70
00:34:59     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:35:00     all    0.00    0.00    2.02    0.00    0.00    1.76    0.00    0.00    0.00   96.22
00:35:01     all    0.00    0.00    0.25    0.50    0.00    0.00    0.00    0.00    0.00   99.25
00:35:02     all    0.25    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.99
00:35:03     all    0.00    0.00    1.79    0.00    0.00    0.77    0.00    0.00    0.00   97.44
00:35:04     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
00:35:05     all    0.00    0.00    2.28    0.00    0.00    1.01    0.00    0.00    0.00   96.71
00:35:06     all    0.00    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   99.50
00:35:07     all    0.00    0.00    2.04    0.00    0.00    0.76    0.00    0.00    0.00   97.20
00:35:08     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:35:09     all    0.00    0.00    1.00    0.25    0.00    0.50    0.00    0.00    0.00   98.25
00:35:10     all    0.00    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   97.98
00:35:11     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:35:12     all    0.00    0.00    2.26    0.00    0.00    1.01    0.00    0.00    0.00   96.73
