Linux 6.8.0-1063-gcp (csb-bench-host-gcp) 	08/04/26 	_x86_64_	(4 CPU)

04:53:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:53:51     all    2.20    0.00   52.89    0.00    0.00    5.51    0.00    0.00    0.00   39.39
04:53:52     all    1.96    0.00   51.68    0.00    0.00    6.42    0.00    0.00    0.00   39.94
04:53:53     all    2.22    0.00   51.67    0.00    0.00    5.83    0.28    0.00    0.00   40.00
04:53:54     all    1.90    0.00   52.17    0.00    0.00    6.79    0.00    0.00    0.00   39.13
04:53:55     all    1.66    0.00   51.10    0.00    0.00    6.35    0.00    0.00    0.00   40.88
04:53:56     all    1.94    0.00   52.50    0.00    0.00    5.56    0.00    0.00    0.00   40.00
04:53:57     all    2.17    0.00   53.80    0.00    0.00    5.71    0.00    0.00    0.00   38.32
04:53:58     all    1.64    0.00   51.91    0.00    0.00    6.56    0.00    0.00    0.00   39.89
04:53:59     all    1.91    0.00   53.55    0.00    0.00    5.46    0.00    0.00    0.00   39.07
04:54:00     all    1.39    0.00   52.78    0.00    0.00    5.83    0.00    0.00    0.00   40.00
04:54:01     all    1.94    0.00   51.94    0.00    0.00    5.56    0.00    0.00    0.00   40.56
04:54:02     all    2.20    0.00   52.75    0.00    0.00    5.77    0.00    0.00    0.00   39.29
04:54:03     all    1.37    0.00   54.40    0.00    0.00    5.77    0.00    0.00    0.00   38.46
04:54:04     all    2.22    0.00   52.08    0.00    0.00    6.65    0.00    0.00    0.00   39.06
04:54:05     all    1.38    0.00   53.04    0.00    0.00    6.35    0.00    0.00    0.00   39.23
04:54:06     all    2.22    0.00   53.19    0.00    0.00    5.26    0.00    0.00    0.00   39.34
04:54:07     all    2.19    0.00   53.70    0.00    0.00    6.03    0.00    0.00    0.00   38.08
04:54:08     all    1.38    0.00   52.49    0.00    0.00    6.63    0.00    0.00    0.00   39.50
04:54:09     all    1.94    0.00   51.52    0.00    0.00    6.65    0.00    0.00    0.00   39.89
04:54:10     all    1.36    0.00   37.94    0.27    0.00    4.34    0.00    0.00    0.00   56.10
04:54:11     all    0.26    0.00   13.44    0.00    0.00    1.81    0.00    0.00    0.00   84.50
04:54:12     all    1.02    0.00   13.55    0.00    0.00    1.79    0.00    0.00    0.00   83.63
04:54:13     all    0.52    0.00   11.66    0.00    0.00    2.07    0.00    0.00    0.00   85.75
04:54:14     all    0.00    0.00   11.32    0.00    0.00    1.84    0.00    0.00    0.00   86.84
04:54:15     all    0.78    0.00   11.40    0.00    0.00    2.07    0.00    0.00    0.00   85.75
04:54:16     all    0.52    0.00   12.44    0.00    0.00    2.07    0.00    0.00    0.00   84.97
