Linux 6.8.0-1063-gcp (csb-bench-host-gcp) 	08/04/26 	_x86_64_	(4 CPU)

17:27:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:27:34     all    0.79    0.00   17.46    0.00    0.00    8.20    0.00    0.00    0.00   73.54
17:27:35     all    0.00    0.00   26.90    0.00    0.00   11.14    0.00    0.00    0.00   61.96
17:27:36     all    0.54    0.00   26.08    0.00    0.00    9.41    0.00    0.00    0.00   63.98
17:27:37     all    0.26    0.00   21.35    0.00    0.00    9.64    0.00    0.00    0.00   68.75
17:27:38     all    0.54    0.00   23.39    0.00    0.00   10.22    0.00    0.00    0.00   65.86
17:27:39     all    0.27    0.00   26.08    0.00    0.00   11.56    0.00    0.00    0.00   62.10
17:27:40     all    0.79    0.00   20.00    0.00    0.00    8.16    0.00    0.00    0.00   71.05
17:27:41     all    0.27    0.00   20.27    0.00    0.00    8.92    0.00    0.00    0.00   70.54
17:27:42     all    0.00    0.00   24.53    0.00    0.00    9.60    0.00    0.00    0.00   65.87
17:27:43     all    0.81    0.00   25.00    0.00    0.00   11.29    0.00    0.00    0.00   62.90
17:27:44     all    0.00    0.00   26.20    0.00    0.00   11.23    0.00    0.00    0.00   62.57
17:27:45     all    0.53    0.00   20.74    0.00    0.00    7.98    0.00    0.00    0.00   70.74
17:27:46     all    0.54    0.00   23.39    0.00    0.00   10.75    0.00    0.00    0.00   65.32
17:27:47     all    0.54    0.00   22.64    0.00    0.00    9.70    0.00    0.00    0.00   67.12
17:27:48     all    0.53    0.00   21.90    0.00    0.00    8.97    0.00    0.00    0.00   68.60
17:27:49     all    0.53    0.00   22.49    0.00    0.00   10.05    0.26    0.00    0.00   66.67
17:27:50     all    0.27    0.00   26.02    0.00    0.00   10.03    0.00    0.00    0.00   63.69
17:27:51     all    0.79    0.00   20.11    0.00    0.00    7.94    0.00    0.00    0.00   71.16
17:27:52     all    0.27    0.00   25.07    0.00    0.00   10.40    0.00    0.00    0.00   64.27
17:27:53     all    0.52    0.00   25.46    0.00    0.00   10.50    0.26    0.00    0.00   63.25
17:27:54     all    0.54    0.00   23.64    0.00    0.00   10.33    0.00    0.00    0.00   65.49
17:27:55     all    0.53    0.00   22.73    0.00    0.00    8.82    0.00    0.00    0.00   67.91
17:27:56     all    0.26    0.00   21.96    0.00    0.00    9.79    0.00    0.00    0.00   67.99
17:27:57     all    0.53    0.00   19.95    0.00    0.00    7.45    0.00    0.00    0.00   72.07
17:27:58     all    0.54    0.00   23.24    0.00    0.00    9.73    0.00    0.00    0.00   66.49
17:27:59     all    0.00    0.00   24.33    0.00    0.00   10.43    0.00    0.00    0.00   65.24
17:28:00     all    0.78    0.00   15.10    0.00    0.00    6.25    0.00    0.00    0.00   77.86
17:28:01     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:28:02     all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
17:28:03     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:28:04     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:28:05     all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
17:28:06     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:28:07     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:28:08     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:28:09     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
