Linux 6.8.0-1063-gcp (csb-bench-host-gcp) 	08/04/26 	_x86_64_	(4 CPU)

09:06:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:06:50     all    1.02    0.00    2.56    0.00    0.00    0.26    0.00    0.00    0.00   96.16
09:06:51     all    0.77    0.00    1.54    0.00    0.00    0.26    0.00    0.00    0.00   97.44
09:06:52     all    0.50    0.00    2.77    0.00    0.00    0.76    0.00    0.00    0.00   95.97
09:06:53     all    0.51    0.00    1.54    0.00    0.00    0.51    0.00    0.00    0.00   97.44
09:06:54     all    0.51    0.00    2.04    0.00    0.00    0.51    0.00    0.00    0.00   96.94
09:06:55     all    0.51    0.00    2.28    0.00    0.00    0.25    0.00    0.00    0.00   96.95
09:06:56     all    0.51    0.00    2.54    0.00    0.00    0.25    0.00    0.00    0.00   96.69
09:06:57     all    0.76    0.00    2.29    0.00    0.00    0.51    0.00    0.00    0.00   96.44
09:06:58     all    0.51    0.00    1.79    0.00    0.00    0.26    0.00    0.00    0.00   97.44
09:06:59     all    0.76    0.00    2.04    0.00    0.00    0.51    0.00    0.00    0.00   96.69
09:07:00     all    0.77    0.00    2.30    0.00    0.00    0.26    0.26    0.00    0.00   96.42
09:07:01     all    1.00    0.00    3.00    0.25    0.00    0.75    0.00    0.00    0.00   95.00
09:07:02     all    0.51    0.00    2.78    0.00    0.00    0.25    0.00    0.00    0.00   96.46
09:07:03     all    0.51    0.00    1.79    0.00    0.00    0.26    0.00    0.00    0.00   97.44
09:07:04     all    0.26    0.00    1.79    0.00    0.00    0.77    0.00    0.00    0.00   97.18
09:07:05     all    0.76    0.00    2.53    0.00    0.00    0.51    0.00    0.00    0.00   96.20
09:07:06     all    0.77    0.00    2.05    0.00    0.00    0.51    0.00    0.00    0.00   96.68
09:07:07     all    0.25    0.00    2.29    0.00    0.00    0.25    0.25    0.00    0.00   96.95
09:07:08     all    1.02    0.00    1.79    0.00    0.00    0.26    0.00    0.00    0.00   96.93
09:07:09     all    2.02    0.00    4.29    0.00    0.00    1.01    0.00    0.00    0.00   92.68
09:07:10     all    0.51    0.00    2.55    0.00    0.00    0.51    0.00    0.00    0.00   96.43
09:07:11     all    0.76    0.00    2.53    0.00    0.00    0.25    0.00    0.00    0.00   96.46
09:07:12     all    0.51    0.00    2.04    0.00    0.00    0.51    0.00    0.00    0.00   96.94
09:07:13     all    0.51    0.00    2.28    0.00    0.00    0.76    0.25    0.00    0.00   96.19
09:07:14     all    0.76    0.00    1.78    0.00    0.00    0.25    0.25    0.00    0.00   96.95
09:07:15     all    0.77    0.00    2.05    0.00    0.00    0.26    0.00    0.00    0.00   96.92
09:07:16     all    0.77    0.00    2.04    0.00    0.00    0.51    0.00    0.00    0.00   96.68
09:07:17     all    0.77    0.00    1.28    0.00    0.00    0.77    0.00    0.00    0.00   97.19
09:07:18     all    0.00    0.00    1.80    0.00    0.00    0.52    0.00    0.00    0.00   97.68
09:07:19     all    1.27    0.00    1.52    0.00    0.00    0.25    0.00    0.00    0.00   96.95
09:07:20     all    1.02    0.00    1.79    0.00    0.00    0.77    0.00    0.00    0.00   96.43
09:07:21     all    0.77    0.00    2.31    0.00    0.00    0.51    0.00    0.00    0.00   96.41
09:07:22     all    1.53    0.00    4.34    0.00    0.00    0.77    0.00    0.00    0.00   93.37
09:07:23     all    1.52    0.00    4.29    0.00    0.00    0.76    0.00    0.00    0.00   93.43
09:07:24     all    0.51    0.00    2.04    0.00    0.00    0.51    0.00    0.00    0.00   96.94
09:07:25     all    0.76    0.00    2.04    0.00    0.00    0.51    0.00    0.00    0.00   96.69
09:07:26     all    1.01    0.00    2.27    0.00    0.00    1.01    0.00    0.00    0.00   95.72
09:07:27     all    0.51    0.00    2.83    0.00    0.00    0.26    0.00    0.00    0.00   96.40
09:07:28     all    0.51    0.00    1.54    0.00    0.00    0.51    0.00    0.00    0.00   97.44
09:07:29     all    0.51    0.00    2.05    0.00    0.00    0.77    0.00    0.00    0.00   96.68
09:07:30     all    1.29    0.00    2.32    0.00    0.00    0.52    0.00    0.00    0.00   95.88
09:07:31     all    0.51    0.00    2.05    0.00    0.00    0.51    0.00    0.00    0.00   96.93
09:07:32     all    0.77    0.00    1.55    0.00    0.00    0.26    0.00    0.00    0.00   97.42
09:07:33     all    0.76    0.00    1.78    0.00    0.00    0.25    0.00    0.00    0.00   97.20
09:07:34     all    0.76    0.00    2.29    0.00    0.00    0.51    0.00    0.00    0.00   96.44
09:07:35     all    0.77    0.00    2.05    0.00    0.00    0.51    0.00    0.00    0.00   96.67
09:07:36     all    0.51    0.00    2.30    0.00    0.00    0.26    0.00    0.00    0.00   96.94
09:07:37     all    0.76    0.00    2.04    0.00    0.00    0.76    0.00    0.00    0.00   96.44
09:07:38     all    0.77    0.00    2.30    0.00    0.00    0.77    0.00    0.00    0.00   96.17
09:07:39     all    1.02    0.00    2.54    0.00    0.00    0.25    0.00    0.00    0.00   96.18
09:07:40     all    0.26    0.00    1.54    0.26    0.00    0.51    0.00    0.00    0.00   97.44
09:07:41     all    1.01    0.00    2.78    0.00    0.00    0.51    0.00    0.00    0.00   95.71
09:07:42     all    0.77    0.00    1.53    0.00    0.00    0.51    0.00    0.00    0.00   97.19
09:07:43     all    0.52    0.00    1.55    0.00    0.00    0.00    0.00    0.00    0.00   97.94
09:07:44     all    0.51    0.00    2.53    0.00    0.00    0.76    0.00    0.00    0.00   96.20
09:07:45     all    0.26    0.00    2.31    0.00    0.00    0.00    0.00    0.00    0.00   97.44
09:07:46     all    0.52    0.00    1.55    0.00    0.00    0.52    0.00    0.00    0.00   97.42
09:07:47     all    0.51    0.00    1.79    0.00    0.00    0.51    0.26    0.00    0.00   96.94
09:07:48     all    1.02    0.00    2.28    0.00    0.00    0.25    0.00    0.00    0.00   96.45
09:07:49     all    0.51    0.00    1.79    0.00    0.00    0.51    0.00    0.00    0.00   97.19
09:07:50     all    0.51    0.00    2.54    0.00    0.00    0.76    0.00    0.00    0.00   96.19
09:07:51     all    0.77    0.00    1.79    0.00    0.00    0.26    0.00    0.00    0.00   97.19
09:07:52     all    0.26    0.00    2.31    0.00    0.00    0.51    0.00    0.00    0.00   96.92
09:07:53     all    0.77    0.00    2.04    0.00    0.00    0.51    0.00    0.00    0.00   96.68
09:07:54     all    0.26    0.00    2.31    0.00    0.00    0.51    0.00    0.00    0.00   96.92
09:07:55     all    0.77    0.00    1.29    0.00    0.00    0.52    0.00    0.00    0.00   97.42
09:07:56     all    1.01    0.00    2.03    0.00    0.00    0.51    0.00    0.00    0.00   96.46
09:07:57     all    0.51    0.00    2.04    0.00    0.00    0.26    0.00    0.00    0.00   97.19
09:07:58     all    0.51    0.00    2.04    0.00    0.00    0.76    0.00    0.00    0.00   96.69
09:07:59     all    1.03    0.00    1.79    0.00    0.00    0.00    0.00    0.00    0.00   97.18
09:08:00     all    0.51    0.00    2.03    0.00    0.00    0.51    0.00    0.00    0.00   96.95
09:08:01     all    1.03    0.00    3.08    0.00    0.00    0.77    0.00    0.00    0.00   95.12
09:08:02     all    0.52    0.00    1.80    0.26    0.00    0.52    0.00    0.00    0.00   96.91
09:08:03     all    0.51    0.00    2.31    0.00    0.00    0.26    0.00    0.00    0.00   96.92
09:08:04     all    1.27    0.00    2.28    0.00    0.00    1.01    0.00    0.00    0.00   95.44
09:08:05     all    0.77    0.00    1.80    0.00    0.00    0.00    0.26    0.00    0.00   97.17
09:08:06     all    0.51    0.00    1.54    0.00    0.00    0.51    0.00    0.00    0.00   97.44
09:08:07     all    0.26    0.00    1.79    0.00    0.00    0.26    0.00    0.00    0.00   97.69
09:08:08     all    1.01    0.00    2.28    0.00    0.00    0.76    0.00    0.00    0.00   95.95
09:08:09     all    0.77    0.00    2.30    0.00    0.00    0.26    0.00    0.00    0.00   96.68
09:08:10     all    1.27    0.00    1.52    0.00    0.00    0.25    0.00    0.00    0.00   96.95
09:08:11     all    0.00    0.00    2.06    0.00    0.00    0.77    0.00    0.00    0.00   97.17
09:08:12     all    1.26    0.00    2.26    0.00    0.00    0.50    0.00    0.00    0.00   95.98
