Linux 6.8.0-1063-gcp (csb-bench-host-gcp) 	08/05/26 	_x86_64_	(4 CPU)

21:41:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:41:40     all    8.06    0.00    1.76    0.00    0.00    1.01    0.00    0.00    0.00   89.17
21:41:41     all    6.08    0.00    0.51    0.00    0.00    0.76    0.00    0.00    0.00   92.66
21:41:42     all    5.82    0.00    1.27    0.00    0.00    0.51    0.00    0.00    0.00   92.41
21:41:43     all    5.57    0.00    1.01    0.00    0.00    0.51    0.00    0.00    0.00   92.91
21:41:44     all    5.12    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   93.86
21:41:45     all    6.02    0.00    0.75    0.25    0.00    0.75    0.00    0.00    0.00   92.23
21:41:46     all    5.29    0.00    1.26    0.00    0.00    0.25    0.25    0.00    0.00   92.95
21:41:47     all    5.06    0.00    1.01    0.00    0.00    0.51    0.00    0.00    0.00   93.42
21:41:48     all    5.58    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   93.40
21:41:49     all    6.05    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   93.20
21:41:50     all    5.54    0.00    1.26    0.00    0.00    0.76    0.00    0.00    0.00   92.44
21:41:51     all    4.86    0.00    0.77    0.00    0.00    0.51    0.00    0.00    0.00   93.86
21:41:52     all    5.79    0.00    1.01    0.00    0.00    0.76    0.00    0.00    0.00   92.44
21:41:53     all    5.57    0.00    0.51    0.00    0.00    0.51    0.25    0.00    0.00   93.16
21:41:54     all    5.34    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   93.38
21:41:55     all    5.79    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   92.70
21:41:56     all    5.57    0.00    1.01    0.00    0.00    0.76    0.00    0.00    0.00   92.66
21:41:57     all    5.82    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   92.91
21:41:58     all    6.02    0.00    1.00    0.25    0.00    0.50    0.00    0.00    0.00   92.23
21:41:59     all    5.57    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   93.16
21:42:00     all    5.60    0.00    1.02    0.00    0.00    0.25    0.00    0.00    0.00   93.13
21:42:01     all    5.30    0.00    0.51    0.00    0.00    1.01    0.00    0.00    0.00   93.18
21:42:02     all    5.81    0.00    1.01    0.00    0.00    0.25    0.25    0.00    0.00   92.68
21:42:03     all    5.30    0.00    0.76    0.00    0.00    1.01    0.00    0.00    0.00   92.93
21:42:04     all    5.34    0.00    1.02    0.00    0.00    0.25    0.00    0.00    0.00   93.38
21:42:05     all    6.30    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   92.70
21:42:06     all    5.79    0.00    0.76    0.00    0.00    1.01    0.00    0.00    0.00   92.44
21:42:07     all    5.61    0.00    0.51    0.00    0.00    0.26    0.00    0.00    0.00   93.62
21:42:08     all    5.30    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   93.18
21:42:09     all    5.30    0.00    1.01    0.00    0.00    0.76    0.00    0.00    0.00   92.93
21:42:10     all    5.81    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   93.18
21:42:11     all    6.55    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   92.44
21:42:12     all    5.29    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   93.20
21:42:13     all    5.79    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   92.70
21:42:14     all    5.56    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   92.93
21:42:15     all    5.56    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   93.43
21:42:16     all    5.36    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   93.62
21:42:17     all    5.57    0.00    1.01    0.00    0.00    0.51    0.00    0.00    0.00   92.91
21:42:18     all    5.79    0.00    0.76    0.00    0.00    0.50    0.25    0.00    0.00   92.70
21:42:19     all    5.79    0.00    0.50    0.00    0.00    1.01    0.00    0.00    0.00   92.70
21:42:20     all    5.57    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   93.42
21:42:21     all    5.78    0.00    1.01    0.25    0.00    0.50    0.00    0.00    0.00   92.46
21:42:22     all    5.33    0.00    0.51    0.00    0.00    0.76    0.00    0.00    0.00   93.40
21:42:23     all    5.78    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   92.71
21:42:24     all    5.10    0.00    1.02    0.00    0.00    0.26    0.00    0.00    0.00   93.62
21:42:25     all    5.82    0.00    0.51    0.00    0.00    1.01    0.00    0.00    0.00   92.66
21:42:26     all    5.85    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   93.64
21:42:27     all    5.32    0.00    1.01    0.00    0.00    0.51    0.00    0.00    0.00   93.16
21:42:28     all    5.54    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   92.95
21:42:29     all    5.32    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   93.42
21:42:30     all    5.53    0.00    0.75    0.00    0.00    0.75    0.25    0.00    0.00   92.71
21:42:31     all    6.03    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   92.96
21:42:32     all    5.08    0.00    1.27    0.00    0.00    0.25    0.00    0.00    0.00   93.40
21:42:33     all    5.08    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   93.65
21:42:34     all    5.30    0.00    1.01    0.00    0.00    0.51    0.00    0.00    0.00   93.18
21:42:35     all    5.37    0.00    0.26    0.00    0.00    0.51    0.00    0.00    0.00   93.86
21:42:36     all    5.51    0.00    0.75    0.25    0.00    1.00    0.00    0.00    0.00   92.48
21:42:37     all    5.81    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   92.93
21:42:38     all    5.29    0.00    1.01    0.00    0.00    0.50    0.25    0.00    0.00   92.95
21:42:39     all    5.05    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   93.69
21:42:40     all    5.54    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   92.95
21:42:41     all    5.29    0.00    0.76    0.00    0.00    1.01    0.00    0.00    0.00   92.95
21:42:42     all    5.81    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   92.93
21:42:43     all    5.57    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   93.16
21:42:44     all    5.30    0.00    1.01    0.00    0.00    0.51    0.00    0.00    0.00   93.18
