Linux 6.8.0-1063-gcp (csb-bench-host-gcp) 	08/05/26 	_x86_64_	(4 CPU)

16:11:22     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:11:23     all   78.45    0.00    7.02    0.00    0.00   10.03    0.00    0.00    0.00    4.51
16:11:24     all   83.54    0.00    5.24    0.00    0.00   10.72    0.00    0.00    0.00    0.50
16:11:25     all   84.50    0.00    5.25    0.00    0.00   10.25    0.00    0.00    0.00    0.00
16:11:26     all   83.13    0.00    5.71    0.00    0.00   11.17    0.00    0.00    0.00    0.00
16:11:27     all   82.87    0.00    6.30    0.00    0.00   10.83    0.00    0.00    0.00    0.00
16:11:28     all   84.21    0.00    5.51    0.00    0.00   10.28    0.00    0.00    0.00    0.00
16:11:29     all   83.54    0.00    5.24    0.00    0.00   11.22    0.00    0.00    0.00    0.00
16:11:30     all   83.50    0.00    6.50    0.00    0.00   10.00    0.00    0.00    0.00    0.00
16:11:31     all   84.50    0.00    5.50    0.00    0.00   10.00    0.00    0.00    0.00    0.00
16:11:32     all   83.75    0.00    5.25    0.00    0.00   11.00    0.00    0.00    0.00    0.00
16:11:33     all   84.79    0.00    4.99    0.00    0.00    9.73    0.00    0.00    0.00    0.50
16:11:34     all   82.96    0.00    6.52    0.00    0.00   10.53    0.00    0.00    0.00    0.00
16:11:35     all   83.00    0.00    5.75    0.00    0.00   11.25    0.00    0.00    0.00    0.00
16:11:36     all   82.75    0.00    5.75    0.00    0.00   11.50    0.00    0.00    0.00    0.00
16:11:37     all   84.00    0.00    5.25    0.00    0.00   10.50    0.00    0.00    0.00    0.25
16:11:38     all   83.96    0.00    5.76    0.00    0.00   10.03    0.00    0.00    0.00    0.25
16:11:39     all   84.08    0.00    5.97    0.00    0.00    9.70    0.00    0.00    0.00    0.25
16:11:40     all   82.75    0.00    5.75    0.00    0.00   11.50    0.00    0.00    0.00    0.00
16:11:41     all   84.42    0.00    5.53    0.00    0.00   10.05    0.00    0.00    0.00    0.00
16:11:42     all   84.29    0.00    5.24    0.00    0.00   10.47    0.00    0.00    0.00    0.00
16:11:43     all   85.00    0.00    5.50    0.00    0.00    9.50    0.00    0.00    0.00    0.00
16:11:44     all   84.71    0.00    5.26    0.00    0.00    9.77    0.00    0.00    0.00    0.25
16:11:45     all   83.71    0.00    6.27    0.00    0.00    9.77    0.00    0.00    0.00    0.25
16:11:46     all   84.54    0.00    4.99    0.00    0.00   10.47    0.00    0.00    0.00    0.00
16:11:47     all   84.04    0.00    5.74    0.00    0.00    9.98    0.00    0.00    0.00    0.25
16:11:48     all   84.13    0.00    5.54    0.00    0.00   10.33    0.00    0.00    0.00    0.00
16:11:49     all   82.84    0.00    6.22    0.00    0.00   10.70    0.00    0.00    0.00    0.25
16:11:50     all   82.79    0.00    5.99    0.00    0.00   11.22    0.00    0.00    0.00    0.00
16:11:51     all   83.96    0.00    5.76    0.00    0.00   10.28    0.00    0.00    0.00    0.00
16:11:52     all   82.29    0.00    6.23    0.00    0.00   11.22    0.00    0.00    0.00    0.25
16:11:53     all   81.20    0.00    5.76    0.00    0.00   11.28    0.00    0.00    0.00    1.75
16:11:54     all   83.29    0.00    5.74    0.00    0.00   10.72    0.00    0.00    0.00    0.25
16:11:55     all   84.92    0.00    6.03    0.00    0.00    9.05    0.00    0.00    0.00    0.00
16:11:56     all   82.84    0.00    6.72    0.00    0.00   10.45    0.00    0.00    0.00    0.00
16:11:57     all   84.17    0.00    4.77    0.00    0.00   11.06    0.00    0.00    0.00    0.00
16:11:58     all   83.29    0.00    5.49    0.00    0.00   10.72    0.00    0.00    0.00    0.50
16:11:59     all   83.17    0.00    6.28    0.00    0.00   10.55    0.00    0.00    0.00    0.00
16:12:00     all   84.04    0.00    5.99    0.00    0.00    9.98    0.00    0.00    0.00    0.00
