Linux 6.8.0-1063-gcp (csb-bench-host-gcp) 	08/06/26 	_x86_64_	(4 CPU)

06:24:29     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:24:30     all    5.29    0.00    1.26    0.00    0.00    0.50    0.25    0.00    0.00   92.70
06:24:31     all    4.29    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   94.95
06:24:32     all    5.00    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   94.25
06:24:33     all    4.04    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   95.20
06:24:34     all    3.76    0.00    0.75    0.00    0.00    0.75    0.00    0.00    0.00   94.74
06:24:35     all    4.28    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   95.21
06:24:36     all    4.55    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   95.20
06:24:37     all    4.26    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   94.49
06:24:38     all    4.28    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00   95.21
06:24:39     all    4.26    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   94.49
06:24:40     all    4.03    0.00    0.50    0.00    0.00    0.76    0.00    0.00    0.00   94.71
06:24:41     all    3.79    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   95.45
06:24:42     all    4.28    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   94.71
06:24:43     all    3.30    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   96.19
06:24:44     all    4.51    0.00    1.00    0.00    0.00    0.50    0.00    0.00    0.00   93.98
06:24:45     all    4.51    0.00    0.00    0.00    0.00    0.75    0.00    0.00    0.00   94.74
06:24:46     all    4.04    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   94.95
06:24:47     all    4.31    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   94.92
06:24:48     all    4.50    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   94.50
06:24:49     all    4.77    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   94.72
06:24:50     all    4.04    0.00    0.25    0.00    0.00    0.51    0.00    0.00    0.00   95.20
06:24:51     all    4.26    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   94.49
06:24:52     all    4.77    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   94.47
06:24:53     all    4.55    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   95.20
06:24:54     all    4.55    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   94.70
06:24:55     all    4.49    0.00    0.75    0.00    0.00    0.75    0.00    0.00    0.00   94.01
06:24:56     all    4.31    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   95.43
06:24:57     all    4.52    0.00    0.25    0.00    0.00    0.50    0.00    0.00    0.00   94.72
06:24:58     all    4.53    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   94.71
06:24:59     all    3.80    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   95.19
06:25:00     all    4.02    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   94.97
06:25:01     all    4.75    0.00    0.75    0.25    0.00    0.50    0.00    0.00    0.00   93.75
06:25:02     all    4.52    0.00    1.26    2.26    0.00    0.50    0.00    0.00    0.00   91.46
06:25:03     all    4.50    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   94.50
06:25:04     all    4.29    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   95.20
06:25:05     all    4.03    0.00    0.25    0.00    0.00    0.50    0.00    0.00    0.00   95.21
06:25:06     all    4.51    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   94.74
06:25:07     all    4.29    0.00    0.00    0.25    0.00    0.51    0.00    0.00    0.00   94.95
06:25:08     all    4.27    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   94.72
06:25:09     all    4.74    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   94.26
06:25:10     all    4.52    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   94.47
06:25:11     all    4.29    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   95.20
06:25:12     all    4.00    0.00    0.75    0.00    0.00    1.00    0.00    0.00    0.00   94.25
06:25:13     all    3.81    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   95.69
