Linux 6.8.0-1063-gcp (csb-bench-host-gcp) 	08/04/26 	_x86_64_	(4 CPU)

00:56:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:56:20     all   12.47    0.00    1.78    0.00    0.00    1.53    0.00    0.00    0.00   84.22
00:56:21     all    9.14    0.00    1.02    0.00    0.00    1.27    0.00    0.00    0.00   88.58
00:56:22     all    9.67    0.00    1.27    0.00    0.00    1.02    0.00    0.00    0.00   88.04
00:56:23     all    9.69    0.00    1.28    0.00    0.00    1.28    0.00    0.00    0.00   87.76
00:56:24     all    9.57    0.00    1.51    0.00    0.00    1.26    0.00    0.00    0.00   87.66
00:56:25     all    9.46    0.00    1.02    0.00    0.00    1.28    0.26    0.00    0.00   87.98
00:56:26     all    9.87    0.00    1.27    0.00    0.00    1.27    0.00    0.00    0.00   87.59
00:56:27     all    9.23    0.00    1.28    0.00    0.00    1.03    0.00    0.00    0.00   88.46
00:56:28     all    9.95    0.00    1.02    0.00    0.00    1.28    0.00    0.00    0.00   87.76
00:56:29     all    9.80    0.00    1.51    0.00    0.00    1.51    0.00    0.00    0.00   87.19
00:56:30     all    9.44    0.00    1.02    0.00    0.00    1.28    0.00    0.00    0.00   88.27
00:56:31     all    9.72    0.00    0.77    0.00    0.00    1.02    0.00    0.00    0.00   88.49
00:56:32     all    9.90    0.00    1.27    0.00    0.00    1.02    0.25    0.00    0.00   87.56
00:56:33     all    9.18    0.00    1.53    0.00    0.00    1.28    0.00    0.00    0.00   88.01
00:56:34     all    9.62    0.00    1.52    0.00    0.00    1.27    0.00    0.00    0.00   87.59
00:56:35     all    9.21    0.00    1.02    0.00    0.00    1.28    0.00    0.00    0.00   88.49
00:56:36     all    9.37    0.00    1.52    0.00    0.00    1.52    0.00    0.00    0.00   87.59
00:56:37     all    9.62    0.00    1.27    0.00    0.00    1.77    0.00    0.00    0.00   87.34
00:56:38     all    9.41    0.00    1.27    0.00    0.00    1.78    0.00    0.00    0.00   87.53
00:56:39     all    9.95    0.00    0.77    0.00    0.00    1.28    0.00    0.00    0.00   88.01
00:56:40     all    9.41    0.00    1.02    0.00    0.00    1.53    0.00    0.00    0.00   88.04
00:56:41     all   10.13    0.00    1.52    0.00    0.00    1.01    0.00    0.00    0.00   87.34
00:56:42     all   10.10    0.00    1.52    0.00    0.00    1.52    0.00    0.00    0.00   86.87
00:56:43     all    8.95    0.00    1.02    0.00    0.00    1.53    0.00    0.00    0.00   88.49
00:56:44     all    9.39    0.00    1.52    0.00    0.00    1.52    0.00    0.00    0.00   87.56
00:56:45     all    9.97    0.00    0.77    0.00    0.00    1.02    0.00    0.00    0.00   88.24
00:56:46     all    9.69    0.00    1.53    0.00    0.00    1.28    0.00    0.00    0.00   87.50
00:56:47     all    9.18    0.00    1.02    0.00    0.00    1.28    0.00    0.00    0.00   88.52
00:56:48     all    9.46    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   88.49
00:56:49     all   10.18    0.00    1.02    0.00    0.00    1.27    0.00    0.00    0.00   87.53
00:56:50     all    9.67    0.00    1.53    0.00    0.00    0.76    0.00    0.00    0.00   88.04
00:56:51     all    9.67    0.00    1.02    0.00    0.00    1.27    0.00    0.00    0.00   88.04
00:56:52     all    9.44    0.00    1.02    0.00    0.00    0.51    0.00    0.00    0.00   89.03
00:56:53     all    9.11    0.00    1.52    0.00    0.00    1.27    0.00    0.00    0.00   88.10
00:56:54     all    9.62    0.00    1.01    0.00    0.00    1.27    0.00    0.00    0.00   88.10
00:56:55     all    9.21    0.00    1.02    0.00    0.00    1.53    0.00    0.00    0.00   88.24
00:56:56     all    8.84    0.00    1.52    0.00    0.00    1.77    0.00    0.00    0.00   87.88
00:56:57     all    9.69    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   88.27
00:56:58     all    9.11    0.00    1.01    0.00    0.00    1.77    0.00    0.00    0.00   88.10
00:56:59     all    9.41    0.00    1.27    0.00    0.00    0.76    0.00    0.00    0.00   88.55
00:57:00     all    9.64    0.00    1.02    0.00    0.00    1.52    0.00    0.00    0.00   87.82
00:57:01     all    9.23    0.00    1.28    0.00    0.00    1.03    0.00    0.00    0.00   88.46
00:57:02     all    9.85    0.00    1.52    0.00    0.00    1.52    0.00    0.00    0.00   87.12
00:57:03     all    9.67    0.00    1.27    0.00    0.00    1.27    0.00    0.00    0.00   87.79
00:57:04     all   10.18    0.00    1.02    0.00    0.00    0.76    0.00    0.00    0.00   88.04
00:57:05     all    9.60    0.00    1.26    0.25    0.00    1.52    0.00    0.00    0.00   87.37
00:57:06     all    9.34    0.00    1.52    0.00    0.00    1.01    0.25    0.00    0.00   87.88
00:57:07     all    9.21    0.00    1.28    0.00    0.00    1.02    0.00    0.00    0.00   88.49
00:57:08     all    8.86    0.00    1.52    0.00    0.00    1.52    0.00    0.00    0.00   88.10
00:57:09     all    9.25    0.00    1.29    0.00    0.00    0.77    0.00    0.00    0.00   88.69
00:57:10     all    9.62    0.00    0.76    0.00    0.00    1.01    0.00    0.00    0.00   88.61
00:57:11     all    9.69    0.00    1.02    0.00    0.00    1.28    0.00    0.00    0.00   88.01
00:57:12     all    8.95    0.00    1.02    0.00    0.00    1.28    0.00    0.00    0.00   88.75
00:57:13     all    5.01    0.00    0.75    0.00    0.00    0.75    0.25    0.00    0.00   93.23
00:57:14     all    6.62    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   92.11
00:57:15     all    8.61    0.00    1.27    0.00    0.00    1.01    0.00    0.00    0.00   89.11
00:57:16     all    9.82    0.00    1.26    0.00    0.00    1.51    0.00    0.00    0.00   87.41
00:57:17     all    9.16    0.00    1.53    0.00    0.00    1.02    0.00    0.00    0.00   88.30
00:57:18     all    9.21    0.00    1.02    0.00    0.00    0.77    0.00    0.00    0.00   89.00
00:57:19     all    9.18    0.00    1.28    0.00    0.00    1.28    0.00    0.00    0.00   88.27
00:57:20     all    9.90    0.00    1.27    0.00    0.00    0.51    0.00    0.00    0.00   88.32
00:57:21     all    9.44    0.00    1.28    0.00    0.00    1.28    0.00    0.00    0.00   88.01
00:57:22     all    9.18    0.00    1.02    0.00    0.00    1.53    0.00    0.00    0.00   88.27
00:57:23     all    9.69    0.00    1.53    0.00    0.00    0.77    0.00    0.00    0.00   88.01
00:57:24     all    9.85    0.00    1.26    0.00    0.00    1.52    0.00    0.00    0.00   87.37
00:57:25     all    9.85    0.00    1.52    0.00    0.00    1.01    0.00    0.00    0.00   87.63
00:57:26     all    9.41    0.00    1.27    0.00    0.00    1.27    0.00    0.00    0.00   88.04
00:57:27     all    9.62    0.00    1.27    0.00    0.00    1.27    0.00    0.00    0.00   87.85
00:57:28     all    9.14    0.00    1.27    0.25    0.00    1.02    0.00    0.00    0.00   88.32
00:57:29     all    9.39    0.00    1.27    0.00    0.00    1.52    0.00    0.00    0.00   87.82
00:57:30     all   10.18    0.00    0.76    0.00    0.00    1.27    0.00    0.00    0.00   87.79
00:57:31     all    9.67    0.00    1.78    0.00    0.00    1.02    0.00    0.00    0.00   87.53
00:57:32     all    9.49    0.00    0.51    0.00    0.00    1.28    0.00    0.00    0.00   88.72
00:57:33     all    9.62    0.00    1.77    0.00    0.00    1.01    0.00    0.00    0.00   87.59
00:57:34     all    9.16    0.00    1.02    0.00    0.00    1.27    0.00    0.00    0.00   88.55
00:57:35     all    9.90    0.00    1.52    0.00    0.00    0.76    0.00    0.00    0.00   87.82
00:57:36     all    8.44    0.00    1.02    0.00    0.00    1.53    0.00    0.00    0.00   89.00
00:57:37     all    8.46    0.00    0.51    0.00    0.00    0.26    0.00    0.00    0.00   90.77
00:57:38     all    7.87    0.00    1.02    0.00    0.00    1.27    0.00    0.00    0.00   89.85
00:57:39     all    8.29    0.00    1.26    0.00    0.00    0.75    0.00    0.00    0.00   89.70
00:57:40     all    8.14    0.00    0.76    0.00    0.00    1.02    0.00    0.00    0.00   90.08
00:57:41     all    7.91    0.00    0.77    0.00    0.00    0.77    0.00    0.00    0.00   90.56
00:57:42     all    8.59    0.00    1.26    0.00    0.00    1.01    0.00    0.00    0.00   89.14
00:57:43     all    7.87    0.00    1.02    0.00    0.00    1.02    0.25    0.00    0.00   89.85
00:57:44     all    8.35    0.00    1.01    0.00    0.00    0.76    0.25    0.00    0.00   89.62
00:57:45     all    7.36    0.00    1.27    0.00    0.00    0.51    0.00    0.00    0.00   90.86
00:57:46     all    7.83    0.00    1.52    0.00    0.00    1.01    0.00    0.00    0.00   89.65
00:57:47     all    8.35    0.00    0.51    0.51    0.00    1.27    0.00    0.00    0.00   89.37
00:57:48     all    7.87    0.00    1.02    0.25    0.00    0.76    0.00    0.00    0.00   90.10
00:57:49     all    8.14    0.00    0.51    0.00    0.00    1.02    0.00    0.00    0.00   90.33
00:57:50     all    7.85    0.00    1.27    0.00    0.00    1.52    0.00    0.00    0.00   89.37
00:57:51     all    7.87    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   90.10
00:57:52     all    7.89    0.00    0.76    0.00    0.00    1.27    0.25    0.00    0.00   89.82
00:57:53     all    8.14    0.00    1.27    0.00    0.00    0.76    0.00    0.00    0.00   89.82
00:57:54     all    7.58    0.00    0.76    0.00    0.00    1.52    0.00    0.00    0.00   90.15
00:57:55     all    8.16    0.00    1.02    0.00    0.00    0.77    0.26    0.00    0.00   89.80
00:57:56     all    7.93    0.00    1.02    0.00    0.00    0.77    0.00    0.00    0.00   90.28
