Linux 6.8.0-1063-gcp (csb-bench-host-gcp) 	08/04/26 	_x86_64_	(4 CPU)

14:33:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:33:27     all    5.56    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   93.69
14:33:28     all    5.04    0.00    1.01    0.00    0.00    0.76    0.00    0.00    0.00   93.20
14:33:29     all    5.29    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   93.20
14:33:30     all    5.54    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   93.45
14:33:31     all    4.82    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   94.16
14:33:32     all    4.57    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.42
14:33:33     all    5.29    0.00    0.25    0.00    0.00    1.01    0.00    0.00    0.00   93.45
14:33:34     all    5.04    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   93.70
14:33:35     all    5.01    0.00    1.00    0.00    0.00    0.75    0.00    0.00    0.00   93.23
14:33:36     all    4.81    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   94.18
14:33:37     all    5.03    0.00    0.75    0.25    0.00    0.50    0.00    0.00    0.00   93.47
14:33:38     all    5.29    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   93.95
14:33:39     all    5.03    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   93.72
14:33:40     all    4.57    0.00    0.51    0.00    0.00    0.76    0.00    0.00    0.00   94.16
14:33:41     all    4.52    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   93.97
14:33:42     all    5.79    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   93.45
14:33:43     all    4.52    0.00    1.01    0.25    0.00    0.75    0.00    0.00    0.00   93.47
14:33:44     all    4.57    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   94.92
14:33:45     all    4.56    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   94.18
14:33:46     all    4.80    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   93.94
14:33:47     all    4.30    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   94.18
14:33:48     all    5.29    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   93.95
14:33:49     all    4.81    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.18
14:33:50     all    4.31    0.00    0.51    0.00    0.00    0.76    0.00    0.00    0.00   94.42
14:33:51     all    5.29    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   93.70
14:33:52     all    4.56    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   94.43
14:33:53     all    5.50    0.00    1.00    0.00    0.00    0.75    0.00    0.00    0.00   92.75
14:33:54     all    5.03    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   93.47
14:33:55     all    4.83    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   94.40
14:33:56     all    4.80    0.00    0.51    0.00    0.00    0.76    0.00    0.00    0.00   93.94
14:33:57     all    5.08    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   94.16
14:33:58     all    5.47    0.00    1.00    0.00    0.00    0.75    0.00    0.00    0.00   92.79
14:33:59     all    5.34    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   94.15
14:34:00     all    5.26    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   93.48
14:34:01     all    4.80    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   93.94
14:34:02     all    5.32    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   93.67
14:34:03     all    4.52    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   94.22
14:34:04     all    5.06    0.00    0.25    0.00    0.00    0.51    0.00    0.00    0.00   94.18
14:34:05     all    4.76    0.00    1.00    0.00    0.00    0.50    0.00    0.00    0.00   93.73
14:34:06     all    4.56    0.00    1.01    0.00    0.00    0.51    0.00    0.00    0.00   93.92
14:34:07     all    4.27    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   94.22
14:34:08     all    4.82    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   94.16
14:34:09     all    5.51    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   93.48
14:34:10     all    4.53    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   93.95
14:34:11     all    5.51    0.00    0.50    0.00    0.00    0.75    0.00    0.00    0.00   93.23
14:34:12     all    4.79    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   93.70
14:34:13     all    5.06    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   93.92
14:34:14     all    4.55    0.00    1.01    0.25    0.00    0.00    0.00    0.00    0.00   94.19
14:34:15     all    5.04    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   94.21
14:34:16     all    4.75    0.00    0.75    0.00    0.00    0.75    0.25    0.00    0.00   93.50
14:34:17     all    4.82    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   94.16
14:34:18     all    4.52    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   94.22
14:34:19     all    4.80    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   93.94
14:34:20     all    4.80    0.00    1.01    0.00    0.00    0.51    0.00    0.00    0.00   93.69
14:34:21     all    4.56    0.00    0.51    0.00    0.00    0.00    0.25    0.00    0.00   94.68
14:34:22     all    5.00    0.00    1.00    0.00    0.00    0.75    0.00    0.00    0.00   93.25
14:34:23     all    4.55    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   94.19
14:34:24     all    5.05    0.00    0.51    0.00    0.00    0.76    0.00    0.00    0.00   93.69
14:34:25     all    5.54    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   93.70
14:34:26     all    4.58    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   94.66
14:34:27     all    5.01    0.00    0.75    0.00    0.00    1.00    0.00    0.00    0.00   93.23
14:34:28     all    5.28    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   93.72
14:34:29     all    5.28    0.00    0.50    0.25    0.00    0.75    0.00    0.00    0.00   93.22
14:34:30     all    4.81    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   94.18
14:34:31     all    5.26    0.00    0.75    0.00    0.00    0.75    0.00    0.00    0.00   93.23
14:34:32     all    4.56    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   94.18
14:34:33     all    5.30    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   93.69
14:34:34     all    4.57    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.42
14:34:35     all    4.76    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   93.23
14:34:36     all    4.81    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   94.43
14:34:37     all    4.79    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   93.70
14:34:38     all    5.33    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   94.16
14:34:39     all    4.80    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   94.19
14:34:40     all    5.75    0.00    0.75    0.00    0.00    0.75    0.00    0.00    0.00   92.75
14:34:41     all    4.77    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   93.72
14:34:42     all    5.04    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   93.45
14:34:43     all    4.82    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   94.42
14:34:44     all    4.81    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   94.18
