run_id,timestamp_utc,provider,region,paradigm,workload,rep,concurrency,tool,block_size,dataset_size_gb,warmup_s,duration_s,read_throughput_mbps,write_throughput_mbps,total_throughput_mbps,read_iops,write_iops,total_iops,lat_mean_ms,lat_p95_ms,lat_p99_ms,metadata_ops_per_s,cpu_util_pct,raw_artifact_path,raw_sha256,capacity_cost_usd_per_basis,egress_cost_usd_per_basis,total_cost_usd_per_basis,cost_basis_gb
huawei-file-write-c16-r1,2026-08-03T20:56:44.758830+00:00,huawei,,file,write,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
huawei-file-balanced-c16-r1,2026-08-03T20:56:46.842199+00:00,huawei,,file,balanced,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
huawei-object-balanced-c16-r1,2026-08-03T20:56:48.958818+00:00,huawei,,object,balanced,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
huawei-block-metadata-c16-r2,2026-08-03T20:56:51.055231+00:00,huawei,,block,metadata,2,16,,4k,2,,,,,,,,,,,,,,,,,,,
huawei-file-balanced-c16-r3,2026-08-03T20:56:53.139412+00:00,huawei,,file,balanced,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
huawei-block-metadata-c16-r1,2026-08-03T20:56:55.242753+00:00,huawei,,block,metadata,1,16,,4k,2,,,,,,,,,,,,,,,,,,,
huawei-file-largeobj-c16-r2,2026-08-03T20:56:57.364771+00:00,huawei,,file,largeobj,2,16,,16m,40,,,,,,,,,,,,,,,,,,,
huawei-object-read-c16-r3,2026-08-03T20:56:59.439481+00:00,huawei,,object,read,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
huawei-block-largeobj-c16-r1,2026-08-03T20:57:01.566482+00:00,huawei,,block,largeobj,1,16,,16m,40,,,,,,,,,,,,,,,,,,,
huawei-block-write-c16-r1,2026-08-03T20:57:03.676074+00:00,huawei,,block,write,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
huawei-object-write-c16-r1,2026-08-03T20:57:05.812289+00:00,huawei,,object,write,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
huawei-block-write-c16-r2,2026-08-03T20:57:07.932729+00:00,huawei,,block,write,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
huawei-object-largeobj-c16-r3,2026-08-03T20:57:10.042495+00:00,huawei,,object,largeobj,3,16,,16m,40,,,,,,,,,,,,,,,,,,,
huawei-file-metadata-c16-r1,2026-08-03T20:57:12.140485+00:00,huawei,,file,metadata,1,16,,4k,2,,,,,,,,,,,,,,,,,,,
huawei-block-metadata-c16-r3,2026-08-03T20:57:14.293002+00:00,huawei,,block,metadata,3,16,,4k,2,,,,,,,,,,,,,,,,,,,
huawei-object-read-c16-r2,2026-08-03T20:57:16.394478+00:00,huawei,,object,read,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
huawei-file-metadata-c16-r3,2026-08-03T20:57:18.507793+00:00,huawei,,file,metadata,3,16,,4k,2,,,,,,,,,,,,,,,,,,,
huawei-object-balanced-c16-r3,2026-08-03T20:57:20.604074+00:00,huawei,,object,balanced,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
huawei-object-metadata-c16-r1,2026-08-03T20:57:22.720217+00:00,huawei,,object,metadata,1,16,,4k,2,,,,,,,,,,,,,,,,,,,
huawei-file-largeobj-c16-r3,2026-08-03T20:57:24.814285+00:00,huawei,,file,largeobj,3,16,,16m,40,,,,,,,,,,,,,,,,,,,
huawei-block-largeobj-c16-r2,2026-08-03T20:57:26.914568+00:00,huawei,,block,largeobj,2,16,,16m,40,,,,,,,,,,,,,,,,,,,
huawei-file-metadata-c16-r2,2026-08-03T20:57:29.033884+00:00,huawei,,file,metadata,2,16,,4k,2,,,,,,,,,,,,,,,,,,,
huawei-file-write-c16-r3,2026-08-03T20:57:31.163109+00:00,huawei,,file,write,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
