huawei-file-write-c16-r1: no billing row for ('huawei', 'file', '') -> cost blank
huawei-file-balanced-c16-r1: no billing row for ('huawei', 'file', '') -> cost blank
huawei-object-balanced-c16-r1: no billing row for ('huawei', 'object', '') -> cost blank
huawei-block-metadata-c16-r2: no billing row for ('huawei', 'block', '') -> cost blank
huawei-file-balanced-c16-r3: no billing row for ('huawei', 'file', '') -> cost blank
huawei-block-metadata-c16-r1: no billing row for ('huawei', 'block', '') -> cost blank
huawei-file-largeobj-c16-r2: no billing row for ('huawei', 'file', '') -> cost blank
huawei-object-read-c16-r3: no billing row for ('huawei', 'object', '') -> cost blank
huawei-block-largeobj-c16-r1: no billing row for ('huawei', 'block', '') -> cost blank
huawei-block-write-c16-r1: no billing row for ('huawei', 'block', '') -> cost blank
huawei-object-write-c16-r1: no billing row for ('huawei', 'object', '') -> cost blank
huawei-block-write-c16-r2: no billing row for ('huawei', 'block', '') -> cost blank
huawei-object-largeobj-c16-r3: no billing row for ('huawei', 'object', '') -> cost blank
huawei-file-metadata-c16-r1: no billing row for ('huawei', 'file', '') -> cost blank
huawei-block-metadata-c16-r3: no billing row for ('huawei', 'block', '') -> cost blank
huawei-object-read-c16-r2: no billing row for ('huawei', 'object', '') -> cost blank
huawei-file-metadata-c16-r3: no billing row for ('huawei', 'file', '') -> cost blank
huawei-object-balanced-c16-r3: no billing row for ('huawei', 'object', '') -> cost blank
huawei-object-metadata-c16-r1: no billing row for ('huawei', 'object', '') -> cost blank
huawei-file-largeobj-c16-r3: no billing row for ('huawei', 'file', '') -> cost blank
huawei-block-largeobj-c16-r2: no billing row for ('huawei', 'block', '') -> cost blank
huawei-file-metadata-c16-r2: no billing row for ('huawei', 'file', '') -> cost blank
huawei-file-write-c16-r3: no billing row for ('huawei', 'file', '') -> cost blank
huawei-file-balanced-c16-r2: no billing row for ('huawei', 'file', '') -> cost blank
huawei-object-read-c16-r1: no billing row for ('huawei', 'object', '') -> cost blank
huawei-object-metadata-c16-r3: no billing row for ('huawei', 'object', '') -> cost blank
huawei-block-read-c16-r1: no billing row for ('huawei', 'block', '') -> cost blank
huawei-file-write-c16-r2: no billing row for ('huawei', 'file', '') -> cost blank
huawei-file-read-c16-r2: no billing row for ('huawei', 'file', '') -> cost blank
huawei-object-largeobj-c16-r2: no billing row for ('huawei', 'object', '') -> cost blank
huawei-object-balanced-c16-r2: no billing row for ('huawei', 'object', '') -> cost blank
huawei-object-write-c16-r3: no billing row for ('huawei', 'object', '') -> cost blank
huawei-object-largeobj-c16-r1: no billing row for ('huawei', 'object', '') -> cost blank
huawei-block-read-c16-r3: no billing row for ('huawei', 'block', '') -> cost blank
huawei-file-largeobj-c16-r1: no billing row for ('huawei', 'file', '') -> cost blank
huawei-block-write-c16-r3: no billing row for ('huawei', 'block', '') -> cost blank
huawei-object-write-c16-r2: no billing row for ('huawei', 'object', '') -> cost blank
huawei-block-balanced-c16-r1: no billing row for ('huawei', 'block', '') -> cost blank
huawei-block-balanced-c16-r3: no billing row for ('huawei', 'block', '') -> cost blank
huawei-block-largeobj-c16-r3: no billing row for ('huawei', 'block', '') -> cost blank
huawei-file-read-c16-r1: no billing row for ('huawei', 'file', '') -> cost blank
huawei-file-read-c16-r3: no billing row for ('huawei', 'file', '') -> cost blank
huawei-block-read-c16-r2: no billing row for ('huawei', 'block', '') -> cost blank
huawei-block-balanced-c16-r2: no billing row for ('huawei', 'block', '') -> cost blank
huawei-object-metadata-c16-r2: no billing row for ('huawei', 'object', '') -> cost blank
huawei-object-metadata-c16-r1: no billing row for ('huawei', 'object', '') -> cost blank
huawei-file-metadata-c16-r2: no billing row for ('huawei', 'file', '') -> cost blank
huawei-object-metadata-c16-r2: no billing row for ('huawei', 'object', '') -> cost blank
huawei-object-metadata-c16-r3: no billing row for ('huawei', 'object', '') -> cost blank
