Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/04/2026 	_x86_64_	(4 CPU)

09:29:54 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:29:55 AM  all    7.63    0.00    2.04   88.55    0.00    0.51    0.00    0.00    0.00    1.27
09:29:56 AM  all    5.03    0.00    1.01   93.72    0.00    0.25    0.00    0.00    0.00    0.00
09:29:57 AM  all    3.77    0.00    1.51   94.72    0.00    0.00    0.00    0.00    0.00    0.00
09:29:58 AM  all    4.71    0.00    1.74   93.05    0.00    0.50    0.00    0.00    0.00    0.00
09:29:59 AM  all    4.03    0.00    1.51   94.46    0.00    0.00    0.00    0.00    0.00    0.00
09:30:00 AM  all    3.03    0.00    2.02   94.70    0.00    0.25    0.00    0.00    0.00    0.00
09:30:01 AM  all    3.52    0.00    1.76   94.47    0.00    0.25    0.00    0.00    0.00    0.00
09:30:02 AM  all    5.26    0.00    0.75   93.98    0.00    0.00    0.00    0.00    0.00    0.00
09:30:03 AM  all    2.81    0.00    1.28   95.65    0.00    0.26    0.00    0.00    0.00    0.00
09:30:04 AM  all    4.05    0.00    0.51   95.19    0.00    0.25    0.00    0.00    0.00    0.00
09:30:05 AM  all    3.99    0.00    2.00   93.77    0.00    0.25    0.00    0.00    0.00    0.00
09:30:06 AM  all    4.46    0.00    2.23   93.07    0.00    0.25    0.00    0.00    0.00    0.00
09:30:07 AM  all    4.05    0.00    1.01   94.94    0.00    0.00    0.00    0.00    0.00    0.00
09:30:08 AM  all    3.28    0.00    1.77   94.44    0.00    0.51    0.00    0.00    0.00    0.00
09:30:09 AM  all    4.51    0.00    1.50   93.73    0.00    0.25    0.00    0.00    0.00    0.00
09:30:10 AM  all    4.27    0.00    1.51   93.97    0.00    0.25    0.00    0.00    0.00    0.00
09:30:11 AM  all    3.54    0.00    1.52   69.62    0.00    0.00    0.00    0.00    0.00   25.32
09:30:12 AM  all    0.76    0.00    0.51   26.01    0.00    0.00    0.00    0.00    0.00   72.73
09:30:13 AM  all    0.51    0.00    0.51   24.49    0.00    0.00    0.00    0.00    0.00   74.49
09:30:14 AM  all    0.51    0.00    0.25   24.17    0.00    0.00    0.00    0.00    0.00   75.06
09:30:15 AM  all    1.48    0.00    2.22   23.40    0.00    0.00    0.00    0.00    0.00   72.91
09:30:16 AM  all    1.01    0.00    0.76   23.74    0.00    0.00    0.00    0.00    0.00   74.49
09:30:17 AM  all    0.50    0.00    1.51   24.12    0.00    0.00    0.00    0.00    0.00   73.87
09:30:18 AM  all    1.49    0.00    1.24   23.88    0.00    0.00    0.00    0.00    0.00   73.38
09:30:19 AM  all    1.50    0.00    1.25   23.19    0.00    0.00    0.00    0.00    0.00   74.06
09:30:20 AM  all    0.00    0.00    0.77   24.23    0.00    0.00    0.00    0.00    0.00   75.00
09:30:21 AM  all    1.00    0.00    1.00   23.81    0.00    0.00    0.00    0.00    0.00   74.19
09:30:22 AM  all    1.01    0.00    1.51   24.18    0.00    0.00    0.00    0.00    0.00   73.30
09:30:23 AM  all    0.25    0.00    1.26   23.93    0.00    0.25    0.00    0.00    0.00   74.31
09:30:24 AM  all    1.01    0.00    1.26   23.48    0.00    0.00    0.00    0.00    0.00   74.24
09:30:25 AM  all    0.75    0.00    1.50   23.75    0.00    0.00    0.00    0.00    0.00   74.00
09:30:26 AM  all    1.72    0.00    2.45   23.04    0.00    0.00    0.00    0.00    0.00   72.79
09:30:27 AM  all    1.78    0.00    0.76   23.92    0.00    0.00    0.00    0.00    0.00   73.54
09:30:28 AM  all    0.76    0.00    1.01   23.99    0.00    0.00    0.00    0.00    0.00   74.24
09:30:29 AM  all    0.75    0.00    1.25   23.75    0.00    0.00    0.00    0.00    0.00   74.25
09:30:30 AM  all    0.76    0.00    0.51   24.05    0.00    0.00    0.00    0.00    0.00   74.68
09:30:31 AM  all    0.51    0.00    1.01   23.80    0.00    0.00    0.00    0.00    0.00   74.68
