Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/04/2026 	_x86_64_	(4 CPU)

09:39:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:39:49 AM  all    1.50    0.00    1.75   72.25    0.00    0.25    0.00    0.00    0.00   24.25
09:39:50 AM  all    0.00    0.00    0.00   75.00    0.00    0.00    0.00    0.00    0.00   25.00
09:39:51 AM  all    0.25    0.00    0.00   74.69    0.00    0.00    0.00    0.00    0.00   25.06
09:39:52 AM  all    0.00    0.00    0.25   74.75    0.00    0.00    0.00    0.00    0.00   25.00
09:39:53 AM  all    0.00    0.00    0.25   75.00    0.00    0.00    0.00    0.00    0.00   24.75
09:39:54 AM  all    0.00    0.00    0.25   77.44    0.00    0.00    0.00    0.00    0.00   22.31
09:39:55 AM  all    0.50    0.00    1.25   96.51    0.00    0.00    0.00    0.00    0.00    1.75
09:39:56 AM  all    0.00    0.00    0.25   98.25    0.00    0.00    0.00    0.00    0.00    1.50
09:39:57 AM  all    0.00    0.00    0.00   76.83    0.00    0.00    0.00    0.00    0.00   23.17
09:39:58 AM  all    0.00    0.00    0.00   97.76    0.00    0.25    0.00    0.00    0.00    2.00
09:39:59 AM  all    0.00    0.00    0.00   76.25    0.00    0.00    0.00    0.00    0.00   23.75
09:40:00 AM  all    0.00    0.00    0.25   74.94    0.00    0.00    0.00    0.00    0.00   24.81
09:40:01 AM  all    0.00    0.00    0.00   75.00    0.00    0.00    0.00    0.00    0.00   25.00
09:40:02 AM  all    0.00    0.00    0.00   75.06    0.00    0.00    0.00    0.00    0.00   24.94
09:40:03 AM  all    0.00    0.00    0.00   76.56    0.00    0.00    0.00    0.00    0.00   23.44
09:40:04 AM  all    0.00    0.00    0.25   98.25    0.00    0.00    0.00    0.00    0.00    1.50
09:40:05 AM  all    0.00    0.00    0.00   75.00    0.00    0.00    0.00    0.00    0.00   25.00
09:40:06 AM  all    0.00    0.00    0.75   74.63    0.00    0.00    0.00    0.00    0.00   24.63
