ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2026-08-04T05:38:56.249+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,MKDIRS,1,7,7905,20237,,,,,0,0,10,160,,,10,12,27,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T05:38:56.257+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,WRITE,6282,6627,242426,241410,,,,,99,99,1523090,1600000,,,6,61,79897,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T05:39:02.885+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,STAT,490,656,2569759,2435634,,,,,100,99,1259488,1600000,,,0,4,52016,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T05:39:03.542+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,RMFILES,5036,5519,295314,289892,,,,,93,91,1487294,1600000,,,4,51,168390,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T05:39:09.062+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,RMDIRS,434,689,220,231,,,,,100,99,96,160,,,8057,61472,144544,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T05:39:09.795+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,MKDIRS,0,2,28169,60060,,,,,0,100,10,160,,,12,17,72,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T05:39:09.798+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,WRITE,6134,6795,236994,235447,,,,,96,96,1453913,1600000,,,6,63,160252,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T05:39:16.594+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,STAT,572,667,2395917,2398124,,,,,100,99,1371337,1600000,,,0,4,47995,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T05:39:17.262+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,RMFILES,4558,5147,316228,310851,,,,,94,93,1441592,1600000,,,4,47,177548,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T05:39:22.410+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,RMDIRS,242,692,197,231,,,,,100,100,48,160,,,10173,56627,150550,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-block-metadata-c16-r1.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
