Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/04/2026 	_x86_64_	(4 CPU)

05:26:23 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:26:24 AM  all    7.96    0.00   91.29    0.00    0.00    0.00    0.00    0.00    0.00    0.75
05:26:25 AM  all    4.50    0.00   87.50    1.75    0.00    0.00    0.00    0.00    0.00    6.25
05:26:26 AM  all    5.50    0.00   94.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:26:27 AM  all    6.72    0.00   85.32    1.49    0.00    0.25    0.00    0.00    0.00    6.22
05:26:28 AM  all    7.73    0.00   92.27    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:26:29 AM  all    5.53    0.00   86.68    2.51    0.00    0.00    0.00    0.00    0.00    5.28
05:26:30 AM  all    8.54    0.00   89.20    0.00    0.00    0.00    0.00    0.00    0.00    2.26
05:26:31 AM  all   17.71    0.00   80.80    0.00    0.00    0.00    0.00    0.00    0.00    1.50
05:26:32 AM  all    3.74    0.00   86.28    2.49    0.00    0.25    0.00    0.00    0.00    7.23
05:26:33 AM  all    3.54    0.00   86.87    3.03    0.00    0.00    0.00    0.00    0.00    6.57
05:26:34 AM  all    4.24    0.00   93.52    0.00    0.00    0.25    0.00    0.00    0.00    2.00
05:26:35 AM  all    3.27    0.00   87.15    2.02    0.00    0.00    0.00    0.00    0.00    7.56
05:26:36 AM  all    5.01    0.00   93.48    0.00    0.00    0.00    0.00    0.00    0.00    1.50
05:26:37 AM  all    0.50    0.00   83.29    3.24    0.00    0.75    0.00    0.00    0.00   12.22
05:26:38 AM  all    0.00    0.00    0.00    2.50    0.00    0.00    0.00    0.00    0.00   97.50
05:26:39 AM  all    0.00    0.00    0.00    2.26    0.00    0.00    0.00    0.00    0.00   97.74
05:26:40 AM  all    0.25    0.00    0.00    2.49    0.00    0.00    0.00    0.00    0.00   97.26
05:26:41 AM  all    0.00    0.00    2.29   15.78    0.00    0.25    0.00    0.00    0.00   81.68
05:26:42 AM  all    0.00    0.00    0.75    1.74    0.00    0.00    0.00    0.00    0.00   97.51
05:26:43 AM  all    0.00    0.00    0.00    2.01    0.00    0.00    0.00    0.00    0.00   97.99
05:26:44 AM  all    0.25    0.00    0.00    2.49    0.00    0.00    0.00    0.00    0.00   97.26
05:26:45 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:26:46 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:26:47 AM  all    0.00    0.00    0.75    1.00    0.00    0.25    0.00    0.00    0.00   98.00
