Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/04/2026 	_x86_64_	(4 CPU)

08:57:36 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:57:37 AM  all    0.50    0.00    2.01   95.48    0.00    0.50    0.00    0.00    0.00    1.51
08:57:38 AM  all    0.25    0.00    1.51   98.24    0.00    0.00    0.00    0.00    0.00    0.00
08:57:39 AM  all    0.00    0.00    1.75   97.99    0.00    0.25    0.00    0.00    0.00    0.00
08:57:40 AM  all    0.25    0.00    1.52   98.23    0.00    0.00    0.00    0.00    0.00    0.00
08:57:41 AM  all    0.25    0.00    0.51   98.99    0.00    0.25    0.00    0.00    0.00    0.00
08:57:42 AM  all    0.25    0.00    1.26   79.29    0.00    0.25    0.00    0.00    0.00   18.94
08:57:43 AM  all    0.25    0.00    1.26   98.24    0.00    0.25    0.00    0.00    0.00    0.00
08:57:44 AM  all    0.00    0.00    1.26   98.74    0.00    0.00    0.00    0.00    0.00    0.00
08:57:45 AM  all    0.00    0.00    1.01   98.74    0.00    0.25    0.00    0.00    0.00    0.00
08:57:46 AM  all    0.00    0.00    1.51   98.24    0.00    0.25    0.00    0.00    0.00    0.00
08:57:47 AM  all    0.00    0.00    1.52   98.48    0.00    0.00    0.00    0.00    0.00    0.00
08:57:48 AM  all    0.00    0.00    1.26   98.49    0.00    0.25    0.00    0.00    0.00    0.00
08:57:49 AM  all    0.50    0.00    2.77   96.47    0.00    0.25    0.00    0.00    0.00    0.00
08:57:50 AM  all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
08:57:51 AM  all    0.00    0.00    1.26   98.74    0.00    0.00    0.00    0.00    0.00    0.00
08:57:52 AM  all    0.00    0.00    1.01   98.73    0.00    0.25    0.00    0.00    0.00    0.00
08:57:53 AM  all    0.25    0.00    1.26   97.99    0.00    0.50    0.00    0.00    0.00    0.00
08:57:54 AM  all    0.25    0.00    1.01   98.24    0.00    0.50    0.00    0.00    0.00    0.00
08:57:55 AM  all    0.25    0.00    1.75   98.00    0.00    0.00    0.00    0.00    0.00    0.00
08:57:56 AM  all    0.00    0.00    1.27   98.48    0.00    0.25    0.00    0.00    0.00    0.00
08:57:57 AM  all    0.00    0.00    1.26   98.74    0.00    0.00    0.00    0.00    0.00    0.00
08:57:58 AM  all    0.25    0.00    0.76   98.73    0.00    0.25    0.00    0.00    0.00    0.00
08:57:59 AM  all    0.00    0.00    1.76   98.24    0.00    0.00    0.00    0.00    0.00    0.00
08:58:00 AM  all    0.00    0.00    1.51   98.49    0.00    0.00    0.00    0.00    0.00    0.00
08:58:01 AM  all    0.25    0.00    1.01   98.24    0.00    0.50    0.00    0.00    0.00    0.00
08:58:02 AM  all    0.25    0.00    1.26   98.48    0.00    0.00    0.00    0.00    0.00    0.00
08:58:03 AM  all    0.00    0.00    1.26   98.48    0.00    0.25    0.00    0.00    0.00    0.00
08:58:04 AM  all    0.00    0.00    1.01   98.49    0.00    0.50    0.00    0.00    0.00    0.00
08:58:05 AM  all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
08:58:06 AM  all    0.00    0.00    1.26   98.74    0.00    0.00    0.00    0.00    0.00    0.00
08:58:07 AM  all    0.25    0.00    1.75   97.74    0.00    0.25    0.00    0.00    0.00    0.00
08:58:08 AM  all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
08:58:09 AM  all    0.25    0.00    1.02   98.73    0.00    0.00    0.00    0.00    0.00    0.00
08:58:10 AM  all    0.00    0.00    1.01   98.74    0.00    0.25    0.00    0.00    0.00    0.00
08:58:11 AM  all    0.00    0.00    2.02   97.98    0.00    0.00    0.00    0.00    0.00    0.00
08:58:12 AM  all    0.00    0.00    1.25   98.25    0.00    0.50    0.00    0.00    0.00    0.00
08:58:13 AM  all    0.25    0.00    1.26   98.48    0.00    0.00    0.00    0.00    0.00    0.00
08:58:14 AM  all    0.00    0.00    0.76   98.99    0.00    0.25    0.00    0.00    0.00    0.00
08:58:15 AM  all    0.00    0.00    1.52   98.48    0.00    0.00    0.00    0.00    0.00    0.00
08:58:16 AM  all    0.00    0.00    1.26   98.48    0.00    0.25    0.00    0.00    0.00    0.00
08:58:17 AM  all    0.25    0.00    1.75   97.50    0.00    0.50    0.00    0.00    0.00    0.00
08:58:18 AM  all    0.00    0.00    1.51   98.24    0.00    0.25    0.00    0.00    0.00    0.00
08:58:19 AM  all    0.00    0.00    2.00   97.76    0.00    0.25    0.00    0.00    0.00    0.00
08:58:20 AM  all    0.00    0.00    1.27   98.73    0.00    0.00    0.00    0.00    0.00    0.00
08:58:21 AM  all    0.25    0.00    1.25   97.99    0.00    0.50    0.00    0.00    0.00    0.00
08:58:22 AM  all    0.25    0.00    2.24   97.26    0.00    0.25    0.00    0.00    0.00    0.00
08:58:23 AM  all    0.00    0.00    1.26   98.48    0.00    0.25    0.00    0.00    0.00    0.00
08:58:24 AM  all    0.25    0.00    0.76   98.73    0.00    0.25    0.00    0.00    0.00    0.00
08:58:25 AM  all    0.25    0.00    1.26   98.24    0.00    0.25    0.00    0.00    0.00    0.00
08:58:26 AM  all    0.00    0.00    1.51   98.49    0.00    0.00    0.00    0.00    0.00    0.00
08:58:27 AM  all    1.01    0.00    1.77   97.22    0.00    0.00    0.00    0.00    0.00    0.00
08:58:28 AM  all    0.00    0.00    1.27   98.73    0.00    0.00    0.00    0.00    0.00    0.00
08:58:29 AM  all    0.00    0.00    1.02   98.98    0.00    0.00    0.00    0.00    0.00    0.00
08:58:30 AM  all    0.00    0.00    0.51   98.98    0.00    0.51    0.00    0.00    0.00    0.00
08:58:31 AM  all    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00    0.00    0.00
08:58:32 AM  all    0.25    0.00    1.26   97.99    0.00    0.50    0.00    0.00    0.00    0.00
08:58:33 AM  all    0.50    0.00    1.76   97.74    0.00    0.00    0.00    0.00    0.00    0.00
08:58:34 AM  all    0.00    0.00    2.48   96.77    0.00    0.74    0.00    0.00    0.00    0.00
08:58:35 AM  all    0.00    0.00    0.25   80.00    0.00    0.00    0.00    0.00    0.00   19.75
08:58:36 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:58:37 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:58:38 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:58:39 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:58:40 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
08:58:41 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:58:42 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:58:43 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:58:44 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
