Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/04/2026 	_x86_64_	(4 CPU)

09:16:11 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:16:12 AM  all    6.87    0.00    2.04   89.31    0.00    0.25    0.00    0.00    0.00    1.53
09:16:13 AM  all    2.81    0.00    1.53   95.66    0.00    0.00    0.00    0.00    0.00    0.00
09:16:14 AM  all    3.31    0.00    1.53   94.91    0.00    0.25    0.00    0.00    0.00    0.00
09:16:15 AM  all    5.22    0.00    1.24   93.28    0.00    0.25    0.00    0.00    0.00    0.00
09:16:16 AM  all    3.29    0.00    1.52   95.19    0.00    0.00    0.00    0.00    0.00    0.00
09:16:17 AM  all    3.98    0.00    1.99   93.78    0.00    0.25    0.00    0.00    0.00    0.00
09:16:18 AM  all    3.55    0.00    1.27   95.18    0.00    0.00    0.00    0.00    0.00    0.00
09:16:19 AM  all    2.78    0.00    1.52   95.44    0.00    0.25    0.00    0.00    0.00    0.00
09:16:20 AM  all    5.00    0.00    0.75   94.00    0.00    0.25    0.00    0.00    0.00    0.00
09:16:21 AM  all    3.76    0.00    1.25   94.74    0.00    0.25    0.00    0.00    0.00    0.00
09:16:22 AM  all    3.31    0.00    1.53   95.17    0.00    0.00    0.00    0.00    0.00    0.00
09:16:23 AM  all    2.28    0.00    1.52   95.70    0.00    0.51    0.00    0.00    0.00    0.00
09:16:24 AM  all    3.06    0.00    1.28   95.66    0.00    0.00    0.00    0.00    0.00    0.00
09:16:25 AM  all    4.52    0.00    1.26   94.22    0.00    0.00    0.00    0.00    0.00    0.00
09:16:26 AM  all    3.30    0.00    1.27   95.43    0.00    0.00    0.00    0.00    0.00    0.00
09:16:27 AM  all    4.06    0.00    1.78   93.91    0.00    0.25    0.00    0.00    0.00    0.00
09:16:28 AM  all    3.50    0.00    1.75   94.50    0.00    0.25    0.00    0.00    0.00    0.00
09:16:29 AM  all    4.52    0.00    1.76   93.22    0.00    0.50    0.00    0.00    0.00    0.00
09:16:30 AM  all    3.81    0.00    1.27   94.92    0.00    0.00    0.00    0.00    0.00    0.00
09:16:31 AM  all    4.27    0.00    1.01   94.22    0.00    0.50    0.00    0.00    0.00    0.00
09:16:32 AM  all    3.28    0.00    1.77   69.44    0.00    0.00    0.00    0.00    0.00   25.51
09:16:33 AM  all    1.25    0.00    1.25   24.19    0.00    0.00    0.00    0.00    0.00   73.32
09:16:34 AM  all    0.75    0.00    1.76   23.37    0.00    0.25    0.00    0.00    0.00   73.87
09:16:35 AM  all    1.26    0.00    0.76   23.74    0.00    0.00    0.00    0.00    0.00   74.24
09:16:36 AM  all    1.50    0.00    1.50   23.44    0.00    0.00    0.00    0.00    0.00   73.57
09:16:37 AM  all    1.26    0.00    1.26   23.68    0.00    0.00    0.00    0.00    0.00   73.80
09:16:38 AM  all    0.76    0.00    0.51   23.66    0.00    0.00    0.00    0.00    0.00   75.06
09:16:39 AM  all    1.25    0.00    2.01   23.31    0.00    0.00    0.00    0.00    0.00   73.43
09:16:40 AM  all    0.51    0.00    0.76   23.66    0.00    0.00    0.00    0.00    0.00   75.06
09:16:41 AM  all    0.75    0.00    1.25   23.75    0.00    0.25    0.00    0.00    0.00   74.00
09:16:42 AM  all    1.01    0.00    1.01   23.54    0.00    0.00    0.00    0.00    0.00   74.43
09:16:43 AM  all    1.26    0.00    1.51   23.62    0.00    0.00    0.00    0.00    0.00   73.62
09:16:44 AM  all    1.26    0.00    0.76   23.68    0.00    0.00    0.00    0.00    0.00   74.31
09:16:45 AM  all    0.51    0.00    1.27   23.41    0.00    0.00    0.00    0.00    0.00   74.81
09:16:46 AM  all    0.76    0.00    1.01   23.68    0.00    0.00    0.00    0.00    0.00   74.56
09:16:47 AM  all    0.75    0.00    1.76   23.87    0.00    0.00    0.00    0.00    0.00   73.62
09:16:48 AM  all    0.76    0.00    1.01   23.48    0.00    0.00    0.00    0.00    0.00   74.75
09:16:49 AM  all    1.00    0.00    2.01   23.31    0.00    0.00    0.00    0.00    0.00   73.68
09:16:50 AM  all    0.51    0.00    1.52   23.74    0.00    0.00    0.00    0.00    0.00   74.24
09:16:51 AM  all    0.51    0.00    0.51   23.79    0.00    0.00    0.00    0.00    0.00   75.19
09:16:52 AM  all    1.25    0.00    1.50   23.56    0.00    0.00    0.00    0.00    0.00   73.68
09:16:53 AM  all    1.25    0.00    1.75   23.69    0.00    0.00    0.00    0.00    0.00   73.32
09:16:54 AM  all    0.51    0.00    1.27   23.35    0.00    0.00    0.00    0.00    0.00   74.87
09:16:55 AM  all    0.76    0.00    1.76   23.68    0.00    0.00    0.00    0.00    0.00   73.80
