Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/04/2026 	_x86_64_	(4 CPU)

08:15:31 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:15:32 AM  all    1.79    0.00    4.59    0.00    0.00    2.04    0.00    0.00    0.00   91.58
08:15:33 AM  all    2.22    0.00    6.17    0.00    0.00    1.98    0.00    0.00    0.00   89.63
08:15:34 AM  all    1.79    0.00    5.12    0.00    0.00    1.02    0.00    0.00    0.00   92.07
08:15:35 AM  all    1.72    0.00    7.11    0.00    0.00    2.94    0.00    0.00    0.00   88.24
08:15:36 AM  all    1.79    0.00    4.86    0.00    0.00    1.53    0.00    0.00    0.00   91.82
08:15:37 AM  all    2.23    0.00    5.45    0.00    0.00    2.72    0.00    0.00    0.00   89.60
08:15:38 AM  all    1.01    0.00    6.06    0.00    0.00    2.02    0.00    0.00    0.00   90.91
08:15:39 AM  all    2.50    0.00    5.75    0.00    0.00    2.00    0.00    0.00    0.00   89.75
08:15:40 AM  all    1.26    0.00    6.05    0.00    0.00    2.02    0.00    0.00    0.00   90.68
08:15:41 AM  all    1.76    0.00    5.03    0.00    0.00    2.51    0.00    0.00    0.00   90.70
08:15:42 AM  all    3.98    0.00    5.72    1.24    0.00    1.99    0.00    0.00    0.00   87.06
08:15:43 AM  all    1.00    0.00    6.25    0.00    0.00    2.50    0.00    0.00    0.00   90.25
08:15:44 AM  all    2.26    0.00    5.51    0.00    0.00    1.75    0.00    0.00    0.00   90.48
08:15:45 AM  all    2.26    0.00    5.26    0.00    0.00    2.26    0.00    0.00    0.00   90.23
08:15:46 AM  all    1.50    0.00    5.00    0.00    0.00    3.25    0.00    0.00    0.00   90.25
08:15:47 AM  all    1.27    0.00    5.85    0.00    0.00    1.02    0.00    0.00    0.00   91.86
08:15:48 AM  all    1.26    0.00    7.05    0.25    0.00    1.26    0.00    0.00    0.00   90.18
08:15:49 AM  all    1.51    0.00    5.04    0.00    0.00    2.27    0.00    0.00    0.00   91.18
08:15:50 AM  all    1.27    0.00    5.58    0.00    0.00    1.78    0.00    0.00    0.00   91.37
08:15:51 AM  all    2.47    0.00    6.17    0.00    0.00    2.47    0.00    0.00    0.00   88.89
