Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/04/2026 	_x86_64_	(4 CPU)

09:09:45 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:09:46 AM  all    1.51    0.00    5.79    0.00    0.00    5.04    0.00    0.00    0.00   87.66
09:09:47 AM  all    0.00    0.00    3.07    0.26    0.00    3.32    0.00    0.00    0.00   93.35
09:09:48 AM  all    0.00    0.00    3.53    0.00    0.00    4.28    0.00    0.00    0.00   92.19
09:09:49 AM  all    0.00    0.00    2.79    0.00    0.00    3.81    0.00    0.00    0.00   93.40
09:09:50 AM  all    0.75    0.00    3.76    1.25    0.00    5.26    0.00    0.00    0.00   88.97
09:09:51 AM  all    0.00    0.00    3.51    0.25    0.00    3.51    0.00    0.00    0.00   92.73
09:09:52 AM  all    0.00    0.00    3.24    0.00    0.00    5.49    0.00    0.00    0.00   91.27
09:09:53 AM  all    0.00    0.00    4.04    0.00    0.00    4.29    0.00    0.00    0.00   91.67
09:09:54 AM  all    0.00    0.00    2.52    0.00    0.00    5.04    0.00    0.00    0.00   92.44
09:09:55 AM  all    0.00    0.00    3.06    0.00    0.00    3.32    0.00    0.00    0.00   93.62
09:09:56 AM  all    0.00    0.00    2.49    0.00    0.00    5.49    0.00    0.00    0.00   92.02
09:09:57 AM  all    0.00    0.00    3.27    0.00    0.00    4.53    0.00    0.00    0.00   92.19
09:09:58 AM  all    0.00    0.00    2.54    0.00    0.00    3.81    0.00    0.00    0.00   93.65
09:09:59 AM  all    0.00    0.00    4.57    0.00    0.00    4.06    0.00    0.00    0.00   91.37
09:10:00 AM  all    0.00    0.00    2.56    0.00    0.00    2.31    0.00    0.00    0.00   95.13
09:10:01 AM  all    0.00    0.00    2.53    0.00    0.00    4.80    0.00    0.00    0.00   92.68
09:10:02 AM  all    0.00    0.00    3.78    0.00    0.00    4.03    0.00    0.00    0.00   92.19
09:10:03 AM  all    0.00    0.00    3.05    0.00    0.00    4.33    0.00    0.00    0.00   92.62
09:10:04 AM  all    0.00    0.00    2.78    0.00    0.00    3.04    0.00    0.00    0.00   94.18
09:10:05 AM  all    0.00    0.00    2.54    0.00    0.00    3.81    0.00    0.00    0.00   93.65
09:10:06 AM  all    0.00    0.00    3.28    0.00    0.00    4.29    0.00    0.00    0.00   92.42
09:10:07 AM  all    0.25    0.00    4.25    0.00    0.00    4.75    0.00    0.00    0.00   90.75
09:10:08 AM  all    0.00    0.00    3.28    0.00    0.00    4.29    0.00    0.00    0.00   92.42
09:10:09 AM  all    0.00    0.00    3.72    0.00    0.00    5.21    0.00    0.00    0.00   91.07
09:10:10 AM  all    0.00    0.00    3.31    0.00    0.00    4.58    0.00    0.00    0.00   92.11
09:10:11 AM  all    0.00    0.00    3.31    0.00    0.00    4.83    0.00    0.00    0.00   91.86
09:10:12 AM  all    0.00    0.00    2.54    0.00    0.00    3.56    0.00    0.00    0.00   93.89
09:10:13 AM  all    0.00    0.00    3.06    0.00    0.00    2.55    0.00    0.00    0.00   94.39
09:10:14 AM  all    0.00    0.00    2.28    0.00    0.00    4.56    0.00    0.00    0.00   93.16
09:10:15 AM  all    0.25    0.00    3.03    0.00    0.00    4.80    0.00    0.00    0.00   91.92
09:10:16 AM  all    0.00    0.00    3.78    0.00    0.00    4.28    0.00    0.00    0.00   91.94
09:10:17 AM  all    0.00    0.00    1.80    0.00    0.00    2.83    0.00    0.00    0.00   95.37
09:10:18 AM  all    0.00    0.00    3.24    0.00    0.00    5.74    0.00    0.00    0.00   91.02
09:10:19 AM  all    0.00    0.00    3.96    0.00    0.00    5.20    0.00    0.00    0.00   90.84
09:10:20 AM  all    0.00    0.00    2.31    0.00    0.00    3.08    0.00    0.00    0.00   94.60
09:10:21 AM  all    0.00    0.00    2.28    0.00    0.00    5.06    0.00    0.00    0.00   92.66
09:10:22 AM  all    0.00    0.00    4.51    0.00    0.00    5.51    0.00    0.00    0.00   89.97
09:10:23 AM  all    0.00    0.00    2.82    0.00    0.00    3.33    0.00    0.00    0.00   93.85
09:10:24 AM  all    0.00    0.00    3.03    0.00    0.00    3.54    0.00    0.00    0.00   93.43
09:10:25 AM  all    0.00    0.00    3.56    0.00    0.00    4.83    0.00    0.00    0.00   91.60
09:10:26 AM  all    0.00    0.00    2.78    0.00    0.00    5.30    0.00    0.00    0.00   91.92
09:10:27 AM  all    1.27    0.00    3.04    0.51    0.00    4.05    0.00    0.00    0.00   91.14
09:10:28 AM  all    0.00    0.00    2.53    0.00    0.00    4.55    0.00    0.00    0.00   92.93
09:10:29 AM  all    0.00    0.00    2.04    0.00    0.00    3.56    0.00    0.00    0.00   94.40
09:10:30 AM  all    0.00    0.00    3.81    0.00    0.00    4.57    0.00    0.00    0.00   91.62
09:10:31 AM  all    0.00    0.00    2.57    0.00    0.00    3.60    0.00    0.00    0.00   93.83
09:10:32 AM  all    0.00    0.00    2.26    0.00    0.00    5.03    0.00    0.00    0.00   92.71
09:10:33 AM  all    0.00    0.00    2.54    0.00    0.00    3.81    0.00    0.00    0.00   93.65
09:10:34 AM  all    0.00    0.00    3.51    0.00    0.00    5.26    0.00    0.00    0.00   91.23
09:10:35 AM  all    0.00    0.00    2.28    0.00    0.00    3.81    0.00    0.00    0.00   93.91
09:10:36 AM  all    0.00    0.00    2.05    0.00    0.00    3.33    0.00    0.00    0.00   94.62
09:10:37 AM  all    0.00    0.00    4.05    0.00    0.00    5.06    0.00    0.00    0.00   90.89
09:10:38 AM  all    0.00    0.00    3.03    0.00    0.00    4.04    0.00    0.00    0.00   92.93
09:10:39 AM  all    0.00    0.00    2.27    0.00    0.00    5.79    0.00    0.00    0.00   91.94
09:10:40 AM  all    0.00    0.00    3.27    0.00    0.00    5.03    0.00    0.00    0.00   91.71
09:10:41 AM  all    0.00    0.00    2.28    0.00    0.00    4.05    0.00    0.00    0.00   93.67
09:10:42 AM  all    0.25    0.00    3.27    0.00    0.00    4.53    0.00    0.00    0.00   91.94
09:10:43 AM  all    0.00    0.00    3.28    0.00    0.00    4.04    0.00    0.00    0.00   92.68
09:10:44 AM  all    0.00    0.00    2.02    0.00    0.00    4.80    0.00    0.00    0.00   93.18
09:10:45 AM  all    0.00    0.00    3.48    0.00    0.00    4.73    0.00    0.00    0.00   91.79
09:10:46 AM  all    0.25    0.00    2.29    0.00    0.00    4.07    0.00    0.00    0.00   93.38
09:10:47 AM  all    0.00    0.00    3.55    0.00    0.00    3.81    0.00    0.00    0.00   92.64
09:10:48 AM  all    0.00    0.00    3.50    0.00    0.00    3.75    0.00    0.00    0.00   92.75
09:10:49 AM  all    0.00    0.00    2.76    0.00    0.00    4.76    0.00    0.00    0.00   92.48
09:10:50 AM  all    0.00    0.00    2.54    0.00    0.00    3.30    0.00    0.00    0.00   94.16
09:10:51 AM  all    0.25    0.00    3.78    0.00    0.00    5.54    0.00    0.00    0.00   90.43
09:10:52 AM  all    0.00    0.00    2.52    0.00    0.00    4.53    0.00    0.00    0.00   92.95
09:10:53 AM  all    0.00    0.00    4.55    0.00    0.00    5.05    0.00    0.00    0.00   90.40
09:10:54 AM  all    0.25    0.00    2.27    0.00    0.00    4.79    0.00    0.00    0.00   92.70
09:10:55 AM  all    0.00    0.00    3.49    0.00    0.00    4.74    0.00    0.00    0.00   91.77
09:10:56 AM  all    0.00    0.00    2.51    0.00    0.00    5.03    0.00    0.00    0.00   92.46
09:10:57 AM  all    0.00    0.00    2.51    0.00    0.00    5.01    0.00    0.00    0.00   92.48
09:10:58 AM  all    0.00    0.00    4.26    0.00    0.00    5.26    0.00    0.00    0.00   90.48
09:10:59 AM  all    0.00    0.00    2.55    0.00    0.00    4.08    0.00    0.00    0.00   93.37
09:11:00 AM  all    0.00    0.00    3.02    0.00    0.00    3.78    0.00    0.00    0.00   93.20
09:11:01 AM  all    0.00    0.00    3.55    0.00    0.00    5.33    0.00    0.00    0.00   91.12
09:11:02 AM  all    0.00    0.00    3.54    0.25    0.00    5.06    0.00    0.00    0.00   91.14
09:11:03 AM  all    0.00    0.00    2.54    0.00    0.00    3.31    0.00    0.00    0.00   94.15
09:11:04 AM  all    0.00    0.00    2.51    0.00    0.00    5.28    0.00    0.00    0.00   92.21
