ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2026-08-04T07:36:49.278+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,MKDIRS,36,91,1680,1745,,,,,7,5,61,160,,,1687,4368,9918,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-file-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/file" 
2026-08-04T07:38:19.175+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,MKDIRS,7,52,5000,3019,,,,,39,9,40,160,,,330,1040,13509,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-file-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/file" 
2026-08-04T07:38:19.228+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,WRITE,558066,565129,2847,2831,,,,,7,7,1588989,1600000,,,429,5614,771354,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-file-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/file" 
2026-08-04T07:47:44.359+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,STAT,68593,69679,23051,22962,,,,,19,19,1581166,1600000,,,278,692,21556,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-file-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/file" 
2026-08-06T01:32:07.450+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,MKDIRS,54,94,1404,1692,,,,,0,0,77,160,,,1455,4710,10421,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-file-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/file" 
2026-08-06T01:33:37.347+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,MKDIRS,11,29,2942,5402,,,,,0,8,34,160,,,379,795,4061,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-file-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/file" 
2026-08-06T01:33:37.377+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,WRITE,489565,492508,3254,3248,,,,,9,9,1593066,1600000,,,456,4914,745602,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-file-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/file" 
2026-08-06T01:41:49.886+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,STAT,67392,68383,23488,23397,,,,,21,20,1582938,1600000,,,282,678,22305,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-file-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/file" 
2026-08-06T01:42:58.270+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,RMFILES,586613,589032,2719,2716,,,,,8,8,1595458,1600000,,,1584,5879,624563,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-file-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/file" 
2026-08-06T01:52:47.303+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,RMDIRS,631,803,186,199,,,,,99,98,118,160,,,8311,73886,164551,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/huawei-file-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/file" 
