Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/06/2026 	_x86_64_	(4 CPU)

01:33:37 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:33:38 AM  all    1.78    0.00   14.21    0.00    0.00    8.38    0.00    0.00    0.00   75.63
01:33:39 AM  all    0.75    0.00   19.35    0.00    0.00    8.54    0.00    0.00    0.00   71.36
01:33:40 AM  all    1.50    0.00   14.79    0.25    0.00    8.02    0.00    0.00    0.00   75.44
01:33:41 AM  all    0.52    0.00   19.12    0.00    0.00    6.98    0.00    0.00    0.00   73.39
01:33:42 AM  all    0.49    0.00   17.27    0.00    0.00    8.52    0.00    0.00    0.00   73.72
01:33:43 AM  all    1.02    0.00   17.05    0.00    0.00    8.65    0.00    0.00    0.00   73.28
01:33:44 AM  all    0.25    0.00   16.33    0.00    0.00   10.80    0.00    0.00    0.00   72.61
01:33:45 AM  all    1.27    0.00   14.25    0.00    0.00    7.38    0.00    0.00    0.00   77.10
01:33:46 AM  all    0.50    0.00   19.25    0.00    0.00    9.50    0.00    0.00    0.00   70.75
01:33:47 AM  all    1.22    0.00   17.11    0.00    0.00    7.58    0.00    0.00    0.00   74.08
01:33:48 AM  all    1.48    0.00   16.79    0.00    0.00    9.14    0.00    0.00    0.00   72.59
01:33:49 AM  all    0.73    0.00   21.90    0.00    0.00    7.54    0.00    0.00    0.00   69.83
01:33:50 AM  all    1.19    0.00   19.33    0.00    0.00    8.83    0.00    0.00    0.00   70.64
01:33:51 AM  all    0.00    0.00   20.34    0.00    0.00   10.54    0.00    0.00    0.00   69.12
01:33:52 AM  all    0.50    0.00   12.85    0.00    0.00   10.33    0.00    0.00    0.00   76.32
01:33:53 AM  all    0.78    0.00   16.28    0.00    0.00    9.04    0.00    0.00    0.00   73.90
01:33:54 AM  all    0.51    0.00   15.56    0.00    0.00    7.65    0.00    0.00    0.00   76.28
01:33:55 AM  all    0.51    0.00   11.20    0.00    0.00    9.16    0.00    0.00    0.00   79.13
01:33:56 AM  all    0.00    0.00    6.53    0.00    0.00    2.26    0.00    0.00    0.00   91.21
01:33:57 AM  all    0.25    0.00    3.77    0.00    0.00    3.77    0.00    0.00    0.00   92.21
01:33:58 AM  all    0.77    0.00    3.33    0.00    0.00    3.08    0.00    0.00    0.00   92.82
01:33:59 AM  all    0.00    0.00    4.23    0.00    0.00    2.74    0.00    0.00    0.00   93.03
01:34:00 AM  all    0.25    0.00    5.33    0.00    0.00    2.79    0.00    0.00    0.00   91.62
01:34:01 AM  all    0.25    0.00    5.28    0.00    0.00    2.76    0.00    0.00    0.00   91.71
01:34:02 AM  all    0.00    0.00    3.03    0.00    0.00    2.27    0.00    0.00    0.00   94.70
01:34:03 AM  all    0.00    0.00    5.65    0.00    0.00    4.67    0.00    0.00    0.00   89.68
01:34:04 AM  all    0.25    0.00    4.30    0.00    0.00    3.80    0.00    0.00    0.00   91.65
01:34:05 AM  all    0.24    0.00    6.11    0.00    0.00    4.40    0.00    0.00    0.00   89.24
