Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/04/2026 	_x86_64_	(4 CPU)

09:51:09 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:51:10 AM  all    0.49    0.00    5.67    0.00    0.00    6.40    0.00    0.00    0.00   87.44
09:51:11 AM  all    0.26    0.00    2.82    0.00    0.00    5.38    0.00    0.00    0.00   91.54
09:51:12 AM  all    0.25    0.00    4.70    0.00    0.00    6.44    0.00    0.00    0.00   88.61
09:51:13 AM  all    0.00    0.00    4.00    0.00    0.00    6.50    0.00    0.00    0.00   89.50
09:51:14 AM  all    0.00    0.00    4.24    0.00    0.00    6.48    0.00    0.00    0.00   89.28
09:51:15 AM  all    0.00    0.00    5.20    0.00    0.00    6.19    0.00    0.00    0.00   88.61
09:51:16 AM  all    0.25    0.00    2.77    0.00    0.00    6.55    0.00    0.00    0.00   90.43
09:51:17 AM  all    0.00    0.00    3.73    0.00    0.00    7.21    0.00    0.00    0.00   89.05
09:51:18 AM  all    0.25    0.00    2.03    0.00    0.00    7.34    0.00    0.00    0.00   90.38
09:51:19 AM  all    0.25    0.00    4.47    0.00    0.00    6.70    0.00    0.00    0.00   88.59
09:51:20 AM  all    0.00    0.00    4.75    0.00    0.00    6.00    0.00    0.00    0.00   89.25
09:51:21 AM  all    0.00    0.00    3.52    0.00    0.00    6.53    0.00    0.00    0.00   89.95
09:51:22 AM  all    0.50    0.00    4.47    0.00    0.00    6.45    0.00    0.00    0.00   88.59
09:51:23 AM  all    0.00    0.00    5.16    0.00    0.00    6.63    0.00    0.00    0.00   88.21
09:51:24 AM  all    0.00    0.00    4.98    0.00    0.00    5.72    0.00    0.00    0.00   89.30
09:51:25 AM  all    0.00    0.00    3.75    0.25    0.00    6.75    0.00    0.00    0.00   89.25
09:51:26 AM  all    0.25    0.00    4.95    0.00    0.00    6.44    0.00    0.00    0.00   88.37
09:51:27 AM  all    0.99    0.00    4.95    0.00    0.00    6.68    0.00    0.00    0.00   87.38
09:51:28 AM  all    0.00    0.00    4.76    0.00    0.00    5.76    0.00    0.00    0.00   89.47
09:51:29 AM  all    0.00    0.00    5.19    0.00    0.00    6.67    0.00    0.00    0.00   88.15
09:51:30 AM  all    0.00    0.00    2.99    0.00    0.00    7.96    0.00    0.00    0.00   89.05
09:51:31 AM  all    0.25    0.00    5.15    0.00    0.00    6.86    0.00    0.00    0.00   87.75
09:51:32 AM  all    0.00    0.00    4.24    0.00    0.00    6.73    0.00    0.00    0.00   89.03
09:51:33 AM  all    0.00    0.00    4.23    0.00    0.00    6.72    0.00    0.00    0.00   89.05
09:51:34 AM  all    0.25    0.00    4.68    0.00    0.00    7.14    0.00    0.00    0.00   87.93
09:51:35 AM  all    0.25    0.00    4.22    0.00    0.00    6.45    0.00    0.00    0.00   89.08
09:51:36 AM  all    0.00    0.00    4.00    0.00    0.00    6.75    0.00    0.00    0.00   89.25
09:51:37 AM  all    0.00    0.00    3.52    0.00    0.00    5.03    0.00    0.00    0.00   91.46
09:51:38 AM  all    0.25    0.00    5.17    0.00    0.00    7.39    0.00    0.00    0.00   87.19
09:51:39 AM  all    0.00    0.00    3.99    0.00    0.00    7.23    0.00    0.00    0.00   88.78
09:51:40 AM  all    0.00    0.00    4.19    0.00    0.00    7.14    0.00    0.00    0.00   88.67
09:51:41 AM  all    0.00    0.00    5.19    0.00    0.00    6.42    0.00    0.00    0.00   88.40
