Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/04/2026 	_x86_64_	(4 CPU)

05:11:54 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:11:55 AM  all    1.78    0.00    5.60    0.00    0.00    2.04    0.00    0.00    0.00   90.59
05:11:56 AM  all    2.03    0.00    4.81    0.00    0.00    1.52    0.00    0.00    0.00   91.65
05:11:57 AM  all    1.24    0.00    5.47    0.00    0.00    3.23    0.00    0.00    0.00   90.05
05:11:58 AM  all    1.27    0.00    5.08    0.00    0.00    1.52    0.00    0.00    0.00   92.13
05:11:59 AM  all    1.78    0.00    4.07    0.00    0.00    2.04    0.00    0.00    0.00   92.11
05:12:00 AM  all    0.77    0.00    4.34    0.00    0.00    2.30    0.00    0.00    0.00   92.60
05:12:01 AM  all    1.76    0.00    4.27    0.00    0.00    2.51    0.00    0.00    0.00   91.46
05:12:02 AM  all    1.49    0.00    5.72    0.00    0.00    2.49    0.00    0.00    0.00   90.30
05:12:03 AM  all    1.26    0.00    4.55    0.00    0.00    2.53    0.00    0.00    0.00   91.67
05:12:04 AM  all    1.26    0.00    4.80    0.00    0.00    2.78    0.00    0.00    0.00   91.16
05:12:05 AM  all    0.76    0.00    4.30    0.00    0.00    2.53    0.00    0.00    0.00   92.41
05:12:06 AM  all    2.79    0.00    4.57    0.00    0.00    0.76    0.00    0.00    0.00   91.88
05:12:07 AM  all    1.75    0.00    6.00    0.00    0.00    1.50    0.00    0.00    0.00   90.75
05:12:08 AM  all    2.23    0.00    5.20    0.00    0.00    2.23    0.00    0.00    0.00   90.35
05:12:09 AM  all    1.50    0.00    7.00    0.00    0.00    1.75    0.00    0.00    0.00   89.75
05:12:10 AM  all    1.72    0.00    6.37    0.00    0.00    2.45    0.00    0.00    0.00   89.46
05:12:11 AM  all    2.49    0.00    4.49    0.00    0.00    2.49    0.00    0.00    0.00   90.52
05:12:12 AM  all    2.51    0.00    5.51    0.00    0.00    2.01    0.00    0.00    0.00   89.97
05:12:13 AM  all    2.01    0.00    4.26    0.00    0.00    2.76    0.00    0.00    0.00   90.98
05:12:14 AM  all    1.51    0.00    4.79    0.00    0.00    2.52    0.00    0.00    0.00   91.18
05:12:15 AM  all    1.75    0.00    5.00    0.25    0.00    1.25    0.00    0.00    0.00   91.75
05:12:16 AM  all    2.26    0.00    5.78    0.00    0.00    1.51    0.00    0.00    0.00   90.45
05:12:17 AM  all    2.24    0.00    4.48    0.00    0.00    2.74    0.00    0.00    0.00   90.55
05:12:18 AM  all    2.23    0.00    7.18    0.00    0.00    1.98    0.00    0.00    0.00   88.61
05:12:19 AM  all    1.75    0.00    4.01    0.00    0.00    2.51    0.00    0.00    0.00   91.73
05:12:20 AM  all    1.00    0.00    6.00    0.00    0.00    1.75    0.00    0.00    0.00   91.25
05:12:21 AM  all    2.01    0.00    5.01    0.00    0.00    3.01    0.00    0.00    0.00   89.97
05:12:22 AM  all    0.75    0.00    4.76    0.00    0.00    2.51    0.00    0.00    0.00   91.98
05:12:23 AM  all    2.48    0.00    6.45    0.00    0.00    1.74    0.00    0.00    0.00   89.33
05:12:24 AM  all    1.25    0.00    5.51    0.00    0.00    2.01    0.00    0.00    0.00   91.23
05:12:25 AM  all    1.99    0.00    6.20    0.00    0.00    2.48    0.00    0.00    0.00   89.33
05:12:26 AM  all    1.26    0.00    4.27    0.00    0.00    3.27    0.00    0.00    0.00   91.21
05:12:27 AM  all    2.98    0.00    5.46    0.00    0.00    2.48    0.00    0.00    0.00   89.08
05:12:28 AM  all    2.01    0.00    4.51    0.00    0.00    3.01    0.00    0.00    0.00   90.48
05:12:29 AM  all    1.52    0.00    4.56    0.00    0.00    1.52    0.00    0.00    0.00   92.41
05:12:30 AM  all    2.23    0.00    5.96    0.00    0.00    2.73    0.00    0.00    0.00   89.08
