Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/05/2026 	_x86_64_	(4 CPU)

02:13:27 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:13:28 AM  all   10.38    0.00    1.52    0.00    0.00    1.01    0.00    0.00    0.00   87.09
02:13:29 AM  all   10.95    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   87.06
02:13:30 AM  all   12.20    0.00    0.98    0.00    0.00    1.71    0.00    0.00    0.00   85.12
02:13:31 AM  all    9.95    0.00    0.26    0.00    0.00    0.26    0.00    0.00    0.00   89.54
02:13:32 AM  all   10.03    0.00    1.25    0.00    0.00    1.50    0.00    0.00    0.00   87.22
02:13:33 AM  all    7.69    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   90.26
02:13:34 AM  all   11.50    0.00    1.00    0.00    0.00    1.25    0.00    0.00    0.00   86.25
02:13:35 AM  all    9.82    0.00    1.01    0.00    0.00    0.76    0.00    0.00    0.00   88.41
02:13:36 AM  all   11.19    0.00    1.00    0.00    0.00    1.74    0.00    0.00    0.00   86.07
02:13:37 AM  all    9.14    0.00    0.76    0.00    0.00    1.27    0.00    0.00    0.00   88.83
02:13:38 AM  all    9.18    0.00    0.51    0.00    0.00    1.53    0.00    0.00    0.00   88.78
02:13:39 AM  all   11.82    0.00    0.74    0.00    0.00    0.99    0.00    0.00    0.00   86.45
02:13:40 AM  all   10.38    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   87.59
02:13:41 AM  all   11.14    0.00    0.99    0.00    0.00    1.73    0.00    0.00    0.00   86.14
02:13:42 AM  all   13.32    0.00    1.45    0.00    0.00    0.97    0.00    0.00    0.00   84.26
02:13:43 AM  all    9.87    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   88.10
02:13:44 AM  all   10.89    0.00    1.49    0.00    0.00    0.99    0.00    0.00    0.00   86.63
02:13:45 AM  all   11.30    0.00    1.23    0.00    0.00    1.97    0.00    0.00    0.00   85.50
02:13:46 AM  all   11.00    0.00    0.50    0.00    0.00    1.00    0.00    0.00    0.00   87.50
02:13:47 AM  all   10.97    0.00    1.25    0.00    0.00    1.25    0.00    0.00    0.00   86.53
02:13:48 AM  all    8.42    0.00    0.77    0.00    0.00    1.28    0.00    0.00    0.00   89.54
02:13:49 AM  all   11.52    0.00    1.23    0.00    0.00    2.21    0.00    0.00    0.00   85.05
02:13:50 AM  all   10.53    0.00    0.75    0.00    0.00    1.00    0.00    0.00    0.00   87.72
02:13:51 AM  all    9.82    0.00    1.01    0.00    0.00    1.51    0.00    0.00    0.00   87.66
02:13:52 AM  all    8.95    0.00    1.02    0.00    0.00    0.26    0.00    0.00    0.00   89.77
02:13:53 AM  all    9.18    0.00    0.77    0.00    0.00    1.02    0.00    0.00    0.00   89.03
02:13:54 AM  all   10.75    0.00    1.50    0.00    0.00    1.25    0.00    0.00    0.00   86.50
02:13:55 AM  all   11.44    0.00    0.50    0.00    0.00    1.24    0.00    0.00    0.00   86.82
02:13:56 AM  all    9.87    0.00    0.76    0.00    0.00    1.01    0.00    0.00    0.00   88.35
02:13:57 AM  all   11.06    0.00    0.75    0.00    0.00    0.75    0.00    0.00    0.00   87.44
02:13:58 AM  all   10.30    0.00    0.50    0.00    0.00    1.26    0.00    0.00    0.00   87.94
02:13:59 AM  all   10.95    0.00    1.74    0.00    0.00    1.00    0.00    0.00    0.00   86.32
02:14:00 AM  all   12.47    0.00    0.98    0.00    0.00    0.98    0.00    0.00    0.00   85.57
02:14:01 AM  all    8.61    0.00    0.51    0.00    0.00    1.52    0.00    0.00    0.00   89.37
02:14:02 AM  all    8.08    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   90.40
02:14:03 AM  all   10.75    0.00    0.75    0.00    0.00    1.00    0.00    0.00    0.00   87.50
02:14:04 AM  all   10.97    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   87.03
02:14:05 AM  all    9.32    0.00    1.01    0.00    0.00    1.51    0.00    0.00    0.00   88.16
02:14:06 AM  all   10.58    0.00    0.50    0.00    0.00    1.01    0.00    0.00    0.00   87.91
02:14:07 AM  all    9.37    0.00    1.27    0.25    0.00    1.01    0.00    0.00    0.00   88.10
02:14:08 AM  all    9.34    0.00    1.26    0.00    0.00    1.52    0.00    0.00    0.00   87.88
02:14:09 AM  all    9.85    0.00    1.01    0.00    0.00    0.76    0.00    0.00    0.00   88.38
02:14:10 AM  all   11.63    0.00    0.74    0.00    0.00    1.49    0.00    0.00    0.00   86.14
02:14:11 AM  all   12.25    0.00    0.98    0.00    0.00    1.23    0.00    0.00    0.00   85.54
02:14:12 AM  all   10.55    0.00    0.50    0.00    0.00    1.51    0.00    0.00    0.00   87.44
02:14:13 AM  all    9.44    0.00    0.26    0.00    0.00    0.77    0.00    0.00    0.00   89.54
02:14:14 AM  all   10.08    0.00    1.01    0.00    0.00    1.51    0.00    0.00    0.00   87.41
02:14:15 AM  all    9.52    0.00    1.50    0.00    0.00    1.75    0.00    0.00    0.00   87.22
02:14:16 AM  all   10.18    0.00    2.04    0.00    0.00    0.76    0.00    0.00    0.00   87.02
02:14:17 AM  all   11.08    0.00    1.23    0.00    0.00    2.22    0.00    0.00    0.00   85.47
02:14:18 AM  all   11.33    0.00    1.23    0.00    0.00    1.48    0.00    0.00    0.00   85.96
02:14:19 AM  all   11.39    0.00    0.74    0.00    0.00    1.49    0.00    0.00    0.00   86.39
02:14:20 AM  all    9.90    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   88.58
02:14:21 AM  all   10.47    0.00    1.50    0.00    0.00    1.25    0.00    0.00    0.00   86.78
02:14:22 AM  all   11.14    0.00    0.99    0.25    0.00    1.49    0.00    0.00    0.00   86.14
02:14:23 AM  all   10.05    0.00    1.51    0.00    0.00    1.01    0.00    0.00    0.00   87.44
02:14:24 AM  all   10.55    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   87.44
02:14:25 AM  all   10.58    0.00    0.50    0.00    0.00    0.76    0.00    0.00    0.00   88.16
02:14:26 AM  all   10.35    0.00    1.52    0.00    0.00    0.76    0.00    0.00    0.00   87.37
02:14:27 AM  all   12.22    0.00    1.00    0.00    0.00    1.75    0.00    0.00    0.00   85.04
02:14:28 AM  all   11.03    0.00    2.01    0.00    0.00    2.01    0.00    0.00    0.00   84.96
02:14:29 AM  all   13.10    0.00    0.25    0.00    0.00    2.27    0.00    0.00    0.00   84.38
02:14:30 AM  all   13.57    0.00    1.01    0.00    0.00    1.51    0.00    0.00    0.00   83.92
02:14:31 AM  all   14.25    0.00    1.00    0.00    0.00    2.00    0.00    0.00    0.00   82.75
02:14:32 AM  all   13.13    0.00    1.01    0.00    0.00    2.02    0.00    0.00    0.00   83.84
02:14:33 AM  all   13.47    0.00    1.00    0.00    0.00    2.49    0.00    0.00    0.00   83.04
02:14:34 AM  all   13.28    0.00    1.25    0.00    0.00    1.75    0.00    0.00    0.00   83.71
02:14:35 AM  all   12.85    0.00    1.01    0.00    0.00    2.52    0.00    0.00    0.00   83.63
02:14:36 AM  all   11.84    0.00    1.51    0.00    0.00    2.27    0.00    0.00    0.00   84.38
02:14:37 AM  all   13.37    0.00    1.49    0.00    0.00    2.72    0.00    0.00    0.00   82.43
02:14:38 AM  all   14.99    0.00    1.47    0.00    0.00    1.97    0.00    0.00    0.00   81.57
02:14:39 AM  all   12.28    0.00    1.02    0.00    0.00    1.28    0.00    0.00    0.00   85.42
02:14:40 AM  all   11.84    0.00    1.76    0.00    0.00    2.27    0.00    0.00    0.00   84.13
02:14:41 AM  all   14.32    0.00    1.23    0.00    0.00    1.73    0.00    0.00    0.00   82.72
02:14:42 AM  all   12.81    0.00    1.76    0.00    0.00    1.51    0.00    0.00    0.00   83.92
02:14:43 AM  all   12.53    0.00    1.02    0.00    0.00    1.53    0.00    0.00    0.00   84.91
02:14:44 AM  all   12.15    0.00    1.77    0.00    0.00    1.77    0.00    0.00    0.00   84.30
02:14:45 AM  all   11.93    0.00    0.51    0.25    0.00    2.54    0.00    0.00    0.00   84.77
02:14:46 AM  all   13.28    0.00    2.01    0.25    0.00    0.75    0.00    0.00    0.00   83.71
02:14:47 AM  all   13.03    0.00    1.00    0.00    0.00    2.51    0.00    0.00    0.00   83.46
02:14:48 AM  all   14.07    0.00    1.23    0.00    0.00    1.48    0.00    0.00    0.00   83.21
02:14:49 AM  all   12.06    0.00    1.26    0.00    0.00    2.51    0.00    0.00    0.00   84.17
02:14:50 AM  all   14.14    0.00    1.99    0.00    0.00    1.49    0.00    0.00    0.00   82.38
02:14:51 AM  all   13.03    0.00    1.25    0.00    0.00    2.01    0.00    0.00    0.00   83.71
02:14:52 AM  all   14.39    0.00    0.76    0.00    0.00    1.26    0.00    0.00    0.00   83.59
02:14:53 AM  all   13.90    0.00    1.24    0.00    0.00    1.99    0.00    0.00    0.00   82.88
02:14:54 AM  all   11.65    0.00    1.77    0.00    0.00    2.28    0.00    0.00    0.00   84.30
02:14:55 AM  all   13.50    0.00    1.25    0.00    0.00    1.50    0.00    0.00    0.00   83.75
02:14:56 AM  all   13.68    0.00    1.00    0.00    0.00    2.24    0.00    0.00    0.00   83.08
02:14:57 AM  all   13.53    0.00    1.00    0.00    0.00    2.26    0.00    0.00    0.00   83.21
02:14:58 AM  all   14.57    0.00    1.48    0.00    0.00    1.48    0.00    0.00    0.00   82.47
02:14:59 AM  all   13.24    0.00    2.21    0.00    0.00    3.43    0.00    0.00    0.00   81.13
02:15:00 AM  all   14.21    0.00    0.76    0.00    0.00    1.27    0.00    0.00    0.00   83.76
02:15:01 AM  all   12.96    0.00    1.71    0.49    0.00    1.96    0.00    0.00    0.00   82.89
02:15:02 AM  all   11.00    0.00    0.51    0.00    0.00    0.26    0.00    0.00    0.00   88.24
02:15:03 AM  all   13.10    0.00    1.51    0.00    0.00    1.76    0.00    0.00    0.00   83.63
02:15:04 AM  all   11.70    0.00    1.78    0.00    0.00    1.53    0.00    0.00    0.00   84.99
02:15:05 AM  all   13.28    0.00    1.00    0.00    0.00    2.26    0.00    0.00    0.00   83.46
02:15:06 AM  all   12.09    0.00    2.02    0.00    0.00    2.02    0.00    0.00    0.00   83.88
02:15:07 AM  all   12.44    0.00    1.52    0.00    0.00    1.27    0.00    0.00    0.00   84.77
02:15:08 AM  all   12.37    0.00    1.26    0.00    0.00    2.02    0.00    0.00    0.00   84.34
02:15:09 AM  all   13.65    0.00    1.99    0.00    0.00    1.49    0.00    0.00    0.00   82.88
02:15:10 AM  all   15.02    0.00    1.48    0.00    0.00    1.72    0.00    0.00    0.00   81.77
02:15:11 AM  all   14.43    0.00    1.71    0.00    0.00    1.71    0.00    0.00    0.00   82.15
02:15:12 AM  all   13.75    0.00    1.00    0.00    0.00    2.25    0.00    0.00    0.00   83.00
02:15:13 AM  all   11.14    0.00    1.30    0.00    0.00    1.55    0.00    0.00    0.00   86.01
02:15:14 AM  all   13.28    0.00    0.75    0.00    0.00    2.01    0.00    0.00    0.00   83.96
02:15:15 AM  all   14.04    0.00    1.97    0.00    0.00    2.22    0.00    0.00    0.00   81.77
02:15:16 AM  all   15.57    0.00    1.22    0.00    0.00    2.43    0.00    0.00    0.00   80.78
02:15:17 AM  all   12.47    0.00    1.02    0.00    0.00    1.53    0.00    0.00    0.00   84.99
02:15:18 AM  all   12.25    0.00    1.75    0.00    0.00    2.75    0.00    0.00    0.00   83.25
02:15:19 AM  all   12.37    0.00    0.76    0.00    0.00    2.53    0.00    0.00    0.00   84.34
02:15:20 AM  all   13.83    0.00    1.73    0.00    0.00    2.47    0.00    0.00    0.00   81.98
02:15:21 AM  all   13.28    0.00    1.00    0.00    0.00    2.01    0.00    0.00    0.00   83.71
02:15:22 AM  all   14.36    0.00    1.73    0.00    0.00    1.73    0.00    0.00    0.00   82.18
02:15:23 AM  all   14.32    0.00    0.74    0.00    0.00    2.72    0.00    0.00    0.00   82.22
02:15:24 AM  all   12.94    0.00    1.27    0.51    0.00    1.27    0.00    0.00    0.00   84.01
02:15:25 AM  all   15.21    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   82.79
02:15:26 AM  all   13.07    0.00    1.76    0.00    0.00    2.51    0.00    0.00    0.00   82.66
02:15:27 AM  all   14.36    0.00    1.98    0.00    0.00    2.23    0.00    0.00    0.00   81.44
02:15:28 AM  all   13.20    0.00    1.52    0.00    0.00    1.02    0.00    0.00    0.00   84.26
02:15:29 AM  all   13.97    0.00    2.00    0.00    0.00    1.75    0.00    0.00    0.00   82.29
02:15:30 AM  all   13.72    0.00    1.50    0.00    0.00    1.75    0.00    0.00    0.00   83.04
02:15:31 AM  all   14.46    0.00    1.25    0.00    0.00    1.50    0.00    0.00    0.00   82.79
02:15:32 AM  all   15.25    0.00    1.69    0.00    0.00    2.18    0.00    0.00    0.00   80.87
02:15:33 AM  all   13.47    0.00    1.50    0.00    0.00    2.49    0.00    0.00    0.00   82.54
02:15:34 AM  all   13.50    0.00    0.75    0.00    0.00    2.25    0.00    0.00    0.00   83.50
02:15:35 AM  all   13.22    0.00    1.75    0.00    0.00    2.00    0.00    0.00    0.00   83.04
02:15:36 AM  all   14.89    0.00    1.74    0.00    0.00    0.74    0.00    0.00    0.00   82.63
02:15:37 AM  all   12.47    0.00    1.02    0.00    0.00    1.78    0.00    0.00    0.00   84.73
02:15:38 AM  all   13.04    0.00    0.77    0.00    0.00    1.53    0.00    0.00    0.00   84.65
02:15:39 AM  all   14.21    0.00    1.25    0.00    0.00    1.00    0.00    0.00    0.00   83.54
02:15:40 AM  all   14.21    0.00    1.25    0.00    0.00    1.50    0.00    0.00    0.00   83.04
02:15:41 AM  all   15.14    0.00    2.23    0.00    0.00    1.49    0.00    0.00    0.00   81.14
02:15:42 AM  all   15.96    0.00    0.50    0.00    0.00    1.50    0.00    0.00    0.00   82.04
02:15:43 AM  all   16.21    0.00    1.75    0.00    0.00    2.00    0.00    0.00    0.00   80.05
02:15:44 AM  all   19.45    0.00    1.75    0.00    0.00    3.49    0.00    0.00    0.00   75.31
02:15:45 AM  all   23.27    0.00    3.07    0.00    0.00    3.84    0.00    0.00    0.00   69.82
02:15:46 AM  all   29.46    0.00    3.47    0.00    0.00    4.21    0.00    0.00    0.00   62.87
02:15:47 AM  all   30.08    0.00    3.86    0.00    0.00    3.08    0.00    0.00    0.00   62.98
02:15:48 AM  all   31.36    0.00    3.95    0.00    0.00    4.44    0.00    0.00    0.00   60.25
02:15:49 AM  all   31.08    0.00    3.51    0.00    0.00    4.26    0.00    0.00    0.00   61.15
02:15:50 AM  all   32.68    0.00    3.93    0.00    0.00    4.42    0.00    0.00    0.00   58.97
02:15:51 AM  all   33.58    0.00    3.46    0.00    0.00    3.95    0.00    0.00    0.00   59.01
02:15:52 AM  all   30.40    0.00    4.27    0.00    0.00    5.53    0.00    0.00    0.00   59.80
02:15:53 AM  all   33.42    0.00    3.44    0.00    0.00    3.69    0.00    0.00    0.00   59.46
02:15:54 AM  all   28.71    0.00    2.72    0.00    0.00    5.45    0.00    0.00    0.00   63.12
02:15:55 AM  all   27.34    0.00    4.05    0.00    0.00    4.81    0.00    0.00    0.00   63.80
02:15:56 AM  all   33.74    0.00    2.91    0.00    0.00    4.37    0.00    0.00    0.00   58.98
02:15:57 AM  all   31.49    0.00    2.77    0.00    0.00    4.53    0.00    0.00    0.00   61.21
02:15:58 AM  all   29.44    0.00    3.05    0.00    0.00    4.31    0.00    0.00    0.00   63.20
02:15:59 AM  all   31.09    0.00    3.48    0.00    0.00    4.98    0.00    0.00    0.00   60.45
02:16:00 AM  all   33.50    0.00    2.75    0.00    0.00    4.00    0.00    0.00    0.00   59.75
02:16:01 AM  all   29.47    0.00    3.27    0.00    0.00    2.52    0.00    0.00    0.00   64.74
02:16:02 AM  all   26.67    0.00    2.05    0.00    0.00    2.56    0.00    0.00    0.00   68.72
02:16:03 AM  all   31.70    0.00    3.93    0.00    0.00    4.18    0.00    0.00    0.00   60.20
02:16:04 AM  all   33.25    0.00    3.50    0.00    0.00    2.75    0.00    0.00    0.00   60.50
02:16:05 AM  all   32.24    0.00    2.77    0.00    0.00    4.79    0.00    0.00    0.00   60.20
02:16:06 AM  all   30.83    0.00    4.01    0.00    0.00    4.51    0.00    0.00    0.00   60.65
02:16:07 AM  all   29.19    0.00    2.79    0.00    0.00    4.06    0.00    0.00    0.00   63.96
02:16:08 AM  all   30.10    0.00    3.06    0.00    0.00    3.83    0.00    0.00    0.00   63.01
02:16:09 AM  all   30.41    0.00    2.06    0.00    0.00    3.87    0.00    0.00    0.00   63.66
02:16:10 AM  all   31.02    0.00    2.98    0.00    0.00    3.97    0.00    0.00    0.00   62.03
02:16:11 AM  all   32.75    0.00    2.75    0.00    0.00    3.25    0.00    0.00    0.00   61.25
02:16:12 AM  all   32.24    0.00    2.77    0.00    0.00    4.03    0.00    0.00    0.00   60.96
02:16:13 AM  all   30.18    0.00    3.07    0.00    0.00    4.60    0.00    0.00    0.00   62.15
02:16:14 AM  all   29.95    0.00    3.55    0.00    0.00    4.06    0.00    0.00    0.00   62.44
02:16:15 AM  all   31.25    0.00    4.00    0.00    0.00    4.00    0.00    0.00    0.00   60.75
02:16:16 AM  all   30.33    0.00    4.01    0.00    0.00    5.26    0.00    0.00    0.00   60.40
02:16:17 AM  all   32.93    0.00    3.41    0.00    0.00    4.63    0.00    0.00    0.00   59.02
02:16:18 AM  all   33.17    0.00    2.76    0.00    0.00    3.52    0.00    0.00    0.00   60.55
02:16:19 AM  all   32.92    0.00    3.24    0.00    0.00    4.24    0.00    0.00    0.00   59.60
02:16:20 AM  all   33.25    0.00    4.10    0.00    0.00    5.30    0.00    0.00    0.00   57.35
02:16:21 AM  all   32.39    0.00    2.57    0.00    0.00    4.37    0.00    0.00    0.00   60.67
02:16:22 AM  all   35.48    0.00    2.98    0.00    0.00    2.98    0.00    0.00    0.00   58.56
02:16:23 AM  all   34.30    0.00    2.90    0.00    0.00    4.35    0.00    0.00    0.00   58.45
02:16:24 AM  all   30.87    0.00    3.57    0.00    0.00    4.59    0.00    0.00    0.00   60.97
02:16:25 AM  all   33.98    0.00    3.86    0.00    0.00    5.06    0.00    0.00    0.00   57.11
02:16:26 AM  all   34.07    0.00    4.41    0.00    0.00    3.68    0.00    0.00    0.00   57.84
02:16:27 AM  all   34.49    0.00    3.23    0.00    0.00    4.47    0.00    0.00    0.00   57.82
02:16:28 AM  all   33.75    0.00    1.51    0.00    0.00    5.54    0.00    0.00    0.00   59.19
02:16:29 AM  all   30.94    0.00    3.47    0.00    0.00    6.93    0.00    0.00    0.00   58.66
02:16:30 AM  all   35.01    0.00    2.27    0.00    0.00    3.27    0.00    0.00    0.00   59.45
02:16:31 AM  all   34.00    0.00    2.98    0.00    0.00    4.47    0.00    0.00    0.00   58.56
02:16:32 AM  all   34.24    0.00    2.46    0.00    0.00    4.93    0.00    0.00    0.00   58.37
