Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/05/2026 	_x86_64_	(4 CPU)

02:27:03 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:27:04 AM  all   41.48    0.00   11.70    0.00    0.00   33.59    0.00    0.00    0.00   13.23
02:27:05 AM  all   43.08    0.00    9.23    0.00    0.00   35.13    0.00    0.00    0.00   12.56
02:27:06 AM  all   31.43    0.00    8.31    0.00    0.00   32.99    0.00    0.00    0.00   27.27
02:27:07 AM  all   30.43    0.00    4.89    0.00    0.00   37.77    0.00    0.00    0.00   26.90
02:27:08 AM  all   27.30    0.00    8.66    0.00    0.00   25.46    0.00    0.00    0.00   38.58
02:27:09 AM  all   27.39    0.00    5.59    0.27    0.00   31.91    0.00    0.00    0.00   34.84
02:27:10 AM  all   28.72    0.00    6.12    0.00    0.00   30.05    0.00    0.00    0.00   35.11
02:27:11 AM  all   27.78    0.00    7.67    0.00    0.00   29.89    0.00    0.00    0.00   34.66
02:27:12 AM  all   29.87    0.00    7.01    0.00    0.00   31.95    0.00    0.00    0.00   31.17
02:27:13 AM  all   27.97    0.00    7.65    0.00    0.00   26.39    0.00    0.00    0.00   37.99
02:27:14 AM  all   28.84    0.00    7.14    0.00    0.00   29.63    0.00    0.00    0.00   34.39
02:27:15 AM  all   29.66    0.00    7.09    0.00    0.00   29.66    0.00    0.00    0.00   33.60
02:27:16 AM  all   29.32    0.00    8.38    0.00    0.00   28.01    0.00    0.00    0.00   34.29
02:27:17 AM  all   26.80    0.00    8.76    0.00    0.00   29.90    0.00    0.00    0.00   34.54
02:27:18 AM  all   29.69    0.00    7.29    0.00    0.00   26.56    0.00    0.00    0.00   36.46
02:27:19 AM  all   28.04    0.00    6.61    0.00    0.00   33.60    0.00    0.00    0.00   31.75
02:27:20 AM  all   27.06    0.00    7.73    0.00    0.00   30.15    0.00    0.00    0.00   35.05
02:27:21 AM  all   28.42    0.00    8.42    0.00    0.00   31.58    0.00    0.00    0.00   31.58
02:27:22 AM  all   25.87    0.00    7.73    0.00    0.00   27.47    0.00    0.00    0.00   38.93
02:27:23 AM  all   29.24    0.00    7.05    0.00    0.00   32.64    0.00    0.00    0.00   31.07
02:27:24 AM  all   25.00    0.00    7.18    0.00    0.00   28.46    0.00    0.00    0.00   39.36
02:27:25 AM  all   28.16    0.00    7.63    0.00    0.00   29.74    0.00    0.00    0.00   34.47
02:27:26 AM  all   25.99    0.00    9.28    0.00    0.00   31.30    0.00    0.00    0.00   33.42
02:27:27 AM  all   28.68    0.00    9.21    0.00    0.00   28.42    0.00    0.00    0.00   33.68
02:27:28 AM  all   22.46    0.00    9.09    0.00    0.00   24.87    0.00    0.00    0.00   43.58
02:27:29 AM  all   29.60    0.00    9.07    0.00    0.00   29.60    0.00    0.00    0.00   31.73
02:27:30 AM  all   26.13    0.00    7.73    0.00    0.00   26.93    0.00    0.00    0.00   39.20
02:27:31 AM  all   30.87    0.00    7.12    0.00    0.00   29.02    0.00    0.00    0.00   32.98
02:27:32 AM  all   27.76    0.00    7.28    0.00    0.00   30.46    0.00    0.00    0.00   34.50
02:27:33 AM  all   29.65    0.00    8.09    0.00    0.00   27.49    0.00    0.00    0.00   34.77
02:27:34 AM  all   28.68    0.00    6.05    0.00    0.00   29.21    0.00    0.00    0.00   36.05
02:27:35 AM  all   30.05    0.00    5.59    0.00    0.00   32.18    0.00    0.00    0.00   32.18
02:27:36 AM  all   29.09    0.00    7.01    0.00    0.00   31.95    0.00    0.00    0.00   31.95
02:27:37 AM  all   27.51    0.00    7.14    0.00    0.00   28.57    0.00    0.00    0.00   36.77
02:27:38 AM  all   26.94    0.00    8.29    0.00    0.00   28.24    0.00    0.00    0.00   36.53
02:27:39 AM  all   30.48    0.00    6.68    0.00    0.00   32.35    0.00    0.00    0.00   30.48
02:27:40 AM  all   28.95    0.00    6.32    0.00    0.00   28.95    0.00    0.00    0.00   35.79
02:27:41 AM  all   27.66    0.00    7.18    0.00    0.00   31.65    0.00    0.00    0.00   33.51
02:27:42 AM  all   28.87    0.00    7.35    0.00    0.00   31.76    0.00    0.00    0.00   32.02
02:27:43 AM  all   30.93    0.00    5.60    0.00    0.00   28.80    0.00    0.00    0.00   34.67
02:27:44 AM  all   29.02    0.00    7.39    0.00    0.00   29.82    0.00    0.00    0.00   33.77
02:27:45 AM  all   20.60    0.00    5.15    0.00    0.00   17.89    0.00    0.00    0.00   56.37
02:27:46 AM  all    4.49    0.00    2.90    0.00    0.00    2.37    0.00    0.00    0.00   90.24
02:27:47 AM  all    0.50    0.00    0.25    1.25    0.00    0.00    0.00    0.00    0.00   98.00
02:27:48 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:27:49 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:27:50 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
02:27:51 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
02:27:52 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:27:53 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
02:27:54 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:27:55 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
