Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/06/2026 	_x86_64_	(4 CPU)

02:57:16 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:57:17 AM  all    8.66    0.00    1.24    0.00    0.00    0.50    0.00    0.00    0.00   89.60
02:57:18 AM  all    8.13    0.00    0.49    0.00    0.00    0.99    0.00    0.00    0.00   90.39
02:57:19 AM  all    6.31    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   93.18
02:57:20 AM  all    7.98    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   91.77
02:57:21 AM  all    5.36    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   94.39
02:57:22 AM  all    6.57    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   92.42
02:57:23 AM  all    6.82    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   93.18
02:57:24 AM  all    7.52    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   91.98
02:57:25 AM  all    7.23    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   92.52
02:57:26 AM  all    6.31    0.00    0.25    0.00    0.00    0.51    0.00    0.00    0.00   92.93
02:57:27 AM  all    7.79    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   90.95
02:57:28 AM  all    7.69    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   91.81
02:57:29 AM  all    6.57    0.00    0.25    0.00    0.00    0.51    0.00    0.00    0.00   92.68
02:57:30 AM  all    7.48    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   92.27
02:57:31 AM  all    5.84    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   93.40
02:57:32 AM  all    6.53    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   92.71
02:57:33 AM  all    7.21    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   92.04
02:57:34 AM  all    7.96    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   91.79
02:57:35 AM  all    6.33    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   93.16
02:57:36 AM  all    7.52    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.48
02:57:37 AM  all    7.48    0.00    0.25    0.00    0.00    0.50    0.00    0.00    0.00   91.77
02:57:38 AM  all    6.33    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   93.16
02:57:39 AM  all    6.78    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   92.71
02:57:40 AM  all    6.57    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   92.93
02:57:41 AM  all    6.77    0.00    0.50    0.25    0.00    0.00    0.00    0.00    0.00   92.48
02:57:42 AM  all    8.48    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.52
02:57:43 AM  all    5.60    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   93.89
02:57:44 AM  all    7.23    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   91.52
02:57:45 AM  all    6.33    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   93.16
02:57:46 AM  all    7.46    0.00    1.74    1.24    0.00    0.75    0.00    0.00    0.00   88.81
02:57:47 AM  all    6.58    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   93.16
02:57:48 AM  all    5.56    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   93.43
02:57:49 AM  all    5.58    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   93.15
02:57:50 AM  all    7.04    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   92.46
02:57:51 AM  all    6.30    0.00    0.25    0.00    0.00    0.50    0.00    0.00    0.00   92.95
02:57:52 AM  all    6.97    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   91.79
02:57:53 AM  all    5.88    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   93.86
02:57:54 AM  all    5.82    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   93.92
02:57:55 AM  all    5.87    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   93.62
02:57:56 AM  all    6.77    0.00    0.50    0.25    0.00    0.00    0.00    0.00    0.00   92.48
02:57:57 AM  all    6.84    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   92.91
02:57:58 AM  all    8.37    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   91.13
02:57:59 AM  all    7.30    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   92.44
02:58:00 AM  all    7.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   92.00
02:58:01 AM  all    7.02    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   92.73
02:58:02 AM  all    6.48    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   93.02
02:58:03 AM  all    7.69    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   91.56
02:58:04 AM  all    6.28    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   92.71
02:58:05 AM  all    7.02    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   92.23
02:58:06 AM  all    5.85    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   93.64
02:58:07 AM  all    6.33    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   92.91
02:58:08 AM  all    7.23    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   92.02
02:58:09 AM  all    6.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   93.20
02:58:10 AM  all    6.09    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   93.40
02:58:11 AM  all    6.09    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   93.15
02:58:12 AM  all    8.19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.81
02:58:13 AM  all    8.23    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   91.52
02:58:14 AM  all    6.98    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   92.02
02:58:15 AM  all    7.73    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   91.77
02:58:16 AM  all    6.06    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   93.43
02:58:17 AM  all    8.23    0.00    1.50    0.00    0.00    0.25    0.00    0.00    0.00   90.02
02:58:18 AM  all    7.61    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   91.62
02:58:19 AM  all    9.11    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   90.63
02:58:20 AM  all    9.50    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   89.75
02:58:21 AM  all    9.65    0.00    0.50    0.00    0.00    0.74    0.00    0.00    0.00   89.11
02:58:22 AM  all    8.79    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   90.20
02:58:23 AM  all    8.35    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   90.89
02:58:24 AM  all    7.63    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   91.35
02:58:25 AM  all    8.02    0.00    1.25    0.00    0.00    0.25    0.00    0.00    0.00   90.48
02:58:26 AM  all    9.34    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   90.15
02:58:27 AM  all   10.47    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   88.53
02:58:28 AM  all    8.16    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   91.58
02:58:29 AM  all    8.29    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   90.20
02:58:30 AM  all    7.63    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   91.09
02:58:31 AM  all   10.20    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   89.30
02:58:32 AM  all    9.75    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   89.75
02:58:33 AM  all    7.42    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   92.07
02:58:34 AM  all   10.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.08
