Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/05/2026 	_x86_64_	(4 CPU)

05:37:45 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:37:46 AM  all   30.95    0.00    3.32    0.00    0.00    7.16    0.00    0.00    0.00   58.57
05:37:47 AM  all   29.50    0.00    2.61    0.00    0.00    8.09    0.00    0.00    0.00   59.79
05:37:48 AM  all   29.87    0.00    3.64    0.00    0.00    7.01    0.00    0.00    0.00   59.48
05:37:49 AM  all   31.05    0.00    2.63    0.00    0.00    5.79    0.00    0.00    0.00   60.53
05:37:50 AM  all   27.72    0.00    3.89    0.00    0.00    8.29    0.00    0.00    0.00   60.10
05:37:51 AM  all   29.66    0.00    2.36    0.00    0.00    8.66    0.00    0.00    0.00   59.32
05:37:52 AM  all   31.47    0.00    2.40    0.00    0.00    5.87    0.00    0.00    0.00   60.27
05:37:53 AM  all   31.96    0.00    3.35    0.00    0.00    5.93    0.00    0.00    0.00   58.76
05:37:54 AM  all   28.27    0.00    1.87    0.00    0.00    8.00    0.00    0.00    0.00   61.87
05:37:55 AM  all   29.55    0.00    2.90    0.00    0.00    6.33    0.00    0.00    0.00   61.21
05:37:56 AM  all   29.95    0.00    2.34    0.00    0.00    8.07    0.00    0.00    0.00   59.64
05:37:57 AM  all   31.50    0.00    2.62    0.00    0.00    6.56    0.00    0.00    0.00   59.32
05:37:58 AM  all   30.23    0.00    3.62    0.00    0.00    7.24    0.00    0.00    0.00   58.91
05:37:59 AM  all   31.09    0.00    2.85    0.00    0.00    7.25    0.00    0.00    0.00   58.81
05:38:00 AM  all   30.69    0.00    2.65    0.00    0.00    6.35    0.00    0.00    0.00   60.32
05:38:01 AM  all   22.60    0.00    3.38    0.00    0.00    7.79    0.00    0.00    0.00   66.23
05:38:02 AM  all   26.04    0.00    3.12    0.00    0.00    5.73    0.00    0.00    0.00   65.10
05:38:03 AM  all   28.31    0.00    3.44    0.00    0.00    7.14    0.00    0.00    0.00   61.11
05:38:04 AM  all   33.33    0.00    2.53    0.00    0.00    7.32    0.00    0.00    0.00   56.82
05:38:05 AM  all   29.82    0.00    4.11    0.00    0.00    7.46    0.00    0.00    0.00   58.61
05:38:06 AM  all   30.53    0.00    2.63    0.00    0.00    7.89    0.00    0.00    0.00   58.95
05:38:07 AM  all   31.06    0.00    3.28    0.00    0.00    7.83    0.00    0.00    0.00   57.83
05:38:08 AM  all   31.43    0.00    2.34    0.00    0.00    7.53    0.00    0.00    0.00   58.70
05:38:09 AM  all   28.91    0.00    3.12    0.00    0.00    9.11    0.00    0.00    0.00   58.85
05:38:10 AM  all   29.13    0.00    4.20    0.00    0.00    7.35    0.00    0.00    0.00   59.32
05:38:11 AM  all   31.11    0.00    3.86    0.00    0.00    7.46    0.00    0.00    0.00   57.58
05:38:12 AM  all   30.05    0.00    3.37    0.00    0.00    7.51    0.00    0.00    0.00   59.07
05:38:13 AM  all   31.25    0.00    2.60    0.00    0.00    8.33    0.00    0.00    0.00   57.81
05:38:14 AM  all   30.08    0.00    3.17    0.00    0.00    7.12    0.00    0.00    0.00   59.63
05:38:15 AM  all   31.61    0.00    2.59    0.00    0.00    7.77    0.00    0.00    0.00   58.03
05:38:16 AM  all   31.52    0.00    2.58    0.00    0.00    8.01    0.00    0.00    0.00   57.88
05:38:17 AM  all   29.37    0.00    2.91    0.00    0.00    8.73    0.00    0.00    0.00   58.99
05:38:18 AM  all   30.34    0.00    3.17    0.00    0.00    8.18    0.00    0.00    0.00   58.31
05:38:19 AM  all   29.47    0.00    3.68    0.00    0.00    7.37    0.00    0.00    0.00   59.47
05:38:20 AM  all   29.68    0.00    3.74    0.00    0.00    7.22    0.00    0.00    0.00   59.36
05:38:21 AM  all   28.61    0.00    4.64    0.00    0.00    9.02    0.00    0.00    0.00   57.73
05:38:22 AM  all   31.71    0.00    2.81    0.00    0.00    7.93    0.00    0.00    0.00   57.54
05:38:23 AM  all   30.47    0.00    2.60    0.00    0.00    9.11    0.00    0.00    0.00   57.81
05:38:24 AM  all   29.11    0.00    2.70    0.00    0.00    7.55    0.00    0.00    0.00   60.65
05:38:25 AM  all   30.49    0.00    3.10    0.00    0.00    8.53    0.00    0.00    0.00   57.88
05:38:26 AM  all   30.48    0.00    3.53    0.00    0.00    8.82    0.00    0.00    0.00   57.18
05:38:27 AM  all   29.58    0.00    3.93    0.00    0.00    8.12    0.00    0.00    0.00   58.38
05:38:28 AM  all   29.89    0.00    3.97    0.00    0.00    7.67    0.00    0.00    0.00   58.47
05:38:29 AM  all   29.02    0.00    4.40    0.00    0.00    8.03    0.00    0.00    0.00   58.55
05:38:30 AM  all   29.77    0.00    3.66    0.00    0.00    7.83    0.00    0.00    0.00   58.75
05:38:31 AM  all   30.67    0.00    3.35    0.00    0.00    7.22    0.00    0.00    0.00   58.76
05:38:32 AM  all   27.89    0.00    4.21    0.00    0.00    7.63    0.00    0.00    0.00   60.26
05:38:33 AM  all   28.83    0.00    3.12    0.00    0.00    8.57    0.00    0.00    0.00   59.48
05:38:34 AM  all   29.31    0.00    3.86    0.00    0.00    7.71    0.00    0.00    0.00   59.13
05:38:35 AM  all   31.47    0.00    4.31    0.00    0.00    6.85    0.00    0.00    0.00   57.36
05:38:36 AM  all   31.41    0.00    3.40    0.00    0.00    5.50    0.00    0.00    0.00   59.69
05:38:37 AM  all   34.42    0.00    2.51    0.00    0.00    6.78    0.00    0.00    0.00   56.28
05:38:38 AM  all   29.69    0.00    3.39    0.00    0.00    7.55    0.00    0.00    0.00   59.38
05:38:39 AM  all   30.79    0.00    3.68    0.00    0.00    6.58    0.00    0.00    0.00   58.95
05:38:40 AM  all   31.20    0.00    3.07    0.00    0.00    7.42    0.00    0.00    0.00   58.31
05:38:41 AM  all   32.22    0.00    3.09    0.00    0.00    7.47    0.00    0.00    0.00   57.22
05:38:42 AM  all   32.11    0.00    2.63    0.00    0.00    7.11    0.00    0.00    0.00   58.16
05:38:43 AM  all   30.42    0.00    3.44    0.00    0.00    7.14    0.00    0.00    0.00   58.99
05:38:44 AM  all   32.30    0.00    3.88    0.00    0.00    6.46    0.00    0.00    0.00   57.36
05:38:45 AM  all   30.81    0.00    3.39    0.00    0.00    6.53    0.00    0.00    0.00   59.27
05:38:46 AM  all   32.14    0.00    4.59    0.00    0.00    7.91    0.00    0.00    0.00   55.36
05:38:47 AM  all   32.06    0.00    4.58    0.00    0.00    6.87    0.00    0.00    0.00   56.49
05:38:48 AM  all   31.23    0.00    2.77    0.00    0.00    7.81    0.00    0.00    0.00   58.19
05:38:49 AM  all   31.19    0.00    3.35    0.00    0.00    7.22    0.00    0.00    0.00   58.25
05:38:50 AM  all   29.95    0.00    4.43    0.00    0.00    7.03    0.00    0.00    0.00   58.59
05:38:51 AM  all   31.27    0.00    3.36    0.00    0.00    8.27    0.00    0.00    0.00   57.11
05:38:52 AM  all   31.85    0.00    2.87    0.00    0.00    7.31    0.00    0.00    0.00   57.96
05:38:53 AM  all   32.12    0.00    2.33    0.00    0.00    7.25    0.00    0.00    0.00   58.29
05:38:54 AM  all   29.33    0.00    2.93    0.00    0.00    7.73    0.00    0.00    0.00   60.00
05:38:55 AM  all   33.07    0.00    2.08    0.00    0.00    6.51    0.00    0.00    0.00   58.33
05:38:56 AM  all   31.20    0.00    3.58    0.00    0.00    7.93    0.00    0.00    0.00   57.29
05:38:57 AM  all   28.99    0.00    3.99    0.00    0.00    7.18    0.00    0.00    0.00   59.84
05:38:58 AM  all   29.14    0.00    3.48    0.00    0.00    8.29    0.00    0.00    0.00   59.09
05:38:59 AM  all   32.19    0.00    3.17    0.00    0.00    6.07    0.00    0.00    0.00   58.58
05:39:00 AM  all   28.72    0.00    4.44    0.00    0.00    8.62    0.00    0.00    0.00   58.22
05:39:01 AM  all   22.49    0.00    2.91    0.00    0.00    6.35    0.00    0.00    0.00   68.25
05:39:02 AM  all   29.09    0.00    3.90    0.00    0.00    7.79    0.00    0.00    0.00   59.22
05:39:03 AM  all   32.99    0.00    3.32    0.00    0.00    7.16    0.00    0.00    0.00   56.52
05:39:04 AM  all   33.42    0.00    2.35    0.00    0.00    7.05    0.00    0.00    0.00   57.18
05:39:05 AM  all   28.38    0.00    3.78    0.00    0.00    9.19    0.00    0.00    0.00   58.65
05:39:06 AM  all   30.99    0.00    3.39    0.00    0.00    8.33    0.00    0.00    0.00   57.29
05:39:07 AM  all   32.38    0.00    3.92    0.00    0.00    7.83    0.00    0.00    0.00   55.87
05:39:08 AM  all   31.03    0.00    3.59    0.00    0.00    8.21    0.00    0.00    0.00   57.18
05:39:09 AM  all   30.57    0.00    4.92    0.00    0.00    7.77    0.00    0.00    0.00   56.74
05:39:10 AM  all   31.20    0.00    2.40    0.00    0.00    5.33    0.00    0.00    0.00   61.07
05:39:11 AM  all   29.66    0.00    4.72    0.00    0.00    7.35    0.00    0.00    0.00   58.27
05:39:12 AM  all   30.75    0.00    4.65    0.00    0.00    7.75    0.00    0.00    0.00   56.85
05:39:13 AM  all   31.94    0.00    2.88    0.00    0.00    6.54    0.00    0.00    0.00   58.64
05:39:14 AM  all   29.46    0.00    5.17    0.00    0.00    8.27    0.00    0.00    0.00   57.11
05:39:15 AM  all   30.26    0.00    3.16    0.00    0.00    8.68    0.00    0.00    0.00   57.89
05:39:16 AM  all   31.57    0.00    3.28    0.25    0.00    8.08    0.00    0.00    0.00   56.82
