Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/05/2026 	_x86_64_	(4 CPU)

04:12:54 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:12:55 AM  all   10.97    0.00    2.04    0.00    0.00    0.51    0.00    0.00    0.00   86.48
04:12:56 AM  all   10.20    0.00    0.51    0.00    0.00    0.26    0.00    0.00    0.00   89.03
04:12:57 AM  all    9.46    0.00    0.77    0.00    0.00    1.28    0.00    0.00    0.00   88.49
04:12:58 AM  all   10.75    0.00    0.75    0.00    0.00    2.00    0.00    0.00    0.00   86.50
04:12:59 AM  all   11.34    0.00    0.76    0.00    0.00    1.01    0.00    0.00    0.00   86.90
04:13:00 AM  all   10.35    0.00    1.01    0.00    0.00    0.76    0.00    0.00    0.00   87.88
04:13:01 AM  all   11.22    0.00    1.25    0.00    0.00    1.00    0.00    0.00    0.00   86.53
04:13:02 AM  all    6.31    0.00    0.76    0.00    0.00    1.52    0.00    0.00    0.00   91.41
04:13:03 AM  all   11.03    0.00    1.75    0.00    0.00    0.75    0.00    0.00    0.00   86.47
04:13:04 AM  all   10.13    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   88.35
04:13:05 AM  all   10.25    0.00    1.00    0.00    0.00    2.50    0.00    0.00    0.00   86.25
04:13:06 AM  all   10.53    0.00    1.75    0.00    0.00    0.75    0.00    0.00    0.00   86.97
04:13:07 AM  all   10.58    0.00    1.01    0.00    0.00    1.26    0.00    0.00    0.00   87.15
04:13:08 AM  all   10.15    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   87.82
04:13:09 AM  all    9.67    0.00    0.76    0.00    0.00    1.27    0.00    0.00    0.00   88.30
04:13:10 AM  all   10.75    0.00    1.00    0.00    0.00    1.25    0.00    0.00    0.00   87.00
04:13:11 AM  all   11.00    0.00    1.75    0.00    0.00    0.75    0.00    0.00    0.00   86.50
04:13:12 AM  all    9.67    0.00    0.51    0.00    0.00    0.76    0.00    0.00    0.00   89.06
04:13:13 AM  all    9.30    0.00    0.52    0.00    0.00    1.03    0.00    0.00    0.00   89.15
04:13:14 AM  all   10.28    0.00    1.25    0.00    0.00    1.25    0.00    0.00    0.00   87.22
04:13:15 AM  all   10.70    0.00    1.49    0.00    0.00    1.24    0.00    0.00    0.00   86.57
04:13:16 AM  all   10.41    0.00    1.27    0.00    0.00    0.25    0.00    0.00    0.00   88.07
04:13:17 AM  all   11.63    0.00    0.99    0.00    0.00    1.49    0.00    0.00    0.00   85.89
04:13:18 AM  all   12.01    0.00    1.47    0.00    0.00    1.47    0.00    0.00    0.00   85.05
04:13:19 AM  all   10.80    0.00    1.26    0.00    0.00    0.75    0.00    0.00    0.00   87.19
04:13:20 AM  all    9.67    0.00    1.27    0.00    0.00    1.27    0.00    0.00    0.00   87.79
04:13:21 AM  all   10.78    0.00    0.25    0.00    0.00    1.50    0.00    0.00    0.00   87.47
04:13:22 AM  all   10.50    0.00    1.00    0.00    0.00    1.75    0.00    0.00    0.00   86.75
04:13:23 AM  all   11.66    0.00    0.74    0.00    0.00    1.74    0.00    0.00    0.00   85.86
04:13:24 AM  all   11.72    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   86.28
04:13:25 AM  all   10.33    0.00    0.76    0.00    0.00    1.26    0.00    0.00    0.00   87.66
04:13:26 AM  all   10.72    0.00    1.25    0.00    0.00    1.75    0.00    0.00    0.00   86.28
04:13:27 AM  all   11.62    0.00    1.01    0.00    0.00    0.76    0.00    0.00    0.00   86.62
04:13:28 AM  all   11.11    0.00    0.51    0.00    0.00    1.52    0.00    0.00    0.00   86.87
04:13:29 AM  all   10.33    0.00    1.26    0.00    0.00    1.01    0.00    0.00    0.00   87.41
04:13:30 AM  all   12.07    0.00    1.72    0.00    0.00    1.48    0.00    0.00    0.00   84.73
04:13:31 AM  all   10.97    0.00    1.25    0.00    0.00    1.00    0.00    0.00    0.00   86.78
04:13:32 AM  all    9.16    0.00    1.27    0.00    0.00    2.04    0.00    0.00    0.00   87.53
04:13:33 AM  all   11.94    0.00    1.24    0.00    0.00    0.50    0.00    0.00    0.00   86.32
04:13:34 AM  all   11.22    0.00    1.50    0.00    0.00    1.50    0.00    0.00    0.00   85.79
04:13:35 AM  all   10.86    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   87.88
04:13:36 AM  all    9.62    0.00    1.27    0.00    0.00    1.27    0.00    0.00    0.00   87.85
04:13:37 AM  all   10.53    0.00    1.25    0.00    0.00    1.25    0.00    0.00    0.00   86.97
