run_id,timestamp_utc,provider,region,paradigm,workload,rep,concurrency,tool,block_size,dataset_size_gb,warmup_s,duration_s,read_throughput_mbps,write_throughput_mbps,total_throughput_mbps,read_iops,write_iops,total_iops,lat_mean_ms,lat_p95_ms,lat_p99_ms,metadata_ops_per_s,cpu_util_pct,raw_artifact_path,raw_sha256,capacity_cost_usd_per_basis,egress_cost_usd_per_basis,total_cost_usd_per_basis,cost_basis_gb
alibaba-file-write-c16-r1,2026-08-03T22:54:31.678963+00:00,alibaba,me-central-1,file,write,1,16,elbencho,64k,20,60,900,,152.0,152.0,,2445.0,2445.0,6.537,,16.384,,5.7,results/raw/alibaba-file-write-c16-r1.elbencho.csv,dc09f22df642a20cc8451a3a49fe31e9d8d617d638d1fe96558516b404a861b9,10.8,,10.8,100.0
alibaba-file-balanced-c16-r1,2026-08-03T23:04:01.322630+00:00,alibaba,me-central-1,file,balanced,1,16,elbencho,64k,20,60,900,153.0,152.0,305.0,2449.0,2445.0,4894.0,6.512,,24.576,,6.3,results/raw/alibaba-file-balanced-c16-r1.elbencho.csv,e3dd1bf18ec1781c9fbdff413a7b7a70ce9f5f040b6ca506d74ddf2fc1e7afa2,10.8,,10.8,100.0
alibaba-object-balanced-c16-r1,2026-08-04T17:53:12.688140+00:00,alibaba,me-central-1,object,balanced,1,16,elbencho,64k,20,60,900,133.0,82.0,215.0,2132.0,1326.0,3458.0,9.774,,19.484,,21.5,results/raw/alibaba-object-balanced-c16-r1.elbencho.csv,049fe04c89617d76018fcc178038d76454818aa24a0b857e29a162bbbbd76d7e,2.04,,2.04,100.0
alibaba-block-metadata-c16-r2,2026-08-03T22:44:41.303665+00:00,alibaba,me-central-1,block,metadata,2,16,elbencho,4k,2,60,900,,,,,,,0.054,,18.572,265240.4,61.5,results/raw/alibaba-block-metadata-c16-r2.elbencho.csv,9412d44787bdd3637bcbf22890be04222bf46408f7793d8f65f4826479780aa0,27.9035,,27.9035,100.0
alibaba-file-balanced-c16-r3,2026-08-03T23:11:50.866589+00:00,alibaba,me-central-1,file,balanced,3,16,elbencho,64k,20,60,900,153.0,152.0,305.0,2448.0,2445.0,4893.0,6.511,,24.576,,6.5,results/raw/alibaba-file-balanced-c16-r3.elbencho.csv,89349c83e9862badf10711333d8c7c5bbb4f9fe26f613bb33d816dcbe23ffb3a,10.8,,10.8,100.0
alibaba-block-metadata-c16-r1,2026-08-03T23:13:13.612635+00:00,alibaba,me-central-1,block,metadata,1,16,elbencho,4k,2,60,900,,,,,,,0.055,,26.243,265776.4,61.5,results/raw/alibaba-block-metadata-c16-r1.elbencho.csv,1862a0aea378f0838111fb86afa2b29661c0f6f240fe562fe631963faf000bf7,27.9035,,27.9035,100.0
alibaba-file-largeobj-c16-r2,2026-08-03T23:24:58.080358+00:00,alibaba,me-central-1,file,largeobj,2,16,elbencho,16m,40,60,900,154.0,,154.0,9.0,,9.0,1535.69,,14107.901,,5.8,results/raw/alibaba-file-largeobj-c16-r2.elbencho.csv,3b79ba16700d430725503de90c9bd3ca18b9cc42702eac5c2ec107a81f5d9412,10.8,,10.8,100.0
alibaba-object-read-c16-r3,2026-08-04T18:07:13.464215+00:00,alibaba,me-central-1,object,read,3,16,elbencho,64k,20,60,900,139.0,,139.0,2236.0,,2236.0,7.17,,23.17,,27.9,results/raw/alibaba-object-read-c16-r3.elbencho.csv,aed9b80cfaf86c2b620699f0f0647618af0f2b6ffe56cea4c9350fca8b0ac54e,2.04,,2.04,100.0
alibaba-block-largeobj-c16-r1,2026-08-03T23:35:50.399052+00:00,alibaba,me-central-1,block,largeobj,1,16,elbencho,16m,40,60,900,169.0,,169.0,10.0,,10.0,1501.735,,1763.488,,96.0,results/raw/alibaba-block-largeobj-c16-r1.elbencho.csv,13c693abc1bbc65001dd24d801468bec763fdb38e9e241358a1ebafcd926cd1c,27.9035,,27.9035,100.0
alibaba-block-write-c16-r1,2026-08-03T23:40:07.546320+00:00,alibaba,me-central-1,block,write,1,16,elbencho,64k,20,60,900,,170.0,170.0,,2720.0,2720.0,5.862,,11.585,,70.2,results/raw/alibaba-block-write-c16-r1.elbencho.csv,10e30fd9ddacb6aa41612f2b0abbcc33b5cdf4737c6b8104eb5b11c74f535bde,27.9035,,27.9035,100.0
alibaba-object-write-c16-r1,2026-08-04T18:18:58.960162+00:00,alibaba,me-central-1,object,write,1,16,elbencho,64k,20,60,900,,75.0,75.0,,1206.0,1206.0,13.266,,23.17,,15.6,results/raw/alibaba-object-write-c16-r1.elbencho.csv,b337aa509bcc68c05dec1bc8e5577cf1cfb89bc5e3f6347895cc56eafe688576,2.04,,2.04,100.0
alibaba-block-write-c16-r2,2026-08-03T23:44:55.158242+00:00,alibaba,me-central-1,block,write,2,16,elbencho,64k,20,60,900,,170.0,170.0,,2720.0,2720.0,5.866,,13.777,,70.2,results/raw/alibaba-block-write-c16-r2.elbencho.csv,f3f59cc2e5d8403a676fc801405196829670133ab905919fcd6cd483be9c569c,27.9035,,27.9035,100.0
alibaba-object-largeobj-c16-r3,2026-08-04T18:27:55.619389+00:00,alibaba,me-central-1,object,largeobj,3,16,elbencho,16m,40,60,900,645.0,,645.0,40.0,,40.0,390.002,,40344.041,,47.5,results/raw/alibaba-object-largeobj-c16-r3.elbencho.csv,c11eedbb80a28836d5cd21bac863cf9236896fe9d269d362cbffa95df2cc9035,2.04,,2.04,100.0
alibaba-file-metadata-c16-r1,2026-08-05T17:43:33.287056+00:00,alibaba,me-central-1,file,metadata,1,16,elbencho,4k,2,60,900,,,,,,,,,,,,,,10.8,,10.8,100.0
alibaba-block-metadata-c16-r3,2026-08-04T00:09:00.444407+00:00,alibaba,me-central-1,block,metadata,3,16,elbencho,4k,2,60,900,,,,,,,0.054,,15.617,265850.0,61.3,results/raw/alibaba-block-metadata-c16-r3.elbencho.csv,bd587573ab38e901343dc3df0f118c79ab3c3f1adc48207592c4c4474024495f,27.9035,,27.9035,100.0
alibaba-object-read-c16-r2,2026-08-04T18:47:26.684392+00:00,alibaba,me-central-1,object,read,2,16,elbencho,64k,20,60,900,132.0,,132.0,2112.0,,2112.0,7.591,,27.554,,26.4,results/raw/alibaba-object-read-c16-r2.elbencho.csv,9e70460320ba8e8958e9ee87133d4fdae27b20c7a92aa7784964027f38e15462,2.04,,2.04,100.0
alibaba-file-metadata-c16-r3,2026-08-05T18:06:03.603964+00:00,alibaba,me-central-1,file,metadata,3,16,elbencho,4k,2,60,900,,,,,,,,,,,,,,10.8,,10.8,100.0
alibaba-object-balanced-c16-r3,2026-08-04T19:06:52.212230+00:00,alibaba,me-central-1,object,balanced,3,16,elbencho,64k,20,60,900,132.0,77.0,209.0,2123.0,1241.0,3364.0,10.209,,21.327,,20.5,results/raw/alibaba-object-balanced-c16-r3.elbencho.csv,8c3c9f5246d3e84e9f34a0d87650671e2a7548f575febd6e58526b1bc2d16790,2.04,,2.04,100.0
alibaba-object-metadata-c16-r1,2026-08-04T19:33:37.878054+00:00,alibaba,me-central-1,object,metadata,1,16,elbencho,4k,2,60,900,,,,,,,,,,,,,,2.04,,2.04,100.0
alibaba-file-largeobj-c16-r3,2026-08-04T00:45:28.591558+00:00,alibaba,me-central-1,file,largeobj,3,16,elbencho,16m,40,60,900,154.0,,154.0,9.0,,9.0,1550.878,,14107.901,,5.7,results/raw/alibaba-file-largeobj-c16-r3.elbencho.csv,bb7fe34bb81f04575feecbce24bf9bbb45164505c8b5b3ece7d14ee2f50e2d0f,10.8,,10.8,100.0
alibaba-block-largeobj-c16-r2,2026-08-04T00:55:50.040238+00:00,alibaba,me-central-1,block,largeobj,2,16,elbencho,16m,40,60,900,169.0,,169.0,10.0,,10.0,1501.748,,1763.488,,96.0,results/raw/alibaba-block-largeobj-c16-r2.elbencho.csv,c29fd9e8d332eb46c520a3f129cdcf8c23430cb804ec0c3e0198c4599d82b78d,27.9035,,27.9035,100.0
alibaba-file-metadata-c16-r2,2026-08-05T17:20:51.558684+00:00,alibaba,me-central-1,file,metadata,2,16,elbencho,4k,2,60,900,,,,,,,,,,,,,,10.8,,10.8,100.0
alibaba-file-write-c16-r3,2026-08-04T01:23:38.269237+00:00,alibaba,me-central-1,file,write,3,16,elbencho,64k,20,60,900,,152.0,152.0,,2445.0,2445.0,6.538,,16.384,,5.6,results/raw/alibaba-file-write-c16-r3.elbencho.csv,1a2e732d103a4d867cac1f11ad95989fa2cd6bf06ed3bfcde074f87f30498668,10.8,,10.8,100.0
