run_id,timestamp_utc,provider,region,paradigm,workload,rep,concurrency,tool,block_size,dataset_size_gb,warmup_s,duration_s,read_throughput_mbps,write_throughput_mbps,total_throughput_mbps,read_iops,write_iops,total_iops,lat_mean_ms,lat_p95_ms,lat_p99_ms,metadata_ops_per_s,cpu_util_pct,raw_artifact_path,raw_sha256,capacity_cost_usd_per_basis,egress_cost_usd_per_basis,total_cost_usd_per_basis,cost_basis_gb
aws-file-write-c16-r1,2026-08-02T14:15:21.479267+00:00,aws,af-south-1,file,write,1,16,elbencho,64k,20,60,900,,126.0,126.0,,2021.0,2021.0,7.913,,16.384,,4.7,results/raw/aws-file-write-c16-r1.elbencho.csv,3b997b8ab0f75ae915220d9cb1368bf7050fecc94a90652f7dccf012ac1a52ed,39.0,0.0,39.0,100.0
aws-file-balanced-c16-r1,2026-08-02T14:23:11.662475+00:00,aws,af-south-1,file,balanced,1,16,elbencho,64k,20,60,900,322.0,120.0,442.0,5152.0,1930.0,7082.0,5.693,,10.627,,6.1,results/raw/aws-file-balanced-c16-r1.elbencho.csv,6eb4d1962a8608cfcc7700c691cb8ad2b4ea628b3c074b8bc440f7f72ae86986,39.0,0.0,39.0,100.0
aws-object-balanced-c16-r1,2026-08-02T14:49:36.001816+00:00,aws,af-south-1,object,balanced,1,16,elbencho,64k,20,60,900,32.0,40.0,72.0,512.0,650.0,1162.0,27.912,,62.139,,9.3,results/raw/aws-object-balanced-c16-r1.elbencho.csv,dd2b5fdbb8afdf91475b6a676fa7d345364406a4af18e76bd12a86f4694f292c,2.74,0.0,2.74,100.0
aws-block-metadata-c16-r2,2026-08-02T14:52:56.796573+00:00,aws,af-south-1,block,metadata,2,16,elbencho,4k,2,60,900,,,,,,,0.181,,20.504,84517.1,86.1,results/raw/aws-block-metadata-c16-r2.elbencho.csv,266044ce5a0d9c23d84841ccfa13ee00e9298f9bc0b33e6d945012d1093d2e5c,10.47,0.0,10.47,100.0
aws-file-balanced-c16-r3,2026-08-02T15:01:14.525435+00:00,aws,af-south-1,file,balanced,3,16,elbencho,64k,20,60,900,293.0,114.0,407.0,4691.0,1838.0,6529.0,6.053,,11.636,,5.8,results/raw/aws-file-balanced-c16-r3.elbencho.csv,090282ccb1a0eec1e281bb5804ca6adee650804ec68443c6f127770eeaedeaa4,39.0,0.0,39.0,100.0
aws-block-metadata-c16-r1,2026-08-02T15:04:29.979743+00:00,aws,af-south-1,block,metadata,1,16,elbencho,4k,2,60,900,,,,,,,0.17,,20.525,90697.0,85.6,results/raw/aws-block-metadata-c16-r1.elbencho.csv,7fe9024a8122cb3d4c5561009c7abcf5bd743c9012db6aa4a930794054d185d6,10.47,0.0,10.47,100.0
aws-file-largeobj-c16-r2,2026-08-02T15:11:00.922058+00:00,aws,af-south-1,file,largeobj,2,16,elbencho,16m,40,60,900,500.0,,500.0,31.0,,31.0,509.024,,524.288,,21.0,results/raw/aws-file-largeobj-c16-r2.elbencho.csv,5086397212b0bbfb2d6fc460f05db0866c110a79bdbfe7dd8aaf33fa429d9e51,39.0,0.0,39.0,100.0
aws-object-read-c16-r3,2026-08-02T15:37:35.720419+00:00,aws,af-south-1,object,read,3,16,elbencho,64k,20,60,900,32.0,,32.0,515.0,,515.0,31.025,,77.936,,7.1,results/raw/aws-object-read-c16-r3.elbencho.csv,dc97096bf8eecddf12e4448b5ae81d00541099adf43c73142e8f8ed24c00985c,2.74,0.0,2.74,100.0
aws-block-largeobj-c16-r1,2026-08-02T15:51:36.442842+00:00,aws,af-south-1,block,largeobj,1,16,elbencho,16m,40,60,900,123.0,,123.0,7.0,,7.0,2025.686,,3526.975,,97.0,results/raw/aws-block-largeobj-c16-r1.elbencho.csv,cb1ef2ad0a00c40a6b390fa34ad60f8765a6e737532ae7a9f43fe705b61b97f6,10.47,0.0,10.47,100.0
aws-block-write-c16-r1,2026-08-02T16:01:20.900551+00:00,aws,af-south-1,block,write,1,16,elbencho,64k,20,60,900,,51.0,51.0,,822.0,822.0,19.657,,38.968,,30.0,results/raw/aws-block-write-c16-r1.elbencho.csv,84aad84cd3fde1d17c1d94fd274e3d92c53976d5e7fdb3bf737605c3d77861f6,10.47,0.0,10.47,100.0
aws-object-write-c16-r1,2026-08-02T16:17:02.351681+00:00,aws,af-south-1,object,write,1,16,elbencho,64k,20,60,900,,40.0,40.0,,650.0,650.0,24.561,,46.341,,10.3,results/raw/aws-object-write-c16-r1.elbencho.csv,b1ce5e4b3e0de4a8468049dd79460d37cc95093284a6a1db6e173b1839e02dac,2.74,0.0,2.74,100.0
