run_id,timestamp_utc,provider,region,paradigm,workload,rep,concurrency,tool,block_size,dataset_size_gb,warmup_s,duration_s,read_throughput_mbps,write_throughput_mbps,total_throughput_mbps,read_iops,write_iops,total_iops,lat_mean_ms,lat_p95_ms,lat_p99_ms,metadata_ops_per_s,cpu_util_pct,raw_artifact_path,raw_sha256
alibaba-file-largeobj-c04-r2,2026-08-15T14:38:05.287773+00:00,alibaba,me-central-1,file,largeobj,2,4,elbencho,16m,40,60,900,155.0,,155.0,9.0,,9.0,394.387,,4194.304,,5.2,results-sweep/raw/alibaba-file-largeobj-c04-r2.elbencho.csv,72985197fac039be525a2337ad3a313ce150c4f8e9615509eb1301dfb5df0b94
alibaba-file-largeobj-c64-r2,2026-08-15T14:49:39.558954+00:00,alibaba,me-central-1,file,largeobj,2,64,elbencho,16m,40,60,900,150.0,,150.0,9.0,,9.0,6100.276,,33554.432,,5.4,results-sweep/raw/alibaba-file-largeobj-c64-r2.elbencho.csv,bf275aa74873db6cecc2453e56033ef9d2699b927e7d51c3d363a08e540c112a
alibaba-block-largeobj-c16-r3,2026-08-15T15:00:02.357758+00:00,alibaba,me-central-1,block,largeobj,3,16,elbencho,16m,40,60,900,169.0,,169.0,10.0,,10.0,1501.78,,1763.488,,95.9,results-sweep/raw/alibaba-block-largeobj-c16-r3.elbencho.csv,fef6b4b7ba4d0b3eb571ac05508c72fd1e96bbf3181744162c24ba5c741cbe65
alibaba-file-balanced-c04-r2,2026-08-15T15:11:16.183971+00:00,alibaba,me-central-1,file,balanced,2,4,elbencho,64k,20,60,900,105.0,78.0,183.0,1681.0,1249.0,2930.0,2.788,,4.157,,3.8,results-sweep/raw/alibaba-file-balanced-c04-r2.elbencho.csv,283b6835d8a06c4c29f2b67a7b3ec7ff9428298ccdb85c30d7a81c8f50e04596
alibaba-file-balanced-c64-r2,2026-08-15T15:18:16.030847+00:00,alibaba,me-central-1,file,balanced,2,64,elbencho,64k,20,60,900,153.0,152.0,305.0,2448.0,2445.0,4893.0,25.655,,150.556,,6.5,results-sweep/raw/alibaba-file-balanced-c64-r2.elbencho.csv,03d7a367270d2d08c45da34baa999e3bf8cd2e5b4fe16c5154690a9bcd4803a5
alibaba-block-balanced-c01-r1,2026-08-15T15:24:51.686432+00:00,alibaba,me-central-1,block,balanced,1,1,elbencho,64k,20,60,900,152.0,170.0,322.0,2434.0,2720.0,5154.0,0.388,,1.81,,24.2,results-sweep/raw/alibaba-block-balanced-c01-r1.elbencho.csv,cabaa96ecd0d87e95360de64ae86f0172691ae435ad21ecdcd785ab1d8bc1fb3
alibaba-block-largeobj-c64-r2,2026-08-15T15:35:48.405967+00:00,alibaba,me-central-1,block,largeobj,2,64,elbencho,16m,40,60,900,168.0,,168.0,10.0,,10.0,5768.678,,14107.901,,95.9,results-sweep/raw/alibaba-block-largeobj-c64-r2.elbencho.csv,2bacc3f953b01c6d07f0a696ceb4bdbdb56bd96f3e7085f0a68d3823a344e2fb
alibaba-block-largeobj-c01-r2,2026-08-15T15:46:11.936110+00:00,alibaba,me-central-1,block,largeobj,2,1,elbencho,16m,40,60,900,168.0,,168.0,10.0,,10.0,94.83,,110.218,,25.2,results-sweep/raw/alibaba-block-largeobj-c01-r2.elbencho.csv,9cd1fa0e4fdb64935b928984616edd4b1c962ca20c14ccf90d9707b620f7f9ea
alibaba-file-largeobj-c16-r2,2026-08-15T15:59:20.684977+00:00,alibaba,me-central-1,file,largeobj,2,16,elbencho,16m,40,60,900,154.0,,154.0,9.0,,9.0,1510.936,,14107.901,,5.3,results-sweep/raw/alibaba-file-largeobj-c16-r2.elbencho.csv,81297e683ddca0861b55fee42680b5fed510a766becee26b27d985f30b851ad5
alibaba-block-largeobj-c04-r1,2026-08-15T16:09:43.549113+00:00,alibaba,me-central-1,block,largeobj,1,4,elbencho,16m,40,60,900,169.0,,169.0,10.0,,10.0,376.86,,440.872,,76.6,results-sweep/raw/alibaba-block-largeobj-c04-r1.elbencho.csv,294d3c5dd90c3070890f64a2a99f042acb4a987924e75f8c090c25d084aedde6
alibaba-file-largeobj-c64-r1,2026-08-15T16:23:03.798358+00:00,alibaba,me-central-1,file,largeobj,1,64,elbencho,16m,40,60,900,150.0,,150.0,9.0,,9.0,6071.958,,33554.432,,5.4,results-sweep/raw/alibaba-file-largeobj-c64-r1.elbencho.csv,f4214beb299397d5216f796980fe5b308199cf85abedcc9d131c96b27960d81a
alibaba-block-largeobj-c01-r3,2026-08-15T16:34:01.056933+00:00,alibaba,me-central-1,block,largeobj,3,1,elbencho,16m,40,60,900,168.0,,168.0,10.0,,10.0,94.896,,110.218,,25.8,results-sweep/raw/alibaba-block-largeobj-c01-r3.elbencho.csv,b62fffb7e8d12e1b879627b7b05bc9674e1722dd1295c7dfc940abccc1cd88d0
alibaba-block-largeobj-c64-r1,2026-08-15T16:44:26.688894+00:00,alibaba,me-central-1,block,largeobj,1,64,elbencho,16m,40,60,900,168.0,,168.0,10.0,,10.0,5754.866,,11863.283,,95.8,results-sweep/raw/alibaba-block-largeobj-c64-r1.elbencho.csv,30591defbd229e2b2777a88adbd9d68536e09a1706fd2c5694edb0814e084d08
alibaba-file-balanced-c04-r3,2026-08-15T16:54:27.767968+00:00,alibaba,me-central-1,file,balanced,3,4,elbencho,64k,20,60,900,105.0,79.0,184.0,1694.0,1270.0,2964.0,2.753,,4.157,,3.7,results-sweep/raw/alibaba-file-balanced-c04-r3.elbencho.csv,ada5a3a60f15e2e9a1420c8a038b9a1f62c215557009c48276a4f339c0b74a29
alibaba-block-largeobj-c16-r2,2026-08-15T17:07:57.506082+00:00,alibaba,me-central-1,block,largeobj,2,16,elbencho,16m,40,60,900,169.0,,169.0,10.0,,10.0,1501.77,,1763.488,,95.9,results-sweep/raw/alibaba-block-largeobj-c16-r2.elbencho.csv,d3a383c89cdf6a4425d28ff851b6be664c3e148f2f07e4b08cb08549dbdaa9e8
alibaba-block-largeobj-c04-r2,2026-08-15T17:18:17.727925+00:00,alibaba,me-central-1,block,largeobj,2,4,elbencho,16m,40,60,900,169.0,,169.0,10.0,,10.0,376.788,,440.872,,59.6,results-sweep/raw/alibaba-block-largeobj-c04-r2.elbencho.csv,a77c97f33cb9d453d038e79226bf6c623d318debd7cc861a297ca3d7adefb328
alibaba-file-largeobj-c16-r1,2026-08-15T17:32:16.359655+00:00,alibaba,me-central-1,file,largeobj,1,16,elbencho,16m,40,60,900,154.0,,154.0,9.0,,9.0,1507.777,,14107.901,,5.3,results-sweep/raw/alibaba-file-largeobj-c16-r1.elbencho.csv,8382cf006450bb1296bf87a23ffe32e37dda47e24e73274280058823890f377e
alibaba-block-balanced-c04-r3,2026-08-15T17:39:36.348659+00:00,alibaba,me-central-1,block,balanced,3,4,elbencho,64k,20,60,900,170.0,170.0,340.0,2720.0,2720.0,5440.0,1.462,,8.967,,67.7,results-sweep/raw/alibaba-block-balanced-c04-r3.elbencho.csv,b43adaee5f407a6c03b4bf931ecbed25466ed294d22a0d6a2c14f2bdfbd8a388
alibaba-file-balanced-c01-r3,2026-08-20T04:59:00.416966+00:00,alibaba,me-central-1,file,balanced,3,1,elbencho,64k,20,60,2400,30.0,20.0,50.0,493.0,323.0,816.0,2.634,,4.114,,1.2,results-sweep/raw/alibaba-file-balanced-c01-r3.elbencho.csv,452c70e988d168fe88152b8f523f1cf5e28e411b6e5a4525fcc031b77072d0e7
alibaba-block-balanced-c01-r2,2026-08-15T18:08:31.404920+00:00,alibaba,me-central-1,block,balanced,2,1,elbencho,64k,20,60,900,140.0,170.0,310.0,2244.0,2720.0,4964.0,0.405,,1.648,,24.3,results-sweep/raw/alibaba-block-balanced-c01-r2.elbencho.csv,fd06192e77eba87bb56f5162cc5b0a74c812527f4e228b3313fcdfcfeba340a7
alibaba-file-balanced-c16-r1,2026-08-15T18:15:39.591007+00:00,alibaba,me-central-1,file,balanced,1,16,elbencho,64k,20,60,900,153.0,152.0,305.0,2448.0,2445.0,4893.0,6.51,,24.576,,6.4,results-sweep/raw/alibaba-file-balanced-c16-r1.elbencho.csv,9d5cfed292446c41565bf5bf720d9735d20145b5a1c290b1086631b783932854
alibaba-file-largeobj-c01-r2,2026-08-15T18:27:35.152556+00:00,alibaba,me-central-1,file,largeobj,2,1,elbencho,16m,40,60,900,153.0,,153.0,9.0,,9.0,103.959,,311.744,,5.2,results-sweep/raw/alibaba-file-largeobj-c01-r2.elbencho.csv,07001b9dbb75f51aee24b5b9e6a6d1ec333c855f40e6f832d604e3cef17647aa
