Linux 5.15.0-186-generic (iZl4v9npj0k1gf7mzt23hcZ) 	08/15/2026 	_x86_64_	(4 CPU)

11:20:15 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:20:16 PM  all    1.26    0.00    0.50   23.37    0.00    0.00    0.00    0.00    0.00   74.87
11:20:17 PM  all    1.01    0.00    0.00   23.43    0.00    0.25    0.00    0.00    0.00   75.31
11:20:18 PM  all    1.01    0.00    0.50   23.62    0.00    0.00    0.00    0.00    0.00   74.87
11:20:19 PM  all    2.23    0.00    0.00   23.08    0.00    0.50    0.00    0.00    0.00   74.19
11:20:20 PM  all    1.26    0.00    0.50   23.37    0.00    0.00    0.00    0.00    0.00   74.87
11:20:21 PM  all    1.51    0.00    0.25   23.43    0.00    0.00    0.00    0.00    0.00   74.81
11:20:22 PM  all    1.01    0.00    0.25   23.48    0.00    0.00    0.00    0.00    0.00   75.25
11:20:23 PM  all    1.98    0.00    0.50   23.27    0.00    0.25    0.00    0.00    0.00   74.01
11:20:24 PM  all    1.50    0.00    0.75   23.25    0.00    0.00    0.00    0.00    0.00   74.50
11:20:25 PM  all    1.25    0.00    0.50   23.56    0.00    0.25    0.00    0.00    0.00   74.44
11:20:26 PM  all    1.01    0.00    0.00   23.37    0.00    0.25    0.00    0.00    0.00   75.38
11:20:27 PM  all    1.51    0.00    0.25   23.37    0.00    0.00    0.00    0.00    0.00   74.87
11:20:28 PM  all    1.74    0.00    0.50   23.13    0.00    0.50    0.00    0.00    0.00   74.13
11:20:29 PM  all    1.25    0.00    0.50   23.25    0.00    0.00    0.00    0.00    0.00   75.00
11:20:30 PM  all    1.50    0.00    0.50   23.56    0.00    0.00    0.00    0.00    0.00   74.44
11:20:31 PM  all    1.51    0.00    0.00   23.17    0.00    0.00    0.00    0.00    0.00   75.31
11:20:32 PM  all    1.27    0.00    0.00   23.54    0.00    0.00    0.00    0.00    0.00   75.19
11:20:33 PM  all    1.00    0.00    0.50   23.44    0.00    0.25    0.00    0.00    0.00   74.81
11:20:34 PM  all    0.76    0.00    0.25   23.17    0.00    0.25    0.00    0.00    0.00   75.57
11:20:35 PM  all    2.24    0.00    0.25   23.44    0.00    0.25    0.00    0.00    0.00   73.82
11:20:36 PM  all    1.98    0.00    0.50   23.02    0.00    0.25    0.00    0.00    0.00   74.26
11:20:37 PM  all    1.26    0.00    0.00   23.43    0.00    0.25    0.00    0.00    0.00   75.06
11:20:38 PM  all    0.25    0.00    0.25   23.54    0.00    0.25    0.00    0.00    0.00   75.70
