Linux 5.15.0-186-generic (iZl4v9npj0k1gf7mzt23hcZ) 	08/20/2026 	_x86_64_	(4 CPU)

03:13:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:13:39 PM  all    1.51    0.00    0.25   22.92    0.00    0.00    0.00    0.00    0.00   75.31
03:13:40 PM  all    1.25    0.00    0.00   23.31    0.00    0.25    0.00    0.00    0.00   75.19
03:13:41 PM  all    0.76    0.00    0.00   23.66    0.00    0.00    0.00    0.00    0.00   75.57
03:13:42 PM  all    1.50    0.00    0.50   23.19    0.00    0.25    0.00    0.00    0.00   74.56
03:13:43 PM  all    1.25    0.00    0.25   23.31    0.00    0.50    0.00    0.00    0.00   74.69
03:13:44 PM  all    0.76    0.00    0.00   23.74    0.00    0.00    0.00    0.00    0.00   75.51
03:13:45 PM  all    0.00    0.00    0.25   24.37    0.00    0.50    0.00    0.00    0.00   74.87
03:13:46 PM  all    0.00    0.00    0.25   24.87    0.00    0.25    0.00    0.00    0.00   74.62
03:13:47 PM  all    0.25    0.00    0.50   24.12    0.00    0.00    0.00    0.00    0.00   75.13
03:13:48 PM  all    0.25    0.00    0.00   24.56    0.00    0.25    0.00    0.00    0.00   74.94
03:13:49 PM  all    0.25    0.00    0.25   24.62    0.00    0.00    0.00    0.00    0.00   74.87
03:13:50 PM  all    0.25    0.00    0.25   24.75    0.00    0.25    0.00    0.00    0.00   74.50
03:13:51 PM  all    0.00    0.00    0.50   11.31    0.00    0.00    0.00    0.00    0.00   88.19
03:13:52 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:13:53 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:13:54 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:13:55 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:13:56 PM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
03:13:57 PM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
03:13:58 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:13:59 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:14:00 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
