Linux 5.15.0-186-generic (iZl4v9npj0k1gf7mzt23hcZ) 	08/16/2026 	_x86_64_	(4 CPU)

01:35:14 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:35:15 AM  all    1.26    0.00    0.25   94.21    0.00    0.25    0.00    0.00    0.00    4.03
01:35:16 AM  all    1.50    0.00    0.50   93.52    0.00    0.25    0.00    0.00    0.00    4.24
01:35:17 AM  all    1.25    0.00    0.50   88.03    0.00    0.50    0.00    0.00    0.00    9.73
01:35:18 AM  all    1.01    0.00    0.25   97.22    0.00    0.25    0.00    0.00    0.00    1.26
01:35:19 AM  all    1.26    0.00    0.00   96.22    0.00    0.25    0.00    0.00    0.00    2.27
01:35:20 AM  all    1.01    0.00    0.00   97.22    0.00    0.00    0.00    0.00    0.00    1.77
01:35:21 AM  all    0.51    0.00    0.25   97.20    0.00    0.00    0.00    0.00    0.00    2.04
01:35:22 AM  all    3.12    0.00    1.92   88.70    0.00    0.96    0.00    0.00    0.00    5.29
01:35:23 AM  all    3.40    0.00    1.46   92.23    0.00    0.00    0.00    0.00    0.00    2.91
01:35:24 AM  all    0.26    0.00    0.00   92.60    0.00    0.00    0.00    0.00    0.00    7.14
01:35:25 AM  all    0.26    0.00    0.26   96.17    0.00    0.00    0.00    0.00    0.00    3.32
01:35:26 AM  all    1.51    0.00    0.25   95.73    0.00    0.25    0.00    0.00    0.00    2.26
01:35:27 AM  all    1.99    0.00    0.25   94.78    0.00    0.50    0.00    0.00    0.00    2.49
01:35:28 AM  all    2.49    0.00    0.00   91.29    0.00    0.25    0.00    0.00    0.00    5.97
01:35:29 AM  all    0.76    0.00    0.25   92.66    0.00    0.00    0.00    0.00    0.00    6.33
01:35:30 AM  all    1.51    0.00    0.00   87.94    0.00    0.00    0.00    0.00    0.00   10.55
01:35:31 AM  all    1.24    0.00    0.75   95.27    0.00    0.50    0.00    0.00    0.00    2.24
01:35:32 AM  all    1.52    0.00    0.00   95.45    0.00    0.00    0.00    0.00    0.00    3.03
01:35:33 AM  all    0.76    0.00    0.51   87.37    0.00    0.00    0.00    0.00    0.00   11.36
01:35:34 AM  all    0.51    0.00    0.25   94.66    0.00    0.00    0.00    0.00    0.00    4.58
01:35:35 AM  all    2.46    0.00    0.74   92.61    0.00    0.49    0.00    0.00    0.00    3.69
01:35:36 AM  all    2.91    0.00    1.21   84.71    0.00    0.97    0.00    0.00    0.00   10.19
01:35:37 AM  all    2.23    0.00    0.50   83.87    0.00    0.00    0.00    0.00    0.00   13.40
01:35:38 AM  all    0.51    0.00    0.00   94.91    0.00    0.00    0.00    0.00    0.00    4.58
01:35:39 AM  all    0.25    0.00    0.25   94.67    0.00    0.00    0.00    0.00    0.00    4.82
01:35:40 AM  all    0.76    0.00    0.51   91.37    0.00    0.25    0.00    0.00    0.00    7.11
01:35:41 AM  all    1.25    0.00    0.25   90.50    0.00    0.25    0.00    0.00    0.00    7.75
01:35:42 AM  all    1.52    0.00    0.00   96.97    0.00    0.00    0.00    0.00    0.00    1.52
01:35:43 AM  all    0.51    0.00    0.25   96.21    0.00    0.25    0.00    0.00    0.00    2.78
01:35:44 AM  all    1.50    0.00    0.25   95.99    0.00    0.25    0.00    0.00    0.00    2.01
01:35:45 AM  all    2.00    0.00    0.00   94.00    0.00    0.25    0.00    0.00    0.00    3.75
01:35:46 AM  all    1.51    0.00    0.50   87.69    0.00    0.25    0.00    0.00    0.00   10.05
01:35:47 AM  all    1.26    0.00    0.00   95.73    0.00    0.00    0.00    0.00    0.00    3.02
01:35:48 AM  all    1.76    0.00    0.25   89.20    0.00    0.00    0.00    0.00    0.00    8.79
01:35:49 AM  all    1.49    0.00    0.75   94.53    0.00    0.25    0.00    0.00    0.00    2.99
01:35:50 AM  all    3.85    0.00    1.68   91.59    0.00    0.48    0.00    0.00    0.00    2.40
01:35:51 AM  all    2.72    0.00    0.74   92.84    0.00    0.25    0.00    0.00    0.00    3.46
01:35:52 AM  all    0.26    0.00    0.00   93.37    0.00    0.00    0.00    0.00    0.00    6.38
01:35:53 AM  all    0.51    0.00    0.00   93.61    0.00    0.00    0.00    0.00    0.00    5.88
01:35:54 AM  all    1.02    0.00    0.00   96.45    0.00    0.00    0.00    0.00    0.00    2.54
01:35:55 AM  all    1.98    0.00    0.74   91.34    0.00    0.25    0.00    0.00    0.00    5.69
01:35:56 AM  all    1.51    0.00    0.25   90.70    0.00    0.25    0.00    0.00    0.00    7.29
01:35:57 AM  all    1.02    0.00    0.00   84.26    0.00    0.00    0.00    0.00    0.00   14.72
01:35:58 AM  all    1.75    0.00    0.00   94.25    0.00    0.25    0.00    0.00    0.00    3.75
01:35:59 AM  all    1.01    0.00    0.25   91.41    0.00    0.00    0.00    0.00    0.00    7.32
01:36:00 AM  all    1.51    0.00    0.25   93.95    0.00    0.00    0.00    0.00    0.00    4.28
01:36:01 AM  all    1.26    0.00    0.25   92.42    0.00    0.00    0.00    0.00    0.00    6.06
01:36:02 AM  all    1.26    0.00    0.50   95.73    0.00    0.25    0.00    0.00    0.00    2.26
01:36:03 AM  all    2.70    0.00    0.49   94.84    0.00    0.49    0.00    0.00    0.00    1.47
01:36:04 AM  all    4.48    0.00    2.83   91.04    0.00    0.47    0.00    0.00    0.00    1.18
01:36:05 AM  all    0.76    0.00    0.25   98.23    0.00    0.25    0.00    0.00    0.00    0.51
01:36:06 AM  all    0.76    0.00    0.25   94.18    0.00    0.00    0.00    0.00    0.00    4.81
01:36:07 AM  all    1.01    0.00    0.50   95.72    0.00    0.25    0.00    0.00    0.00    2.52
01:36:08 AM  all    1.75    0.00    0.25   93.23    0.00    0.00    0.00    0.00    0.00    4.76
01:36:09 AM  all    2.21    0.00    0.98   91.89    0.00    0.49    0.00    0.00    0.00    4.42
01:36:10 AM  all    1.01    0.00    0.25   91.67    0.00    0.00    0.00    0.00    0.00    7.07
01:36:11 AM  all    1.01    0.00    0.00   95.70    0.00    0.00    0.00    0.00    0.00    3.29
01:36:12 AM  all    1.51    0.00    0.50   93.22    0.00    0.25    0.00    0.00    0.00    4.52
01:36:13 AM  all    2.48    0.00    0.25   89.58    0.00    0.00    0.00    0.00    0.00    7.69
01:36:14 AM  all    1.96    0.00    1.72   92.40    0.00    0.25    0.00    0.00    0.00    3.68
01:36:15 AM  all    1.01    0.00    0.00   90.15    0.00    0.00    0.00    0.00    0.00    8.84
01:36:16 AM  all    1.50    0.00    0.50   92.50    0.00    0.50    0.00    0.00    0.00    5.00
01:36:17 AM  all    1.52    0.00    0.00   85.86    0.00    0.00    0.00    0.00    0.00   12.63
01:36:18 AM  all    2.22    0.00    0.49   93.58    0.00    0.49    0.00    0.00    0.00    3.21
01:36:19 AM  all    1.25    0.00    0.75   91.98    0.00    0.00    0.00    0.00    0.00    6.02
01:36:20 AM  all    0.77    0.00    0.00   96.94    0.00    0.00    0.00    0.00    0.00    2.30
01:36:21 AM  all    1.25    0.00    0.50   95.74    0.00    0.00    0.00    0.00    0.00    2.51
01:36:22 AM  all    2.46    0.00    0.74   92.61    0.00    0.49    0.00    0.00    0.00    3.69
01:36:23 AM  all    1.51    0.00    0.25   94.72    0.00    0.25    0.00    0.00    0.00    3.27
01:36:24 AM  all    0.25    0.00    0.00   95.93    0.00    0.00    0.00    0.00    0.00    3.82
01:36:25 AM  all    1.27    0.00    0.00   96.46    0.00    0.00    0.00    0.00    0.00    2.28
01:36:26 AM  all    2.46    0.00    0.98   92.63    0.00    0.25    0.00    0.00    0.00    3.69
01:36:27 AM  all    1.50    0.00    0.25   97.74    0.00    0.00    0.00    0.00    0.00    0.50
01:36:28 AM  all    0.76    0.00    0.51   91.35    0.00    0.00    0.00    0.00    0.00    7.38
01:36:29 AM  all    1.25    0.00    0.25   92.98    0.00    0.25    0.00    0.00    0.00    5.26
01:36:30 AM  all    1.50    0.00    0.25   94.49    0.00    0.00    0.00    0.00    0.00    3.76
01:36:31 AM  all    1.50    0.00    0.75   94.76    0.00    0.25    0.00    0.00    0.00    2.74
01:36:32 AM  all    2.00    0.00    0.25   93.50    0.00    0.00    0.00    0.00    0.00    4.25
01:36:33 AM  all    0.76    0.00    0.25   94.95    0.00    0.25    0.00    0.00    0.00    3.79
01:36:34 AM  all    0.76    0.00    0.00   98.73    0.00    0.00    0.00    0.00    0.00    0.51
01:36:35 AM  all    2.22    0.00    2.22   47.04    0.00    0.25    0.00    0.00    0.00   48.28
01:36:36 AM  all    1.74    0.00    2.24   24.38    0.00    0.25    0.00    0.00    0.00   71.39
01:36:37 AM  all    1.52    0.00    0.76   24.30    0.00    0.00    0.00    0.00    0.00   73.42
01:36:38 AM  all    1.26    0.00    1.01   24.12    0.00    0.25    0.00    0.00    0.00   73.37
01:36:39 AM  all    1.75    0.00    1.50   23.56    0.00    0.50    0.00    0.00    0.00   72.68
01:36:40 AM  all    0.51    0.00    1.02   24.43    0.00    0.25    0.00    0.00    0.00   73.79
01:36:41 AM  all    1.51    0.00    1.01   23.93    0.00    0.00    0.00    0.00    0.00   73.55
01:36:42 AM  all    1.52    0.00    1.01   23.74    0.00    0.25    0.00    0.00    0.00   73.48
01:36:43 AM  all    1.74    0.00    1.74   23.88    0.00    0.25    0.00    0.00    0.00   72.39
01:36:44 AM  all    1.50    0.00    1.50   23.81    0.00    0.25    0.00    0.00    0.00   72.93
01:36:45 AM  all    1.52    0.00    1.52   23.74    0.00    0.00    0.00    0.00    0.00   73.23
01:36:46 AM  all    1.51    0.00    1.51   23.87    0.00    0.00    0.00    0.00    0.00   73.12
