Linux 5.15.0-186-generic (iZl4v9npj0k1gf7mzt23hcZ) 	08/20/2026 	_x86_64_	(4 CPU)

03:15:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:15:06 PM  all    0.25    0.00    0.25   28.89    0.00    0.00    0.00    0.00    0.00   70.60
03:15:07 PM  all    0.25    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00   74.75
03:15:08 PM  all    0.25    0.00    0.00   26.38    0.00    0.00    0.00    0.00    0.00   73.37
03:15:09 PM  all    0.25    0.00    0.00   26.00    0.00    0.00    0.00    0.00    0.00   73.75
03:15:10 PM  all    0.00    0.00    0.00   26.88    0.00    0.00    0.00    0.00    0.00   73.12
03:15:11 PM  all    0.00    0.00    0.00   25.31    0.00    0.00    0.00    0.00    0.00   74.69
03:15:12 PM  all    0.00    0.00    0.25   28.00    0.00    0.25    0.00    0.00    0.00   71.50
03:15:13 PM  all    0.00    0.00    0.00   33.75    0.00    0.25    0.00    0.00    0.00   66.00
03:15:14 PM  all    0.00    0.00    0.00   25.88    0.00    0.00    0.00    0.00    0.00   74.12
03:15:15 PM  all    0.00    0.00    0.50   25.00    0.00    0.00    0.00    0.00    0.00   74.50
03:15:16 PM  all    0.00    0.00    0.00   26.57    0.00    0.00    0.00    0.00    0.00   73.43
03:15:17 PM  all    0.25    0.00    0.25   26.43    0.00    0.00    0.00    0.00    0.00   73.07
03:15:18 PM  all    0.00    0.00    0.00    2.52    0.00    0.00    0.00    0.00    0.00   97.48
03:15:19 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:15:20 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:15:21 PM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
03:15:22 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:15:23 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:15:24 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:15:25 PM  all    0.00    0.00    0.25    0.25    0.00    0.00    0.00    0.00    0.00   99.50
03:15:26 PM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
03:15:27 PM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
