Linux 5.15.0-186-generic (iZl4v9npj0k1gf7mzt23hcZ) 	08/16/2026 	_x86_64_	(4 CPU)

01:13:55 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:13:56 AM  all    0.76    0.00    0.00   98.48    0.00    0.00    0.00    0.00    0.00    0.76
01:13:57 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
01:13:58 AM  all    0.25    0.00    0.25   99.25    0.00    0.25    0.00    0.00    0.00    0.00
01:13:59 AM  all    0.00    0.00    0.75   99.25    0.00    0.00    0.00    0.00    0.00    0.00
01:14:00 AM  all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
01:14:01 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
01:14:02 AM  all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
01:14:03 AM  all    0.00    0.00    0.00   79.05    0.00    0.00    0.00    0.00    0.00   20.95
01:14:04 AM  all    0.25    0.00    0.00   74.75    0.00    0.00    0.00    0.00    0.00   25.00
01:14:05 AM  all    0.00    0.00    0.00   75.00    0.00    0.00    0.00    0.00    0.00   25.00
01:14:06 AM  all    0.50    0.00    0.00   74.50    0.00    0.00    0.00    0.00    0.00   25.00
01:14:07 AM  all    0.00    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   25.06
01:14:08 AM  all    0.00    0.00    0.00   75.06    0.00    0.00    0.00    0.00    0.00   24.94
01:14:09 AM  all    0.00    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   25.06
01:14:10 AM  all    0.00    0.00    0.25   74.38    0.00    0.50    0.00    0.00    0.00   24.88
01:14:11 AM  all    0.00    0.00    0.25   51.88    0.00    0.25    0.00    0.00    0.00   47.62
01:14:12 AM  all    0.00    0.00    0.25   50.00    0.00    0.00    0.00    0.00    0.00   49.75
01:14:13 AM  all    0.00    0.00    0.25   49.88    0.00    0.00    0.00    0.00    0.00   49.88
01:14:14 AM  all    0.00    0.00    0.25   49.75    0.00    0.00    0.00    0.00    0.00   50.00
01:14:15 AM  all    0.00    0.00    0.25   49.88    0.00    0.25    0.00    0.00    0.00   49.63
01:14:16 AM  all    0.25    0.00    0.00   49.87    0.00    0.00    0.00    0.00    0.00   49.87
01:14:17 AM  all    0.00    0.00    0.00   74.62    0.00    0.00    0.00    0.00    0.00   25.38
01:14:18 AM  all    0.00    0.00    0.00   51.76    0.00    0.00    0.00    0.00    0.00   48.24
01:14:19 AM  all    0.00    0.00    0.00   55.75    0.00    0.00    0.00    0.00    0.00   44.25
01:14:20 AM  all    0.00    0.00    0.00   75.06    0.00    0.00    0.00    0.00    0.00   24.94
01:14:21 AM  all    0.50    0.00    0.00   74.56    0.00    0.00    0.00    0.00    0.00   24.94
01:14:22 AM  all    0.25    0.00    0.25   74.56    0.00    0.00    0.00    0.00    0.00   24.94
01:14:23 AM  all    0.00    0.00    0.00   75.06    0.00    0.00    0.00    0.00    0.00   24.94
01:14:24 AM  all    0.00    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   25.06
01:14:25 AM  all    0.00    0.00    0.00   74.87    0.00    0.00    0.00    0.00    0.00   25.13
01:14:26 AM  all    0.25    0.00    0.25   62.59    0.00    0.00    0.00    0.00    0.00   36.91
01:14:27 AM  all    0.00    0.00    0.00   60.15    0.00    0.00    0.00    0.00    0.00   39.85
01:14:28 AM  all    0.00    0.00    0.00   49.62    0.00    0.25    0.00    0.00    0.00   50.13
