Linux 5.15.0-186-generic (iZl4v9npj0k1gf7mzt23hcZ) 	08/15/2026 	_x86_64_	(4 CPU)

11:03:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:03:08 PM  all    0.76    0.00    1.77    0.00    0.00    0.25    0.00    0.00    0.00   97.22
11:03:09 PM  all    0.25    0.00    1.27    0.00    0.00    0.76    0.00    0.00    0.00   97.72
11:03:10 PM  all    0.75    0.00    1.99    0.00    0.00    1.49    0.00    0.00    0.00   95.77
11:03:11 PM  all    0.25    0.00    1.77    0.00    0.00    0.25    0.00    0.00    0.00   97.72
11:03:12 PM  all    0.76    0.00    1.51    0.00    0.00    0.50    0.00    0.00    0.00   97.23
11:03:13 PM  all    0.51    0.00    1.52    0.00    0.00    0.76    0.00    0.00    0.00   97.22
11:03:14 PM  all    0.75    0.00    1.75    0.00    0.00    0.50    0.00    0.00    0.00   97.00
11:03:15 PM  all    0.76    0.00    1.26    0.00    0.00    0.51    0.00    0.00    0.00   97.47
11:03:16 PM  all    0.50    0.00    2.01    0.00    0.00    0.75    0.00    0.00    0.00   96.74
11:03:17 PM  all    0.51    0.00    2.02    0.00    0.00    0.51    0.00    0.00    0.00   96.97
11:03:18 PM  all    0.76    0.00    0.76    0.00    0.00    1.01    0.00    0.00    0.00   97.47
11:03:19 PM  all    0.74    0.00    1.99    0.00    0.00    1.49    0.00    0.00    0.00   95.78
11:03:20 PM  all    0.99    0.00    2.96    0.00    0.00    0.74    0.00    0.00    0.00   95.31
11:03:21 PM  all    0.99    0.00    2.48    0.00    0.00    0.99    0.00    0.00    0.00   95.54
11:03:22 PM  all    1.50    0.00    1.50    0.00    0.00    0.50    0.00    0.00    0.00   96.50
11:03:23 PM  all    0.75    0.00    1.75    0.00    0.00    1.00    0.00    0.00    0.00   96.50
11:03:24 PM  all    0.50    0.00    2.01    0.00    0.00    0.50    0.00    0.00    0.00   96.98
11:03:25 PM  all    0.25    0.00    2.74    0.00    0.00    0.75    0.00    0.00    0.00   96.26
11:03:26 PM  all    0.75    0.00    1.50    0.00    0.00    1.00    0.00    0.00    0.00   96.75
11:03:27 PM  all    0.75    0.00    2.49    0.00    0.00    0.50    0.00    0.00    0.00   96.26
11:03:28 PM  all    0.25    0.00    1.76    0.00    0.00    1.01    0.00    0.00    0.00   96.98
11:03:29 PM  all    1.25    0.00    1.50    0.00    0.00    0.75    0.00    0.00    0.00   96.50
11:03:30 PM  all    1.00    0.00    2.24    0.00    0.00    0.75    0.00    0.00    0.00   96.01
11:03:31 PM  all    0.75    0.00    1.50    0.00    0.00    1.00    0.00    0.00    0.00   96.75
11:03:32 PM  all    1.00    0.00    1.75    0.00    0.00    1.00    0.00    0.00    0.00   96.24
11:03:33 PM  all    0.75    0.00    1.99    0.00    0.00    1.49    0.00    0.00    0.00   95.77
11:03:34 PM  all    1.00    0.00    1.49    0.00    0.00    1.24    0.00    0.00    0.00   96.27
11:03:35 PM  all    0.50    0.00    1.51    0.00    0.00    1.01    0.00    0.00    0.00   96.98
11:03:36 PM  all    1.01    0.00    1.26    0.00    0.00    0.51    0.00    0.00    0.00   97.22
11:03:37 PM  all    0.25    0.00    1.76    0.00    0.00    0.50    0.00    0.00    0.00   97.48
11:03:38 PM  all    0.50    0.00    1.76    0.00    0.00    0.50    0.00    0.00    0.00   97.23
11:03:39 PM  all    0.99    0.00    2.98    0.00    0.00    0.50    0.00    0.00    0.00   95.53
11:03:40 PM  all    0.50    0.00    1.76    0.00    0.00    1.01    0.00    0.00    0.00   96.73
11:03:41 PM  all    0.50    0.00    2.25    0.00    0.00    0.75    0.00    0.00    0.00   96.50
11:03:42 PM  all    0.50    0.00    1.51    0.00    0.00    0.75    0.00    0.00    0.00   97.24
11:03:43 PM  all    0.75    0.00    2.24    0.00    0.00    1.00    0.00    0.00    0.00   96.01
11:03:44 PM  all    0.51    0.00    1.26    0.00    0.00    0.51    0.00    0.00    0.00   97.73
11:03:45 PM  all    1.01    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   97.48
11:03:46 PM  all    0.51    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   97.47
11:03:47 PM  all    1.25    0.00    2.00    0.00    0.00    0.75    0.00    0.00    0.00   96.01
11:03:48 PM  all    0.75    0.00    2.00    0.00    0.00    0.75    0.00    0.00    0.00   96.51
11:03:49 PM  all    0.50    0.00    2.01    0.00    0.00    0.75    0.00    0.00    0.00   96.74
11:03:50 PM  all    1.24    0.00    2.24    0.00    0.00    0.75    0.00    0.00    0.00   95.77
11:03:51 PM  all    0.50    0.00    2.98    0.00    0.00    0.50    0.00    0.00    0.00   96.03
11:03:52 PM  all    0.25    0.00    1.27    0.00    0.00    0.51    0.00    0.00    0.00   97.97
11:03:53 PM  all    0.75    0.00    2.26    0.00    0.00    0.50    0.00    0.00    0.00   96.49
11:03:54 PM  all    0.75    0.00    2.99    0.00    0.00    0.50    0.00    0.00    0.00   95.77
11:03:55 PM  all    0.51    0.00    1.53    0.00    0.00    0.25    0.00    0.00    0.00   97.71
11:03:56 PM  all    1.00    0.00    1.50    0.00    0.00    0.50    0.00    0.00    0.00   96.99
11:03:57 PM  all    0.50    0.00    2.24    0.00    0.00    1.00    0.00    0.00    0.00   96.27
11:03:58 PM  all    0.76    0.00    1.77    0.00    0.00    0.76    0.00    0.00    0.00   96.72
11:03:59 PM  all    0.74    0.00    2.96    0.00    0.00    0.49    0.00    0.00    0.00   95.80
11:04:00 PM  all    0.51    0.00    1.27    0.00    0.00    0.76    0.00    0.00    0.00   97.47
11:04:01 PM  all    0.75    0.00    2.24    0.00    0.00    0.75    0.00    0.00    0.00   96.26
11:04:02 PM  all    1.01    0.00    1.27    0.00    0.00    0.25    0.00    0.00    0.00   97.47
11:04:03 PM  all    1.00    0.00    1.75    0.00    0.00    1.00    0.00    0.00    0.00   96.25
11:04:04 PM  all    1.00    0.00    1.50    0.00    0.00    1.25    0.00    0.00    0.00   96.24
11:04:05 PM  all    0.50    0.00    2.26    0.00    0.00    0.25    0.00    0.00    0.00   96.98
11:04:06 PM  all    0.00    0.00    1.02    0.00    0.00    0.51    0.00    0.00    0.00   98.47
11:04:07 PM  all    1.01    0.00    1.26    0.00    0.00    0.75    0.00    0.00    0.00   96.98
11:04:08 PM  all    0.25    0.00    2.03    0.00    0.00    0.25    0.00    0.00    0.00   97.47
11:04:09 PM  all    1.00    0.00    1.99    0.00    0.00    1.24    0.00    0.00    0.00   95.77
11:04:10 PM  all    0.76    0.00    1.26    0.00    0.00    0.51    0.00    0.00    0.00   97.47
11:04:11 PM  all    0.25    0.00    2.01    0.00    0.00    1.25    0.00    0.00    0.00   96.49
11:04:12 PM  all    0.50    0.00    2.00    0.00    0.00    1.25    0.00    0.00    0.00   96.25
11:04:13 PM  all    1.25    0.00    1.75    0.00    0.00    0.50    0.00    0.00    0.00   96.49
11:04:14 PM  all    0.76    0.00    1.01    0.00    0.00    0.76    0.00    0.00    0.00   97.47
11:04:15 PM  all    1.00    0.00    1.75    0.00    0.00    1.00    0.00    0.00    0.00   96.26
11:04:16 PM  all    1.01    0.00    0.51    0.00    0.00    1.01    0.00    0.00    0.00   97.47
11:04:17 PM  all    0.75    0.00    1.50    0.00    0.00    1.00    0.00    0.00    0.00   96.76
11:04:18 PM  all    1.25    0.00    1.50    0.00    0.00    1.00    0.00    0.00    0.00   96.25
11:04:19 PM  all    0.75    0.00    2.00    0.00    0.00    0.50    0.00    0.00    0.00   96.75
11:04:20 PM  all    0.50    0.00    2.01    0.00    0.00    0.75    0.00    0.00    0.00   96.73
11:04:21 PM  all    0.50    0.00    1.26    0.00    0.00    1.26    0.00    0.00    0.00   96.98
11:04:22 PM  all    1.01    0.00    1.26    0.00    0.00    0.50    0.00    0.00    0.00   97.24
11:04:23 PM  all    0.75    0.00    2.01    0.00    0.00    0.50    0.00    0.00    0.00   96.73
11:04:24 PM  all    1.01    0.00    1.01    0.00    0.00    0.76    0.00    0.00    0.00   97.23
11:04:25 PM  all    0.25    0.00    1.76    0.00    0.00    0.76    0.00    0.00    0.00   97.23
11:04:26 PM  all    0.76    0.00    1.01    0.00    0.00    0.76    0.00    0.00    0.00   97.47
11:04:27 PM  all    1.00    0.00    2.00    0.00    0.00    0.50    0.00    0.00    0.00   96.50
11:04:28 PM  all    0.99    0.00    2.48    0.00    0.00    0.74    0.00    0.00    0.00   95.78
11:04:29 PM  all    0.25    0.00    1.77    0.00    0.00    0.51    0.00    0.00    0.00   97.47
11:04:30 PM  all    0.76    0.00    2.02    0.00    0.00    0.25    0.00    0.00    0.00   96.98
11:04:31 PM  all    0.25    0.00    1.51    0.00    0.00    0.75    0.00    0.00    0.00   97.49
11:04:32 PM  all    0.76    0.00    1.77    0.00    0.00    0.51    0.00    0.00    0.00   96.97
11:04:33 PM  all    1.00    0.00    1.75    0.00    0.00    0.75    0.00    0.00    0.00   96.51
11:04:34 PM  all    0.25    0.00    2.25    0.00    0.00    1.00    0.00    0.00    0.00   96.50
11:04:35 PM  all    0.76    0.00    0.51    0.00    0.00    1.26    0.00    0.00    0.00   97.47
11:04:36 PM  all    1.00    0.00    1.50    0.00    0.00    0.75    0.00    0.00    0.00   96.74
11:04:37 PM  all    1.01    0.00    1.01    0.00    0.00    0.51    0.00    0.00    0.00   97.47
11:04:38 PM  all    0.75    0.00    2.01    0.00    0.00    1.00    0.00    0.00    0.00   96.24
