Linux 5.15.0-186-generic (iZl4v9npj0k1gf7mzt23hcZ) 	08/16/2026 	_x86_64_	(4 CPU)

03:41:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:41:13 AM  all    1.54    0.00    2.05    0.00    0.00    1.54    0.00    0.00    0.00   94.87
03:41:14 AM  all    1.00    0.00    4.01    0.00    0.00    1.75    0.00    0.00    0.00   93.23
03:41:15 AM  all    2.01    0.00    3.27    0.00    0.00    1.51    0.00    0.00    0.00   93.22
03:41:16 AM  all    2.04    0.00    1.78    0.00    0.00    1.78    0.00    0.00    0.00   94.40
03:41:17 AM  all    1.99    0.00    4.23    0.00    0.00    1.24    0.00    0.00    0.00   92.54
03:41:18 AM  all    1.25    0.00    4.25    0.00    0.00    1.50    0.00    0.00    0.00   93.00
03:41:19 AM  all    1.52    0.00    3.54    0.00    0.00    1.27    0.00    0.00    0.00   93.67
03:41:20 AM  all    1.52    0.00    2.54    0.00    0.00    1.78    0.00    0.00    0.00   94.16
03:41:21 AM  all    1.48    0.00    5.68    0.00    0.00    1.23    0.00    0.00    0.00   91.60
03:41:22 AM  all    1.99    0.00    3.73    0.00    0.00    1.74    0.00    0.00    0.00   92.54
03:41:23 AM  all    1.02    0.00    3.06    0.00    0.00    1.28    0.00    0.00    0.00   94.64
03:41:24 AM  all    2.24    0.00    3.23    0.00    0.00    1.74    0.00    0.00    0.00   92.79
03:41:25 AM  all    1.76    0.00    3.53    0.00    0.00    1.01    0.00    0.00    0.00   93.70
03:41:26 AM  all    1.00    0.00    4.50    0.00    0.00    1.50    0.00    0.00    0.00   93.00
03:41:27 AM  all    1.27    0.00    2.80    0.00    0.00    1.53    0.00    0.00    0.00   94.40
03:41:28 AM  all    1.27    0.00    3.54    0.00    0.00    1.27    0.00    0.00    0.00   93.92
03:41:29 AM  all    1.00    0.00    4.76    0.00    0.00    1.25    0.00    0.00    0.00   92.98
03:41:30 AM  all    1.02    0.00    2.30    0.00    0.00    1.53    0.00    0.00    0.00   95.14
03:41:31 AM  all    1.27    0.00    3.30    0.00    0.00    1.27    0.00    0.00    0.00   94.16
03:41:32 AM  all    1.53    0.00    2.81    0.00    0.00    1.02    0.00    0.00    0.00   94.64
03:41:33 AM  all    1.26    0.00    3.28    0.00    0.00    1.52    0.00    0.00    0.00   93.94
03:41:34 AM  all    0.77    0.00    2.56    0.00    0.00    1.53    0.00    0.00    0.00   95.14
03:41:35 AM  all    1.48    0.00    4.93    0.00    0.00    1.97    0.00    0.00    0.00   91.63
03:41:36 AM  all    1.53    0.00    2.81    0.00    0.00    1.02    0.00    0.00    0.00   94.63
03:41:37 AM  all    1.51    0.00    3.52    0.25    0.00    1.01    0.00    0.00    0.00   93.72
03:41:38 AM  all    1.52    0.00    2.78    0.00    0.00    1.77    0.00    0.00    0.00   93.92
03:41:39 AM  all    1.52    0.00    3.54    0.00    0.00    0.76    0.00    0.00    0.00   94.19
03:41:40 AM  all    1.50    0.00    3.50    0.00    0.00    1.75    0.00    0.00    0.00   93.25
03:41:41 AM  all    1.51    0.00    4.03    0.00    0.00    1.01    0.00    0.00    0.00   93.45
03:41:42 AM  all    1.27    0.00    2.80    0.00    0.00    1.27    0.00    0.00    0.00   94.66
03:41:43 AM  all    1.99    0.00    4.47    0.00    0.00    1.24    0.00    0.00    0.00   92.31
03:41:44 AM  all    0.78    0.00    1.82    0.00    0.00    1.04    0.00    0.00    0.00   96.35
03:41:45 AM  all    2.26    0.00    3.01    0.00    0.00    1.75    0.00    0.00    0.00   92.98
03:41:46 AM  all    2.00    0.00    3.25    0.00    0.00    1.25    0.00    0.00    0.00   93.50
03:41:47 AM  all    1.28    0.00    2.56    0.00    0.00    1.53    0.00    0.00    0.00   94.63
03:41:48 AM  all    1.25    0.00    4.50    0.00    0.00    1.50    0.00    0.00    0.00   92.75
03:41:49 AM  all    2.01    0.00    4.01    0.00    0.00    0.75    0.00    0.00    0.00   93.23
03:41:50 AM  all    2.02    0.00    2.78    0.00    0.00    1.52    0.00    0.00    0.00   93.69
03:41:51 AM  all    1.27    0.00    2.54    0.00    0.00    1.78    0.00    0.00    0.00   94.42
03:41:52 AM  all    1.53    0.00    2.81    0.00    0.00    1.02    0.00    0.00    0.00   94.64
03:41:53 AM  all    1.25    0.00    4.51    0.00    0.00    1.25    0.00    0.00    0.00   92.98
03:41:54 AM  all    2.24    0.00    3.73    0.00    0.00    1.24    0.00    0.00    0.00   92.79
03:41:55 AM  all    1.51    0.00    3.27    0.00    0.00    1.76    0.00    0.00    0.00   93.45
03:41:56 AM  all    1.49    0.00    4.48    0.00    0.00    1.74    0.00    0.00    0.00   92.29
03:41:57 AM  all    1.28    0.00    2.81    0.00    0.00    1.02    0.00    0.00    0.00   94.90
03:41:58 AM  all    1.49    0.00    4.73    0.00    0.00    1.24    0.00    0.00    0.00   92.54
03:41:59 AM  all    1.51    0.00    4.03    0.00    0.00    1.01    0.00    0.00    0.00   93.45
03:42:00 AM  all    1.96    0.00    5.39    0.00    0.00    1.23    0.00    0.00    0.00   91.42
03:42:01 AM  all    0.76    0.00    3.55    0.00    0.00    1.52    0.00    0.00    0.00   94.16
03:42:02 AM  all    1.51    0.00    3.02    0.00    0.00    2.01    0.00    0.00    0.00   93.47
03:42:03 AM  all    1.50    0.00    4.25    0.00    0.00    1.25    0.00    0.00    0.00   93.00
03:42:04 AM  all    1.27    0.00    2.80    0.00    0.00    1.53    0.00    0.00    0.00   94.40
03:42:05 AM  all    0.77    0.00    3.57    0.00    0.00    1.02    0.00    0.00    0.00   94.64
03:42:06 AM  all    1.02    0.00    3.05    0.00    0.00    1.53    0.00    0.00    0.00   94.40
03:42:07 AM  all    1.02    0.00    3.81    0.00    0.00    1.02    0.00    0.00    0.00   94.16
03:42:08 AM  all    1.50    0.00    4.01    0.00    0.00    1.00    0.00    0.00    0.00   93.48
03:42:09 AM  all    1.26    0.00    3.27    0.00    0.00    1.51    0.00    0.00    0.00   93.95
03:42:10 AM  all    1.52    0.00    3.54    0.00    0.00    1.01    0.00    0.00    0.00   93.94
03:42:11 AM  all    1.26    0.00    3.28    0.00    0.00    1.26    0.00    0.00    0.00   94.19
03:42:12 AM  all    1.50    0.00    3.99    0.00    0.00    2.00    0.00    0.00    0.00   92.52
03:42:13 AM  all    1.27    0.00    3.55    0.00    0.00    1.02    0.00    0.00    0.00   94.16
03:42:14 AM  all    1.50    0.00    4.26    0.00    0.00    1.25    0.00    0.00    0.00   92.98
03:42:15 AM  all    1.01    0.00    4.02    0.00    0.00    1.51    0.00    0.00    0.00   93.47
03:42:16 AM  all    1.26    0.00    3.03    0.00    0.00    1.52    0.00    0.00    0.00   94.19
03:42:17 AM  all    1.26    0.00    4.27    0.00    0.00    1.26    0.00    0.00    0.00   93.22
03:42:18 AM  all    1.49    0.00    4.48    0.00    0.00    1.24    0.00    0.00    0.00   92.79
03:42:19 AM  all    2.24    0.00    4.24    0.00    0.00    1.25    0.00    0.00    0.00   92.27
03:42:20 AM  all    1.25    0.00    3.76    0.00    0.00    1.75    0.00    0.00    0.00   93.23
03:42:21 AM  all    1.78    0.00    2.80    0.00    0.00    1.02    0.00    0.00    0.00   94.40
03:42:22 AM  all    2.00    0.00    3.75    0.00    0.00    1.00    0.00    0.00    0.00   93.25
03:42:23 AM  all    1.52    0.00    3.29    0.00    0.00    1.27    0.00    0.00    0.00   93.92
03:42:24 AM  all    2.21    0.00    5.39    0.00    0.00    0.98    0.00    0.00    0.00   91.42
03:42:25 AM  all    1.51    0.00    3.52    0.00    0.00    1.51    0.00    0.00    0.00   93.47
03:42:26 AM  all    1.75    0.00    3.25    0.00    0.00    1.75    0.00    0.00    0.00   93.25
03:42:27 AM  all    0.76    0.00    3.56    0.00    0.00    1.02    0.00    0.00    0.00   94.66
03:42:28 AM  all    1.75    0.00    4.01    0.00    0.00    1.25    0.00    0.00    0.00   92.98
03:42:29 AM  all    1.01    0.00    4.79    0.00    0.00    0.50    0.00    0.00    0.00   93.70
03:42:30 AM  all    2.02    0.00    2.78    0.00    0.00    1.52    0.00    0.00    0.00   93.69
03:42:31 AM  all    1.28    0.00    2.82    0.00    0.00    0.77    0.00    0.00    0.00   95.13
03:42:32 AM  all    2.22    0.00    4.43    0.00    0.00    1.72    0.00    0.00    0.00   91.63
03:42:33 AM  all    2.00    0.00    4.00    0.00    0.00    0.75    0.00    0.00    0.00   93.25
03:42:34 AM  all    1.25    0.00    4.74    0.00    0.00    1.50    0.00    0.00    0.00   92.52
03:42:35 AM  all    0.76    0.00    3.05    0.00    0.00    1.53    0.00    0.00    0.00   94.66
03:42:36 AM  all    1.76    0.00    3.27    0.00    0.00    1.01    0.00    0.00    0.00   93.95
03:42:37 AM  all    2.03    0.00    2.54    0.00    0.00    1.27    0.00    0.00    0.00   94.16
03:42:38 AM  all    1.75    0.00    4.49    0.00    0.00    1.50    0.00    0.00    0.00   92.27
03:42:39 AM  all    1.27    0.00    2.29    0.00    0.00    1.78    0.00    0.00    0.00   94.66
03:42:40 AM  all    1.27    0.00    2.28    0.00    0.00    1.78    0.00    0.00    0.00   94.67
03:42:41 AM  all    1.76    0.00    3.27    0.00    0.00    1.01    0.00    0.00    0.00   93.95
03:42:42 AM  all    1.00    0.00    4.26    0.00    0.00    1.50    0.00    0.00    0.00   93.23
03:42:43 AM  all    2.00    0.00    2.99    0.00    0.00    2.49    0.00    0.00    0.00   92.52
03:42:44 AM  all    1.75    0.00    3.99    0.00    0.00    1.25    0.00    0.00    0.00   93.02
03:42:45 AM  all    1.76    0.00    3.02    0.00    0.00    1.76    0.00    0.00    0.00   93.47
03:42:46 AM  all    0.77    0.00    2.82    0.00    0.00    1.03    0.00    0.00    0.00   95.38
03:42:47 AM  all    2.50    0.00    3.75    0.00    0.00    1.50    0.00    0.00    0.00   92.25
03:42:48 AM  all    1.73    0.00    4.69    0.00    0.00    1.73    0.00    0.00    0.00   91.85
03:42:49 AM  all    1.03    0.00    2.82    0.00    0.00    1.28    0.00    0.00    0.00   94.87
03:42:50 AM  all    2.01    0.00    3.51    0.00    0.00    1.50    0.00    0.00    0.00   92.98
03:42:51 AM  all    1.27    0.00    3.55    0.00    0.00    1.02    0.00    0.00    0.00   94.16
03:42:52 AM  all    1.52    0.00    2.53    0.00    0.00    1.52    0.00    0.00    0.00   94.44
03:42:53 AM  all    1.98    0.00    5.19    0.00    0.00    0.99    0.00    0.00    0.00   91.85
03:42:54 AM  all    2.02    0.00    3.28    0.00    0.00    0.76    0.00    0.00    0.00   93.94
03:42:55 AM  all    1.50    0.00    5.00    0.00    0.00    0.75    0.00    0.00    0.00   92.75
03:42:56 AM  all    2.45    0.00    4.41    0.00    0.00    1.72    0.00    0.00    0.00   91.42
03:42:57 AM  all    1.99    0.00    4.47    0.00    0.00    1.24    0.00    0.00    0.00   92.31
03:42:58 AM  all    2.01    0.00    3.27    0.00    0.00    1.51    0.00    0.00    0.00   93.22
03:42:59 AM  all    1.27    0.00    3.05    0.00    0.00    1.27    0.00    0.00    0.00   94.40
03:43:00 AM  all    2.00    0.00    2.50    0.00    0.00    2.50    0.00    0.00    0.00   93.00
03:43:01 AM  all    1.72    0.00    4.17    0.00    0.00    2.94    0.00    0.00    0.00   91.18
03:43:02 AM  all    0.77    0.00    2.81    0.00    0.00    1.53    0.00    0.00    0.00   94.88
03:43:03 AM  all    2.49    0.00    3.99    0.00    0.00    0.75    0.00    0.00    0.00   92.77
03:43:04 AM  all    1.76    0.00    3.78    0.00    0.00    1.01    0.00    0.00    0.00   93.45
03:43:05 AM  all    2.71    0.00    4.19    0.00    0.00    1.23    0.00    0.00    0.00   91.87
03:43:06 AM  all    2.00    0.00    4.00    0.00    0.00    0.75    0.00    0.00    0.00   93.25
03:43:07 AM  all    1.98    0.00    4.94    0.00    0.00    1.48    0.00    0.00    0.00   91.60
03:43:08 AM  all    1.48    0.00    5.17    0.00    0.00    1.72    0.00    0.00    0.00   91.63
03:43:09 AM  all    0.51    0.00    2.55    0.00    0.00    1.79    0.00    0.00    0.00   95.15
03:43:10 AM  all    2.01    0.00    3.76    0.00    0.00    1.00    0.00    0.00    0.00   93.23
03:43:11 AM  all    1.75    0.00    3.99    0.00    0.00    1.25    0.00    0.00    0.00   93.02
03:43:12 AM  all    0.77    0.00    3.07    0.00    0.00    1.28    0.00    0.00    0.00   94.88
03:43:13 AM  all    1.99    0.00    3.97    0.00    0.00    1.49    0.00    0.00    0.00   92.56
03:43:14 AM  all    1.51    0.00    3.27    0.00    0.00    1.76    0.00    0.00    0.00   93.45
03:43:15 AM  all    0.25    0.00    3.56    0.00    0.00    1.78    0.00    0.00    0.00   94.40
03:43:16 AM  all    1.27    0.00    2.04    0.00    0.00    2.04    0.00    0.00    0.00   94.66
03:43:17 AM  all    1.52    0.00    3.28    0.00    0.00    1.26    0.00    0.00    0.00   93.94
03:43:18 AM  all    1.48    0.00    4.94    0.00    0.00    1.98    0.00    0.00    0.00   91.60
03:43:19 AM  all    1.52    0.00    2.54    0.00    0.00    1.52    0.00    0.00    0.00   94.42
03:43:20 AM  all    1.99    0.00    3.47    0.00    0.00    2.23    0.00    0.00    0.00   92.31
03:43:21 AM  all    2.24    0.00    4.23    0.00    0.00    1.00    0.00    0.00    0.00   92.54
03:43:22 AM  all    1.02    0.00    3.05    0.00    0.00    1.27    0.00    0.00    0.00   94.67
03:43:23 AM  all    1.03    0.00    2.32    0.00    0.00    1.29    0.00    0.00    0.00   95.36
03:43:24 AM  all    0.50    0.00    5.00    0.00    0.00    1.75    0.00    0.00    0.00   92.75
03:43:25 AM  all    1.02    0.00    2.56    0.00    0.00    1.53    0.00    0.00    0.00   94.88
03:43:26 AM  all    1.98    0.00    4.20    0.00    0.00    1.73    0.00    0.00    0.00   92.10
03:43:27 AM  all    0.26    0.00    2.30    0.00    0.00    3.83    0.00    0.00    0.00   93.62
03:43:28 AM  all    0.00    0.00    3.54    0.00    0.00    3.03    0.00    0.00    0.00   93.43
03:43:29 AM  all    0.25    0.00    3.81    0.00    0.00    2.54    0.00    0.00    0.00   93.40
03:43:30 AM  all    0.00    0.00    4.53    0.00    0.00    2.77    0.00    0.00    0.00   92.70
03:43:31 AM  all    0.50    0.00    3.74    0.00    0.00    3.74    0.00    0.00    0.00   92.02
03:43:32 AM  all    0.50    0.00    3.23    0.00    0.00    4.48    0.00    0.00    0.00   91.79
03:43:33 AM  all    0.00    0.00    3.82    0.00    0.00    3.05    0.00    0.00    0.00   93.13
03:43:34 AM  all    0.51    0.00    2.80    0.00    0.00    2.80    0.00    0.00    0.00   93.89
03:43:35 AM  all    0.26    0.00    2.57    0.00    0.00    2.83    0.00    0.00    0.00   94.34
03:43:36 AM  all    0.00    0.00    2.04    0.00    0.00    3.56    0.00    0.00    0.00   94.40
03:43:37 AM  all    0.25    0.00    4.02    0.00    0.00    3.02    0.00    0.00    0.00   92.71
03:43:38 AM  all    0.25    0.00    3.53    0.00    0.00    3.27    0.00    0.00    0.00   92.95
03:43:39 AM  all    0.00    0.00    4.26    0.00    0.00    3.76    0.00    0.00    0.00   91.98
03:43:40 AM  all    0.50    0.00    4.00    0.00    0.00    3.25    0.00    0.00    0.00   92.25
03:43:41 AM  all    0.00    0.00    3.48    0.00    0.00    4.73    0.00    0.00    0.00   91.79
03:43:42 AM  all    0.00    0.00    3.76    0.00    0.00    4.01    0.00    0.00    0.00   92.23
03:43:43 AM  all    0.50    0.00    4.01    0.00    0.00    2.76    0.00    0.00    0.00   92.73
03:43:44 AM  all    0.00    0.00    4.04    0.00    0.00    2.53    0.00    0.00    0.00   93.43
03:43:45 AM  all    0.00    0.00    5.01    0.00    0.00    2.51    0.00    0.00    0.00   92.48
03:43:46 AM  all    0.25    0.00    3.03    0.00    0.00    3.54    0.00    0.00    0.00   93.18
03:43:47 AM  all    0.75    0.00    4.02    0.00    0.00    3.02    0.00    0.00    0.00   92.21
03:43:48 AM  all    0.00    0.00    3.54    0.00    0.00    2.53    0.00    0.00    0.00   93.92
03:43:49 AM  all    0.25    0.00    3.05    0.00    0.00    3.31    0.00    0.00    0.00   93.38
03:43:50 AM  all    0.50    0.00    3.78    0.00    0.00    3.02    0.00    0.00    0.00   92.70
