Linux 5.15.0-186-generic (iZl4v9npj0k1gf7mzt23hcZ) 	08/20/2026 	_x86_64_	(4 CPU)

02:40:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:40:29 PM  all    1.01    0.00    3.03    0.00    0.00    2.78    0.00    0.00    0.00   93.18
02:40:30 PM  all    0.00    0.00    1.78    0.00    0.00    2.54    0.00    0.00    0.00   95.67
02:40:31 PM  all    0.00    0.00    2.28    0.00    0.00    2.53    0.00    0.00    0.00   95.19
02:40:32 PM  all    0.25    0.00    4.43    0.00    0.00    2.71    0.00    0.00    0.00   92.61
02:40:33 PM  all    0.00    0.00    2.03    0.00    0.00    2.28    0.00    0.00    0.00   95.69
02:40:34 PM  all    0.00    0.00    2.27    0.00    0.00    3.02    0.00    0.00    0.00   94.71
02:40:35 PM  all    0.00    0.00    3.00    0.00    0.00    2.75    0.00    0.00    0.00   94.25
02:40:36 PM  all    0.25    0.00    2.76    0.00    0.00    2.51    0.00    0.00    0.00   94.49
02:40:37 PM  all    0.00    0.00    3.01    0.00    0.00    3.01    0.00    0.00    0.00   93.98
02:40:38 PM  all    0.00    0.00    1.76    0.00    0.00    3.53    0.00    0.00    0.00   94.71
02:40:39 PM  all    0.25    0.00    2.97    0.00    0.00    3.71    0.00    0.00    0.00   93.07
02:40:40 PM  all    0.25    0.00    2.76    0.00    0.00    2.51    0.00    0.00    0.00   94.47
02:40:41 PM  all    0.00    0.00    2.02    0.00    0.00    2.78    0.00    0.00    0.00   95.20
02:40:42 PM  all    0.00    0.00    2.76    0.00    0.00    2.51    0.00    0.00    0.00   94.74
02:40:43 PM  all    0.00    0.00    3.04    0.00    0.00    2.03    0.00    0.00    0.00   94.94
02:40:44 PM  all    0.00    0.00    2.76    0.00    0.00    2.76    0.00    0.00    0.00   94.49
02:40:45 PM  all    0.50    0.00    2.00    0.00    0.00    3.00    0.00    0.00    0.00   94.50
02:40:46 PM  all    0.00    0.00    3.48    0.00    0.00    2.99    0.00    0.00    0.00   93.53
02:40:47 PM  all    0.00    0.00    2.03    0.00    0.00    2.53    0.00    0.00    0.00   95.44
02:40:48 PM  all    0.00    0.00    3.00    0.00    0.00    3.25    0.00    0.00    0.00   93.75
02:40:49 PM  all    0.25    0.00    2.49    0.00    0.00    3.24    0.00    0.00    0.00   94.01
02:40:50 PM  all    0.25    0.00    2.52    0.00    0.00    2.52    0.00    0.00    0.00   94.71
02:40:51 PM  all    0.25    0.00    3.97    0.00    0.00    2.48    0.00    0.00    0.00   93.30
02:40:52 PM  all    0.00    0.00    2.02    0.00    0.00    3.27    0.00    0.00    0.00   94.71
02:40:53 PM  all    0.00    0.00    2.76    0.00    0.00    2.51    0.00    0.00    0.00   94.74
02:40:54 PM  all    0.00    0.00    2.51    0.00    0.00    3.27    0.00    0.00    0.00   94.22
02:40:55 PM  all    0.25    0.00    2.50    0.00    0.00    2.75    0.00    0.00    0.00   94.50
02:40:56 PM  all    0.25    0.00    2.72    0.00    0.00    3.96    0.00    0.00    0.00   93.07
02:40:57 PM  all    0.00    0.00    2.29    0.00    0.00    1.78    0.00    0.00    0.00   95.93
02:40:58 PM  all    0.00    0.00    2.52    0.00    0.00    2.77    0.00    0.00    0.00   94.71
02:40:59 PM  all    0.00    0.00    1.79    0.00    0.00    2.04    0.00    0.00    0.00   96.17
02:41:00 PM  all    0.50    0.00    2.25    0.00    0.00    3.50    0.00    0.00    0.00   93.75
02:41:01 PM  all    0.00    0.00    2.52    0.00    0.00    2.77    0.00    0.00    0.00   94.71
02:41:02 PM  all    0.00    0.00    2.53    0.00    0.00    1.77    0.00    0.00    0.00   95.70
02:41:03 PM  all    0.25    0.00    1.26    0.00    0.00    3.54    0.00    0.00    0.00   94.95
02:41:04 PM  all    0.00    0.00    3.26    0.00    0.00    2.01    0.00    0.00    0.00   94.74
02:41:05 PM  all    0.00    0.00    2.76    0.00    0.00    3.02    0.00    0.00    0.00   94.22
02:41:06 PM  all    0.00    0.00    2.26    0.00    0.00    3.27    0.00    0.00    0.00   94.47
02:41:07 PM  all    0.00    0.00    3.24    0.00    0.00    2.99    0.00    0.00    0.00   93.77
02:41:08 PM  all    0.00    0.00    2.51    0.00    0.00    3.02    0.00    0.00    0.00   94.47
02:41:09 PM  all    0.00    0.00    2.74    0.00    0.00    3.49    0.00    0.00    0.00   93.77
02:41:10 PM  all    0.50    0.00    2.51    0.00    0.00    2.76    0.00    0.00    0.00   94.24
02:41:11 PM  all    0.25    0.00    1.76    0.00    0.00    3.27    0.00    0.00    0.00   94.72
02:41:12 PM  all    0.00    0.00    2.53    0.00    0.00    2.53    0.00    0.00    0.00   94.94
02:41:13 PM  all    0.00    0.00    3.01    0.00    0.00    2.76    0.00    0.00    0.00   94.24
02:41:14 PM  all    0.00    0.00    2.53    0.00    0.00    2.78    0.00    0.00    0.00   94.70
02:41:15 PM  all    0.00    0.00    1.53    0.00    0.00    2.80    0.00    0.00    0.00   95.67
02:41:16 PM  all    0.00    0.00    2.76    0.00    0.00    2.76    0.00    0.00    0.00   94.49
02:41:17 PM  all    0.25    0.00    1.76    0.00    0.00    3.27    0.00    0.00    0.00   94.72
02:41:18 PM  all    0.00    0.00    2.74    0.00    0.00    3.24    0.00    0.00    0.00   94.01
02:41:19 PM  all    0.00    0.00    2.01    0.00    0.00    3.52    0.00    0.00    0.00   94.47
02:41:20 PM  all    0.75    0.00    2.24    0.00    0.00    2.99    0.00    0.00    0.00   94.01
02:41:21 PM  all    0.00    0.00    2.76    0.00    0.00    2.51    0.00    0.00    0.00   94.72
02:41:22 PM  all    0.00    0.00    3.01    0.00    0.00    2.76    0.00    0.00    0.00   94.24
02:41:23 PM  all    0.00    0.00    2.53    0.00    0.00    1.77    0.00    0.00    0.00   95.70
02:41:24 PM  all    0.25    0.00    2.76    0.00    0.00    3.02    0.00    0.00    0.00   93.97
02:41:25 PM  all    0.00    0.00    2.51    0.00    0.00    3.02    0.00    0.00    0.00   94.47
02:41:26 PM  all    0.00    0.00    2.51    0.00    0.00    3.26    0.00    0.00    0.00   94.24
02:41:27 PM  all    0.25    0.00    2.98    0.00    0.00    3.23    0.00    0.00    0.00   93.55
02:41:28 PM  all    0.00    0.00    3.23    0.00    0.00    3.23    0.00    0.00    0.00   93.55
02:41:29 PM  all    0.00    0.00    3.50    0.00    0.00    2.75    0.00    0.00    0.00   93.75
02:41:30 PM  all    0.50    0.00    3.51    0.00    0.00    1.75    0.00    0.00    0.00   94.24
02:41:31 PM  all    0.00    0.00    2.53    0.00    0.00    2.27    0.00    0.00    0.00   95.20
02:41:32 PM  all    0.00    0.00    2.75    0.00    0.00    3.00    0.00    0.00    0.00   94.25
02:41:33 PM  all    0.00    0.00    1.77    0.00    0.00    1.77    0.00    0.00    0.00   96.46
02:41:34 PM  all    0.25    0.00    3.51    0.00    0.00    3.01    0.00    0.00    0.00   93.23
02:41:35 PM  all    0.00    0.00    3.00    0.00    0.00    3.00    0.00    0.00    0.00   94.00
02:41:36 PM  all    0.25    0.00    1.00    0.00    0.00    2.00    0.00    0.00    0.00   96.75
02:41:37 PM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
02:41:38 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:41:39 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:41:40 PM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
02:41:41 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:41:42 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:41:43 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:41:44 PM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
02:41:45 PM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
