Linux 5.15.0-186-generic (iZl4v9npj0k1gf7mzt23hcZ) 	08/16/2026 	_x86_64_	(4 CPU)

03:15:06 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:15:07 AM  all    2.26    0.00    5.76    0.00    0.00    3.01    0.00    0.00    0.00   88.97
03:15:08 AM  all    0.50    0.00    2.27    0.00    0.00    1.76    0.00    0.00    0.00   95.47
03:15:09 AM  all    0.00    0.00    2.24    0.00    0.00    3.99    0.00    0.00    0.00   93.77
03:15:10 AM  all    0.00    0.00    2.76    0.00    0.00    2.76    0.00    0.00    0.00   94.49
03:15:11 AM  all    0.00    0.00    1.77    0.00    0.00    2.78    0.00    0.00    0.00   95.44
03:15:12 AM  all    0.25    0.00    2.52    0.00    0.00    3.02    0.00    0.00    0.00   94.21
03:15:13 AM  all    0.00    0.00    2.03    0.00    0.00    2.54    0.00    0.00    0.00   95.43
03:15:14 AM  all    0.00    0.00    2.51    0.00    0.00    3.02    0.00    0.00    0.00   94.47
03:15:15 AM  all    0.00    0.00    2.77    0.00    0.00    2.52    0.00    0.00    0.00   94.71
03:15:16 AM  all    0.00    0.00    1.79    0.00    0.00    1.53    0.00    0.00    0.00   96.68
03:15:17 AM  all    0.25    0.00    2.53    0.00    0.00    2.53    0.00    0.00    0.00   94.68
03:15:18 AM  all    0.00    0.00    2.52    0.00    0.00    2.52    0.00    0.00    0.00   94.96
03:15:19 AM  all    0.00    0.00    2.28    0.00    0.00    2.53    0.00    0.00    0.00   95.19
03:15:20 AM  all    0.00    0.00    2.75    0.00    0.00    3.25    0.00    0.00    0.00   94.00
03:15:21 AM  all    0.00    0.00    2.52    0.00    0.00    3.53    0.00    0.00    0.00   93.95
03:15:22 AM  all    0.00    0.00    3.26    0.00    0.00    2.26    0.00    0.00    0.00   94.49
03:15:23 AM  all    0.00    0.00    1.53    0.00    0.00    2.05    0.00    0.00    0.00   96.42
03:15:24 AM  all    0.51    0.00    2.27    0.00    0.00    2.27    0.00    0.00    0.00   94.95
03:15:25 AM  all    0.00    0.00    2.27    0.00    0.00    2.77    0.00    0.00    0.00   94.96
03:15:26 AM  all    0.25    0.00    2.77    0.00    0.00    2.77    0.00    0.00    0.00   94.21
03:15:27 AM  all    0.50    0.00    2.51    0.00    0.00    2.51    0.00    0.00    0.00   94.49
03:15:28 AM  all    0.00    0.00    2.24    0.00    0.00    3.99    0.00    0.00    0.00   93.77
03:15:29 AM  all    0.00    0.00    2.74    0.00    0.00    3.74    0.00    0.00    0.00   93.52
03:15:30 AM  all    0.00    0.00    2.51    0.00    0.00    3.52    0.00    0.00    0.00   93.97
03:15:31 AM  all    0.51    0.00    2.27    0.00    0.00    2.27    0.00    0.00    0.00   94.95
03:15:32 AM  all    0.25    0.00    2.75    0.00    0.00    2.75    0.00    0.00    0.00   94.25
03:15:33 AM  all    0.00    0.00    2.51    0.00    0.00    2.76    0.00    0.00    0.00   94.72
03:15:34 AM  all    0.00    0.00    2.54    0.00    0.00    2.79    0.00    0.00    0.00   94.67
03:15:35 AM  all    0.00    0.00    2.76    0.00    0.00    3.01    0.00    0.00    0.00   94.24
03:15:36 AM  all    0.26    0.00    2.05    0.00    0.00    1.53    0.00    0.00    0.00   96.16
03:15:37 AM  all    0.00    0.00    2.27    0.00    0.00    2.02    0.00    0.00    0.00   95.71
03:15:38 AM  all    0.00    0.00    2.54    0.00    0.00    3.05    0.00    0.00    0.00   94.42
03:15:39 AM  all    0.00    0.00    2.26    0.00    0.00    2.76    0.00    0.00    0.00   94.97
03:15:40 AM  all    0.25    0.00    3.47    0.00    0.00    2.97    0.00    0.00    0.00   93.32
03:15:41 AM  all    0.00    0.00    3.03    0.00    0.00    2.02    0.00    0.00    0.00   94.95
03:15:42 AM  all    0.25    0.00    2.53    0.00    0.00    2.78    0.00    0.00    0.00   94.44
03:15:43 AM  all    0.00    0.00    3.73    0.00    0.00    2.74    0.00    0.00    0.00   93.53
03:15:44 AM  all    0.00    0.00    2.51    0.00    0.00    3.01    0.00    0.00    0.00   94.49
03:15:45 AM  all    0.00    0.00    2.53    0.00    0.00    2.28    0.00    0.00    0.00   95.19
03:15:46 AM  all    0.00    0.00    3.00    0.00    0.00    2.75    0.00    0.00    0.00   94.25
03:15:47 AM  all    0.25    0.00    1.76    0.00    0.00    3.52    0.00    0.00    0.00   94.47
03:15:48 AM  all    0.00    0.00    2.28    0.00    0.00    2.78    0.00    0.00    0.00   94.94
03:15:49 AM  all    0.00    0.00    2.77    0.00    0.00    2.52    0.00    0.00    0.00   94.71
03:15:50 AM  all    0.00    0.00    3.02    0.00    0.00    2.52    0.00    0.00    0.00   94.46
03:15:51 AM  all    0.25    0.00    1.78    0.00    0.00    2.28    0.00    0.00    0.00   95.69
03:15:52 AM  all    0.00    0.00    2.28    0.00    0.00    2.78    0.00    0.00    0.00   94.94
03:15:53 AM  all    0.25    0.00    2.26    0.00    0.00    2.76    0.00    0.00    0.00   94.72
03:15:54 AM  all    0.25    0.00    2.76    0.00    0.00    3.02    0.00    0.00    0.00   93.97
03:15:55 AM  all    0.25    0.00    2.48    0.00    0.00    4.21    0.00    0.00    0.00   93.07
03:15:56 AM  all    0.00    0.00    2.73    0.00    0.00    3.97    0.00    0.00    0.00   93.30
03:15:57 AM  all    0.00    0.00    4.21    0.00    0.00    3.22    0.00    0.00    0.00   92.57
03:15:58 AM  all    0.00    0.00    2.26    0.00    0.00    3.01    0.00    0.00    0.00   94.74
03:15:59 AM  all    0.00    0.00    3.52    0.00    0.00    2.26    0.00    0.00    0.00   94.22
03:16:00 AM  all    0.00    0.00    2.76    0.00    0.00    2.76    0.00    0.00    0.00   94.49
03:16:01 AM  all    0.25    0.00    2.54    0.00    0.00    2.03    0.00    0.00    0.00   95.18
03:16:02 AM  all    0.25    0.00    3.26    0.00    0.00    2.51    0.00    0.00    0.00   93.98
03:16:03 AM  all    0.00    0.00    2.99    0.00    0.00    2.99    0.00    0.00    0.00   94.03
03:16:04 AM  all    0.00    0.00    3.01    0.00    0.00    2.76    0.00    0.00    0.00   94.24
03:16:05 AM  all    0.00    0.00    3.27    0.00    0.00    2.76    0.00    0.00    0.00   93.97
03:16:06 AM  all    0.25    0.00    2.27    0.00    0.00    2.53    0.00    0.00    0.00   94.95
03:16:07 AM  all    0.00    0.00    1.51    0.00    0.00    3.78    0.00    0.00    0.00   94.71
03:16:08 AM  all    0.25    0.00    2.52    0.00    0.00    2.52    0.00    0.00    0.00   94.71
03:16:09 AM  all    0.00    0.00    2.52    0.00    0.00    2.27    0.00    0.00    0.00   95.21
03:16:10 AM  all    0.25    0.00    1.75    0.00    0.00    3.51    0.00    0.00    0.00   94.49
03:16:11 AM  all    0.00    0.00    3.23    0.00    0.00    3.23    0.00    0.00    0.00   93.53
03:16:12 AM  all    0.49    0.00    3.46    0.00    0.00    3.46    0.00    0.00    0.00   92.59
03:16:13 AM  all    0.00    0.00    2.28    0.00    0.00    2.03    0.00    0.00    0.00   95.69
03:16:14 AM  all    0.00    0.00    2.76    0.00    0.00    3.26    0.00    0.00    0.00   93.98
03:16:15 AM  all    0.25    0.00    2.99    0.00    0.00    3.23    0.00    0.00    0.00   93.53
03:16:16 AM  all    0.00    0.00    1.78    0.00    0.00    2.54    0.00    0.00    0.00   95.67
03:16:17 AM  all    0.00    0.00    2.28    0.00    0.00    2.54    0.00    0.00    0.00   95.18
03:16:18 AM  all    0.00    0.00    2.53    0.00    0.00    2.27    0.00    0.00    0.00   95.20
03:16:19 AM  all    0.00    0.00    2.02    0.00    0.00    3.28    0.00    0.00    0.00   94.70
03:16:20 AM  all    0.00    0.00    2.28    0.00    0.00    2.28    0.00    0.00    0.00   95.44
03:16:21 AM  all    0.00    0.00    2.27    0.00    0.00    2.53    0.00    0.00    0.00   95.20
03:16:22 AM  all    0.50    0.00    3.01    0.00    0.00    2.51    0.00    0.00    0.00   93.98
03:16:23 AM  all    0.00    0.00    3.02    0.00    0.00    2.76    0.00    0.00    0.00   94.22
03:16:24 AM  all    0.00    0.00    2.76    0.00    0.00    3.27    0.00    0.00    0.00   93.97
03:16:25 AM  all    0.00    0.00    3.23    0.00    0.00    3.48    0.00    0.00    0.00   93.28
03:16:26 AM  all    0.25    0.00    2.49    0.00    0.00    3.24    0.00    0.00    0.00   94.01
03:16:27 AM  all    0.00    0.00    3.00    0.00    0.00    3.25    0.00    0.00    0.00   93.75
03:16:28 AM  all    0.25    0.00    3.01    0.00    0.00    2.26    0.00    0.00    0.00   94.49
03:16:29 AM  all    0.25    0.00    1.78    0.00    0.00    3.05    0.00    0.00    0.00   94.92
03:16:30 AM  all    0.00    0.00    2.26    0.00    0.00    3.52    0.00    0.00    0.00   94.22
03:16:31 AM  all    0.25    0.00    2.00    0.00    0.00    3.75    0.00    0.00    0.00   94.00
03:16:32 AM  all    0.00    0.00    2.54    0.00    0.00    2.28    0.00    0.00    0.00   95.18
03:16:33 AM  all    0.50    0.00    2.74    0.00    0.00    2.74    0.00    0.00    0.00   94.01
03:16:34 AM  all    0.00    0.00    2.28    0.00    0.00    3.04    0.00    0.00    0.00   94.68
03:16:35 AM  all    0.00    0.00    3.48    0.00    0.00    3.23    0.00    0.00    0.00   93.28
03:16:36 AM  all    0.00    0.00    2.28    0.00    0.00    2.53    0.00    0.00    0.00   95.19
03:16:37 AM  all    1.01    0.00    2.52    0.25    0.00    2.52    0.00    0.00    0.00   93.70
03:16:38 AM  all    0.51    0.00    2.28    0.00    0.00    3.04    0.00    0.00    0.00   94.18
03:16:39 AM  all    0.00    0.00    3.00    0.00    0.00    2.50    0.00    0.00    0.00   94.50
03:16:40 AM  all    0.00    0.00    2.53    0.00    0.00    2.53    0.00    0.00    0.00   94.94
03:16:41 AM  all    0.25    0.00    2.75    0.00    0.00    2.75    0.00    0.00    0.00   94.25
03:16:42 AM  all    0.50    0.00    2.51    0.25    0.00    3.01    0.00    0.00    0.00   93.73
03:16:43 AM  all    0.00    0.00    2.02    0.00    0.00    3.02    0.00    0.00    0.00   94.96
03:16:44 AM  all    0.00    0.00    3.47    0.00    0.00    3.23    0.00    0.00    0.00   93.30
03:16:45 AM  all    0.25    0.00    2.76    0.00    0.00    2.76    0.00    0.00    0.00   94.24
03:16:46 AM  all    0.00    0.00    2.25    0.00    0.00    3.75    0.00    0.00    0.00   94.00
