Linux 5.15.0-186-generic (iZl4v9npj0k1gf7mzt23hcZ) 	08/20/2026 	_x86_64_	(4 CPU)

03:26:24 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:26:25 PM  all    5.53    0.00   16.83    0.00    0.00    2.26    0.00    0.00    0.00   75.38
03:26:26 PM  all    0.25    0.00    2.72    0.00    0.00    3.47    0.00    0.00    0.00   93.56
03:26:27 PM  all    0.00    0.00    1.77    0.00    0.00    3.04    0.00    0.00    0.00   95.19
03:26:28 PM  all    0.00    0.00    1.53    0.00    0.00    2.54    0.00    0.00    0.00   95.93
03:26:29 PM  all    0.00    0.00    2.52    0.00    0.00    2.52    0.00    0.00    0.00   94.96
03:26:30 PM  all    0.25    0.00    2.28    0.00    0.00    2.53    0.00    0.00    0.00   94.94
03:26:31 PM  all    0.00    0.00    2.27    0.00    0.00    2.78    0.00    0.00    0.00   94.95
03:26:32 PM  all    0.00    0.00    1.77    0.00    0.00    3.54    0.00    0.00    0.00   94.68
03:26:33 PM  all    0.00    0.00    3.71    0.00    0.00    3.22    0.00    0.00    0.00   93.07
03:26:34 PM  all    0.00    0.00    2.04    0.00    0.00    2.80    0.00    0.00    0.00   95.17
03:26:35 PM  all    0.00    0.00    2.75    0.00    0.00    3.25    0.00    0.00    0.00   94.00
03:26:36 PM  all    0.00    0.00    2.28    0.00    0.00    2.53    0.00    0.00    0.00   95.19
03:26:37 PM  all    0.50    0.00    3.23    0.00    0.00    3.47    0.00    0.00    0.00   92.80
03:26:38 PM  all    0.00    0.00    2.54    0.00    0.00    2.28    0.00    0.00    0.00   95.18
03:26:39 PM  all    0.00    0.00    3.23    0.00    0.00    3.47    0.00    0.00    0.00   93.30
03:26:40 PM  all    0.00    0.00    1.79    0.00    0.00    2.30    0.00    0.00    0.00   95.91
03:26:41 PM  all    0.00    0.00    3.24    0.00    0.00    3.49    0.00    0.00    0.00   93.27
03:26:42 PM  all    0.00    0.00    3.27    0.00    0.00    2.26    0.00    0.00    0.00   94.47
03:26:43 PM  all    0.50    0.00    2.76    0.00    0.00    2.51    0.00    0.00    0.00   94.22
03:26:44 PM  all    0.00    0.00    2.76    0.00    0.00    3.26    0.00    0.00    0.00   93.98
03:26:45 PM  all    0.25    0.00    2.51    0.00    0.00    3.51    0.00    0.00    0.00   93.73
03:26:46 PM  all    0.00    0.00    3.76    0.00    0.00    2.51    0.00    0.00    0.00   93.73
03:26:47 PM  all    0.00    0.00    2.99    0.00    0.00    3.74    0.00    0.00    0.00   93.27
03:26:48 PM  all    0.00    0.00    2.25    0.00    0.00    4.25    0.00    0.00    0.00   93.50
03:26:49 PM  all    0.00    0.00    2.76    0.00    0.00    3.26    0.00    0.00    0.00   93.98
03:26:50 PM  all    0.00    0.00    3.27    0.00    0.00    2.51    0.00    0.00    0.00   94.22
03:26:51 PM  all    0.00    0.00    3.00    0.00    0.00    3.75    0.00    0.00    0.00   93.25
03:26:52 PM  all    0.25    0.00    2.25    0.00    0.00    3.75    0.00    0.00    0.00   93.75
03:26:53 PM  all    0.00    0.00    2.52    0.00    0.00    3.27    0.00    0.00    0.00   94.21
03:26:54 PM  all    0.00    0.00    3.47    0.00    0.00    3.72    0.00    0.00    0.00   92.80
03:26:55 PM  all    0.25    0.00    2.52    0.00    0.00    3.02    0.00    0.00    0.00   94.21
03:26:56 PM  all    0.00    0.00    2.74    0.00    0.00    3.74    0.00    0.00    0.00   93.52
03:26:57 PM  all    0.00    0.00    3.47    0.00    0.00    3.72    0.00    0.00    0.00   92.80
03:26:58 PM  all    0.50    0.00    3.26    0.00    0.00    2.26    0.00    0.00    0.00   93.98
