Linux 5.15.0-186-generic (iZl4v9npj0k1gf7mzt23hcZ) 	08/20/2026 	_x86_64_	(4 CPU)

11:48:41 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:48:42 AM  all   68.62    0.00    9.95    0.00    0.00    4.08    0.00    0.00    0.00   17.35
11:48:43 AM  all   72.48    0.00    4.42    0.00    0.00    3.19    0.00    0.00    0.00   19.90
11:48:44 AM  all   76.28    0.00    4.85    0.00    0.00    3.32    0.00    0.00    0.00   15.56
11:48:45 AM  all   81.45    0.00    5.01    0.00    0.00    3.76    0.00    0.00    0.00    9.77
11:48:46 AM  all   77.19    0.00    5.01    0.00    0.00    3.51    0.00    0.00    0.00   14.29
11:48:47 AM  all   79.65    0.00    6.03    0.00    0.00    4.77    0.00    0.00    0.00    9.55
11:48:48 AM  all   79.90    0.00    5.28    0.00    0.00    3.77    0.00    0.00    0.00   11.06
11:48:49 AM  all   78.95    0.00    5.76    0.00    0.00    3.76    0.00    0.00    0.00   11.53
11:48:50 AM  all   72.86    0.00    4.52    0.00    0.00    4.27    0.00    0.00    0.00   18.34
11:48:51 AM  all   70.90    0.00    4.23    0.00    0.00    4.23    0.00    0.00    0.00   20.65
11:48:52 AM  all   71.88    0.00    5.13    0.00    0.00    3.42    0.00    0.00    0.00   19.56
11:48:53 AM  all   77.00    0.00    4.65    0.00    0.00    3.10    0.00    0.00    0.00   15.25
11:48:54 AM  all   71.79    0.00    7.30    0.00    0.00    3.78    0.00    0.00    0.00   17.13
11:48:55 AM  all   73.42    0.00    5.06    0.00    0.00    4.56    0.00    0.00    0.00   16.96
11:48:56 AM  all   72.18    0.00    5.76    0.00    0.00    4.51    0.00    0.00    0.00   17.54
11:48:57 AM  all   74.38    0.00    5.17    0.00    0.00    4.19    0.00    0.00    0.00   16.26
11:48:58 AM  all   76.13    0.00    4.27    0.00    0.00    4.27    0.00    0.00    0.00   15.33
11:48:59 AM  all   76.00    0.00    4.75    0.00    0.00    4.25    0.00    0.00    0.00   15.00
11:49:00 AM  all   74.18    0.00    5.57    0.00    0.00    3.80    0.00    0.00    0.00   16.46
11:49:01 AM  all   74.94    0.00    4.47    0.00    0.00    4.22    0.00    0.00    0.00   16.38
11:49:02 AM  all   77.92    0.00    5.46    0.00    0.00    2.98    0.00    0.00    0.00   13.65
11:49:03 AM  all   77.00    0.00    5.75    0.00    0.00    4.00    0.00    0.00    0.00   13.25
11:49:04 AM  all   76.50    0.00    5.00    0.00    0.00    4.00    0.00    0.00    0.00   14.50
11:49:05 AM  all   79.35    0.00    4.03    0.00    0.00    4.79    0.00    0.00    0.00   11.84
11:49:06 AM  all   79.05    0.00    5.24    0.00    0.00    5.24    0.00    0.00    0.00   10.47
11:49:07 AM  all   75.69    0.00    5.01    0.00    0.00    3.26    0.00    0.00    0.00   16.04
11:49:08 AM  all   73.11    0.00    3.42    0.00    0.00    5.13    0.00    0.00    0.00   18.34
11:49:09 AM  all   68.94    0.00    4.29    0.00    0.00    3.54    0.00    0.00    0.00   23.23
11:49:10 AM  all   69.88    0.00    5.43    0.00    0.00    5.19    0.00    0.00    0.00   19.51
11:49:11 AM  all   70.50    0.00    6.00    0.00    0.00    4.25    0.00    0.00    0.00   19.25
11:49:12 AM  all   75.31    0.00    3.24    0.00    0.00    3.74    0.00    0.00    0.00   17.71
11:49:13 AM  all   77.33    0.00    4.28    0.00    0.00    4.79    0.00    0.00    0.00   13.60
11:49:14 AM  all   76.70    0.00    3.16    0.00    0.00    3.88    0.00    0.00    0.00   16.26
11:49:15 AM  all   73.60    0.00    4.06    0.00    0.00    5.08    0.00    0.00    0.00   17.26
11:49:16 AM  all   73.92    0.00    6.08    0.00    0.00    4.05    0.00    0.00    0.00   15.95
11:49:17 AM  all   77.42    0.00    3.47    0.00    0.00    3.97    0.00    0.00    0.00   15.14
11:49:18 AM  all   77.44    0.00    3.51    0.00    0.00    4.51    0.00    0.00    0.00   14.54
11:49:19 AM  all   77.67    0.00    5.21    0.00    0.00    3.72    0.00    0.00    0.00   13.40
11:49:20 AM  all   80.05    0.00    5.63    0.00    0.00    3.07    0.00    0.00    0.00   11.25
11:49:21 AM  all   78.16    0.00    4.96    0.00    0.00    4.22    0.00    0.00    0.00   12.66
11:49:22 AM  all   79.90    0.00    3.77    0.00    0.00    4.77    0.00    0.00    0.00   11.56
11:49:23 AM  all   77.70    0.00    6.13    0.00    0.00    3.92    0.00    0.00    0.00   12.25
11:49:24 AM  all   71.97    0.00    5.56    0.00    0.00    3.28    0.00    0.00    0.00   19.19
11:49:25 AM  all   72.01    0.00    4.58    0.00    0.00    3.31    0.00    0.00    0.00   20.10
11:49:26 AM  all   74.62    0.00    4.82    0.00    0.00    4.57    0.00    0.00    0.00   15.99
11:49:27 AM  all   72.61    0.00    5.53    0.00    0.00    4.52    0.00    0.00    0.00   17.34
11:49:28 AM  all   73.32    0.00    5.99    0.00    0.00    4.24    0.00    0.00    0.00   16.46
11:49:29 AM  all   71.36    0.00    4.35    0.00    0.00    5.12    0.00    0.00    0.00   19.18
11:49:30 AM  all   73.40    0.00    4.86    0.00    0.00    3.58    0.00    0.00    0.00   18.16
11:49:31 AM  all   74.07    0.00    4.44    0.00    0.00    4.69    0.00    0.00    0.00   16.79
11:49:32 AM  all   76.67    0.00    4.47    0.00    0.00    3.97    0.00    0.00    0.00   14.89
11:49:33 AM  all   78.39    0.00    4.52    0.00    0.00    3.02    0.00    0.00    0.00   14.07
11:49:34 AM  all   78.50    0.00    3.75    0.00    0.00    4.50    0.00    0.00    0.00   13.25
11:49:35 AM  all   78.61    0.00    4.48    0.00    0.00    4.98    0.00    0.00    0.00   11.94
11:49:36 AM  all   77.56    0.00    4.74    0.00    0.00    4.49    0.00    0.00    0.00   13.22
11:49:37 AM  all   75.38    0.00    4.57    0.00    0.00    4.06    0.00    0.00    0.00   15.99
11:49:38 AM  all   73.60    0.00    5.33    0.00    0.00    2.28    0.00    0.00    0.00   18.78
11:49:39 AM  all   73.16    0.00    6.08    0.00    0.00    3.80    0.00    0.00    0.00   16.96
11:49:40 AM  all   76.79    0.00    4.44    0.00    0.00    4.94    0.00    0.00    0.00   13.83
11:49:41 AM  all   78.20    0.00    5.51    0.00    0.00    3.76    0.00    0.00    0.00   12.53
11:49:42 AM  all   73.35    0.00    5.84    0.00    0.00    4.57    0.00    0.00    0.00   16.24
11:49:43 AM  all   74.31    0.00    4.49    0.00    0.00    3.74    0.00    0.00    0.00   17.46
11:49:44 AM  all   74.49    0.00    4.04    0.00    0.00    4.29    0.00    0.00    0.00   17.17
11:49:45 AM  all   72.41    0.00    5.57    0.00    0.00    5.06    0.00    0.00    0.00   16.96
11:49:46 AM  all   70.99    0.00    4.33    0.00    0.00    3.82    0.00    0.00    0.00   20.87
11:49:47 AM  all   70.10    0.00    4.12    0.00    0.00    3.09    0.00    0.00    0.00   22.68
11:49:48 AM  all   70.96    0.00    3.79    0.00    0.00    4.29    0.00    0.00    0.00   20.96
11:49:49 AM  all   73.79    0.00    3.82    0.00    0.00    4.58    0.00    0.00    0.00   17.81
11:49:50 AM  all   79.08    0.00    4.85    0.00    0.00    3.57    0.00    0.00    0.00   12.50
11:49:51 AM  all   79.49    0.00    4.87    0.00    0.00    3.85    0.00    0.00    0.00   11.79
11:49:52 AM  all   79.49    0.00    5.82    0.00    0.00    3.54    0.00    0.00    0.00   11.14
11:49:53 AM  all   79.04    0.00    5.56    0.00    0.00    4.29    0.00    0.00    0.00   11.11
11:49:54 AM  all   77.50    0.00    5.00    0.00    0.00    5.00    0.00    0.00    0.00   12.50
11:49:55 AM  all   79.09    0.00    5.29    0.00    0.00    4.28    0.00    0.00    0.00   11.34
11:49:56 AM  all   75.19    0.00    5.06    0.00    0.00    5.06    0.00    0.00    0.00   14.68
11:49:57 AM  all   72.96    0.00    4.59    0.00    0.00    4.59    0.00    0.00    0.00   17.86
11:49:58 AM  all   70.10    0.00    5.03    0.00    0.00    5.03    0.00    0.00    0.00   19.85
11:49:59 AM  all   73.10    0.00    4.82    0.00    0.00    3.30    0.00    0.00    0.00   18.78
11:50:00 AM  all   70.15    0.00    3.83    0.00    0.00    4.85    0.00    0.00    0.00   21.17
11:50:01 AM  all   74.68    0.00    3.58    0.00    0.00    3.84    0.00    0.00    0.00   17.90
11:50:02 AM  all   75.25    0.00    5.00    0.00    0.00    4.25    0.00    0.00    0.00   15.50
11:50:03 AM  all   75.13    0.00    5.03    0.00    0.00    6.03    0.00    0.00    0.00   13.82
11:50:04 AM  all   73.99    0.00    4.80    0.00    0.00    4.29    0.00    0.00    0.00   16.92
11:50:05 AM  all   71.90    0.00    4.30    0.00    0.00    4.05    0.00    0.00    0.00   19.75
11:50:06 AM  all   74.62    0.00    3.77    0.00    0.00    4.02    0.00    0.00    0.00   17.59
11:50:07 AM  all   73.21    0.00    4.08    0.00    0.00    4.59    0.00    0.00    0.00   18.11
11:50:08 AM  all   75.13    0.00    4.31    0.00    0.00    4.57    0.00    0.00    0.00   15.99
11:50:09 AM  all   75.58    0.00    4.42    0.00    0.00    3.38    0.00    0.00    0.00   16.62
11:50:10 AM  all   73.87    0.00    4.77    0.00    0.00    3.27    0.00    0.00    0.00   18.09
11:50:11 AM  all   73.33    0.00    6.92    0.00    0.00    5.13    0.00    0.00    0.00   14.62
11:50:12 AM  all   75.45    0.00    5.17    0.00    0.00    5.17    0.00    0.00    0.00   14.21
11:50:13 AM  all   74.62    0.00    5.84    0.00    0.00    3.81    0.00    0.00    0.00   15.74
11:50:14 AM  all   75.25    0.00    4.70    0.00    0.00    5.20    0.00    0.00    0.00   14.85
11:50:15 AM  all   76.12    0.00    4.98    0.00    0.00    5.22    0.00    0.00    0.00   13.68
11:50:16 AM  all   74.75    0.00    6.57    0.00    0.00    3.28    0.00    0.00    0.00   15.40
11:50:17 AM  all   79.30    0.00    4.49    0.00    0.00    3.24    0.00    0.00    0.00   12.97
11:50:18 AM  all   75.38    0.00    4.62    0.00    0.00    4.10    0.00    0.00    0.00   15.90
11:50:19 AM  all   74.74    0.00    4.08    0.00    0.00    4.08    0.00    0.00    0.00   17.09
11:50:20 AM  all   75.06    0.00    4.03    0.00    0.00    4.03    0.00    0.00    0.00   16.88
11:50:21 AM  all   70.99    0.00    6.11    0.00    0.00    4.58    0.00    0.00    0.00   18.32
11:50:22 AM  all   72.36    0.00    4.02    0.00    0.00    3.52    0.00    0.00    0.00   20.10
11:50:23 AM  all   70.71    0.00    6.06    0.00    0.00    2.53    0.00    0.00    0.00   20.71
