Linux 5.15.0-186-generic (iZl4v9npj0k1gf7mzt23hcZ) 	08/20/2026 	_x86_64_	(4 CPU)

07:40:21 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:40:22 AM  all   26.97    0.00   11.45    0.00    0.00   15.52    0.00    0.00    0.00   46.06
07:40:23 AM  all   23.54    0.00    9.11    0.00    0.00   15.70    0.00    0.00    0.00   51.65
07:40:24 AM  all   22.86    0.00    9.05    0.00    0.00   16.33    0.00    0.00    0.00   51.76
07:40:25 AM  all   23.68    0.00    8.31    0.00    0.00   15.62    0.00    0.00    0.00   52.39
07:40:26 AM  all   24.16    0.00    9.00    0.00    0.00   19.28    0.00    0.00    0.00   47.56
07:40:27 AM  all   22.02    0.00   12.44    0.00    0.00   18.13    0.00    0.00    0.00   47.41
07:40:28 AM  all   21.52    0.00   12.60    0.00    0.00   17.32    0.00    0.00    0.00   48.56
07:40:29 AM  all   21.04    0.00   12.47    0.00    0.00   16.62    0.00    0.00    0.00   49.87
07:40:30 AM  all   22.11    0.00   12.63    0.00    0.00   15.00    0.00    0.00    0.00   50.26
07:40:31 AM  all   21.04    0.00   11.69    0.00    0.00   16.36    0.00    0.00    0.00   50.91
07:40:32 AM  all   28.10    0.00   10.63    0.00    0.00   15.70    0.00    0.00    0.00   45.57
07:40:33 AM  all   19.74    0.00    8.72    0.00    0.00   17.69    0.00    0.00    0.00   53.85
07:40:34 AM  all   22.96    0.00    8.16    0.00    0.00   16.84    0.00    0.00    0.00   52.04
07:40:35 AM  all   20.57    0.00   11.20    0.00    0.00   18.23    0.00    0.00    0.00   50.00
07:40:36 AM  all   22.77    0.00   12.62    0.00    0.00   18.32    0.00    0.00    0.00   46.29
07:40:37 AM  all   21.99    0.00   11.76    0.00    0.00   17.65    0.00    0.00    0.00   48.59
07:40:38 AM  all   21.94    0.00   12.24    0.00    0.00   15.31    0.00    0.00    0.00   50.51
07:40:39 AM  all   21.91    0.00   12.63    0.00    0.00   14.95    0.00    0.00    0.00   50.52
07:40:40 AM  all   22.88    0.00   10.54    0.00    0.00   16.20    0.00    0.00    0.00   50.39
07:40:41 AM  all   21.09    0.00   11.20    0.00    0.00   16.15    0.00    0.00    0.00   51.56
07:40:42 AM  all   25.58    0.00    9.97    0.00    0.00   18.16    0.00    0.00    0.00   46.29
07:40:43 AM  all   22.56    0.00    9.52    0.00    0.00   18.30    0.00    0.00    0.00   49.62
07:40:44 AM  all   22.75    0.00   11.50    0.00    0.00   19.25    0.00    0.00    0.00   46.50
07:40:45 AM  all   21.67    0.00   11.49    0.00    0.00   16.45    0.00    0.00    0.00   50.39
