Linux 5.15.0-186-generic (iZl4v9npj0k1gf7mzt23hcZ) 	08/20/2026 	_x86_64_	(4 CPU)

08:10:21 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:10:22 AM  all   32.48    0.00   24.30    0.26    0.00   16.62    0.00    0.00    0.00   26.34
08:10:23 AM  all   26.92    0.00   16.15    0.00    0.00   26.67    0.00    0.00    0.00   30.26
08:10:24 AM  all   27.92    0.00   17.26    0.00    0.00   25.89    0.00    0.00    0.00   28.93
08:10:25 AM  all   28.35    0.00   17.78    0.00    0.00   24.23    0.00    0.00    0.00   29.64
08:10:26 AM  all   30.95    0.00   15.61    0.00    0.00   22.49    0.00    0.00    0.00   30.95
08:10:27 AM  all   29.47    0.00   17.89    0.00    0.00   21.84    0.00    0.00    0.00   30.79
08:10:28 AM  all   28.53    0.00   17.02    0.00    0.00   23.56    0.00    0.00    0.00   30.89
08:10:29 AM  all   29.35    0.00   16.36    0.00    0.00   24.68    0.00    0.00    0.00   29.61
08:10:30 AM  all   29.49    0.00   15.01    0.00    0.00   24.13    0.00    0.00    0.00   31.37
08:10:31 AM  all   24.86    0.00   18.31    0.00    0.00   24.04    0.00    0.00    0.00   32.79
08:10:32 AM  all   26.39    0.00   17.94    0.00    0.00   23.22    0.00    0.00    0.00   32.45
08:10:33 AM  all   27.94    0.00   16.71    0.00    0.00   23.76    0.00    0.00    0.00   31.59
08:10:34 AM  all   29.23    0.00   16.39    0.00    0.00   21.58    0.00    0.00    0.00   32.79
08:10:35 AM  all   29.19    0.00   16.22    0.00    0.00   21.89    0.00    0.00    0.00   32.70
08:10:36 AM  all   29.19    0.00   15.68    0.00    0.00   22.43    0.00    0.00    0.00   32.70
08:10:37 AM  all   27.78    0.00   16.93    0.00    0.00   22.49    0.00    0.00    0.00   32.80
08:10:38 AM  all   25.84    0.00   15.76    0.00    0.00   26.10    0.00    0.00    0.00   32.30
08:10:39 AM  all   28.34    0.00   18.72    0.00    0.00   20.32    0.00    0.00    0.00   32.62
08:10:40 AM  all   26.26    0.00   16.45    0.00    0.00   24.14    0.00    0.00    0.00   33.16
08:10:41 AM  all   28.17    0.00   18.02    0.00    0.00   21.57    0.00    0.00    0.00   32.23
08:10:42 AM  all   28.91    0.00   16.67    0.00    0.00   21.61    0.00    0.00    0.00   32.81
08:10:43 AM  all   28.64    0.00   16.37    0.00    0.00   22.51    0.00    0.00    0.00   32.48
08:10:44 AM  all   29.01    0.00   16.54    0.00    0.00   21.63    0.00    0.00    0.00   32.82
08:10:45 AM  all   29.63    0.00   16.40    0.00    0.00   20.37    0.00    0.00    0.00   33.60
08:10:46 AM  all   29.40    0.00   16.08    0.00    0.00   21.61    0.00    0.00    0.00   32.91
08:10:47 AM  all   26.15    0.00   14.29    0.00    0.00   19.95    0.00    0.00    0.00   39.62
08:10:48 AM  all   26.03    0.00   16.24    0.00    0.00   17.78    0.00    0.00    0.00   39.95
08:10:49 AM  all   25.86    0.00   13.98    0.00    0.00   19.26    0.00    0.00    0.00   40.90
08:10:50 AM  all   26.36    0.00   16.02    0.00    0.00   17.57    0.00    0.00    0.00   40.05
08:10:51 AM  all   27.46    0.00   16.84    0.00    0.00   20.98    0.00    0.00    0.00   34.72
08:10:52 AM  all   27.84    0.00   16.49    0.00    0.00   22.43    0.00    0.00    0.00   33.24
08:10:53 AM  all   27.90    0.00   17.04    0.00    0.00   24.94    0.00    0.00    0.00   30.12
08:10:54 AM  all   30.08    0.00   17.04    0.00    0.00   22.56    0.00    0.00    0.00   30.33
08:10:55 AM  all   28.34    0.00   14.17    0.00    0.00   22.99    0.00    0.00    0.00   34.49
08:10:56 AM  all   28.39    0.00   18.16    0.00    0.00   20.97    0.00    0.00    0.00   32.48
08:10:57 AM  all   26.77    0.00   17.06    0.00    0.00   22.83    0.00    0.00    0.00   33.33
08:10:58 AM  all   26.82    0.00   17.45    0.00    0.00   21.88    0.00    0.00    0.00   33.85
08:10:59 AM  all   26.15    0.00   14.62    0.00    0.00   20.77    0.00    0.00    0.00   38.46
08:11:00 AM  all   27.79    0.00   19.48    0.00    0.00   20.26    0.00    0.00    0.00   32.47
08:11:01 AM  all   26.85    0.00   13.81    0.00    0.00   20.97    0.00    0.00    0.00   38.36
08:11:02 AM  all   28.75    0.00   15.52    0.00    0.00   22.14    0.00    0.00    0.00   33.59
08:11:03 AM  all   25.96    0.00   14.40    0.00    0.00   21.85    0.00    0.00    0.00   37.79
08:11:04 AM  all   27.23    0.00   17.02    0.00    0.00   22.51    0.00    0.00    0.00   33.25
08:11:05 AM  all   24.87    0.00   15.87    0.00    0.00   20.37    0.00    0.00    0.00   38.89
08:11:06 AM  all   29.09    0.00   16.36    0.00    0.00   21.04    0.00    0.00    0.00   33.51
08:11:07 AM  all   25.32    0.00   14.73    0.00    0.00   20.67    0.00    0.00    0.00   39.28
08:11:08 AM  all   29.97    0.00   14.73    0.00    0.00   21.96    0.00    0.00    0.00   33.33
08:11:09 AM  all   26.41    0.00   13.85    0.00    0.00   19.74    0.00    0.00    0.00   40.00
08:11:10 AM  all   27.23    0.00   13.99    0.00    0.00   17.81    0.00    0.00    0.00   40.97
08:11:11 AM  all   25.69    0.00   11.97    0.00    0.00   16.21    0.00    0.00    0.00   46.13
08:11:12 AM  all   23.79    0.00   14.07    0.00    0.00   19.95    0.00    0.00    0.00   42.20
08:11:13 AM  all   24.02    0.00   15.14    0.00    0.00   18.80    0.00    0.00    0.00   42.04
08:11:14 AM  all   28.72    0.00   14.86    0.00    0.00   23.17    0.00    0.00    0.00   33.25
08:11:15 AM  all   30.03    0.00   16.03    0.00    0.00   21.63    0.00    0.00    0.00   32.32
08:11:16 AM  all   29.11    0.00   13.75    0.00    0.00   22.64    0.00    0.00    0.00   34.50
08:11:17 AM  all   26.98    0.00   16.93    0.00    0.00   22.22    0.00    0.00    0.00   33.86
08:11:18 AM  all   29.43    0.00   15.10    0.00    0.00   21.61    0.00    0.00    0.00   33.85
08:11:19 AM  all   27.68    0.00   18.02    0.00    0.00   21.15    0.00    0.00    0.00   33.16
08:11:20 AM  all   27.59    0.00   15.65    0.00    0.00   22.81    0.00    0.00    0.00   33.95
08:11:21 AM  all   24.74    0.00   13.16    0.00    0.00   22.11    0.00    0.00    0.00   40.00
08:11:22 AM  all   27.13    0.00   15.96    0.00    0.00   22.34    0.00    0.00    0.00   34.57
08:11:23 AM  all   25.95    0.00   13.74    0.00    0.00   21.12    0.00    0.00    0.00   39.19
08:11:24 AM  all   29.90    0.00   16.24    0.00    0.00   20.36    0.00    0.00    0.00   33.51
08:11:25 AM  all   28.24    0.00   16.84    0.00    0.00   22.02    0.00    0.00    0.00   32.90
08:11:26 AM  all   24.87    0.00   15.34    0.00    0.00   20.37    0.00    0.00    0.00   39.42
08:11:27 AM  all   29.38    0.00   15.98    0.00    0.00   21.65    0.00    0.00    0.00   32.99
08:11:28 AM  all   28.12    0.00   15.12    0.00    0.00   22.28    0.00    0.00    0.00   34.48
08:11:29 AM  all   19.09    0.00   11.93    0.00    0.00   30.79    0.00    0.00    0.00   38.19
08:11:30 AM  all   23.01    0.00   16.63    0.00    0.00   23.92    0.00    0.00    0.00   36.45
08:11:31 AM  all   27.36    0.00   15.63    0.00    0.00   19.08    0.00    0.00    0.00   37.93
08:11:32 AM  all   27.93    0.00   15.21    0.00    0.00   16.71    0.00    0.00    0.00   40.15
08:11:33 AM  all   30.42    0.00   16.21    0.00    0.00   19.95    0.00    0.00    0.00   33.42
08:11:34 AM  all   29.57    0.00   19.05    0.00    0.00   19.30    0.00    0.00    0.00   32.08
08:11:35 AM  all   31.47    0.00   16.75    0.00    0.00   21.83    0.00    0.00    0.00   29.95
08:11:36 AM  all   28.57    0.00   18.37    0.00    0.00   21.43    0.00    0.00    0.00   31.63
08:11:37 AM  all   29.15    0.00   16.58    0.00    0.00   21.61    0.00    0.00    0.00   32.66
08:11:38 AM  all   28.68    0.00   17.26    0.00    0.00   21.32    0.00    0.00    0.00   32.74
08:11:39 AM  all   30.40    0.00   15.83    0.00    0.00   20.85    0.00    0.00    0.00   32.91
08:11:40 AM  all   27.08    0.00   15.10    0.00    0.00   23.96    0.00    0.00    0.00   33.85
08:11:41 AM  all   27.30    0.00   17.86    0.00    0.00   22.19    0.00    0.00    0.00   32.65
08:11:42 AM  all   25.39    0.00   17.10    0.00    0.00   22.54    0.00    0.00    0.00   34.97
08:11:43 AM  all   26.11    0.00   17.23    0.00    0.00   21.93    0.00    0.00    0.00   34.73
08:11:44 AM  all   26.08    0.00   18.23    0.00    0.00   23.29    0.00    0.00    0.00   32.41
08:11:45 AM  all   24.53    0.00   15.36    0.00    0.00   18.60    0.00    0.00    0.00   41.51
08:11:46 AM  all   28.11    0.00   17.16    0.00    0.00   20.90    0.00    0.00    0.00   33.83
08:11:47 AM  all   25.45    0.00   15.68    0.00    0.00   19.54    0.00    0.00    0.00   39.33
08:11:48 AM  all   29.69    0.00   15.36    0.00    0.00   20.57    0.00    0.00    0.00   34.38
08:11:49 AM  all   25.98    0.00   14.44    0.00    0.00   19.16    0.00    0.00    0.00   40.42
08:11:50 AM  all   28.83    0.00   16.07    0.00    0.00   21.17    0.00    0.00    0.00   33.93
08:11:51 AM  all   25.52    0.00   14.84    0.00    0.00   19.53    0.00    0.00    0.00   40.10
08:11:52 AM  all   29.15    0.00   17.34    0.00    0.00   20.60    0.00    0.00    0.00   32.91
08:11:53 AM  all   24.93    0.00   19.95    0.00    0.00   21.78    0.00    0.00    0.00   33.33
08:11:54 AM  all   29.06    0.00   15.97    0.00    0.00   20.94    0.00    0.00    0.00   34.03
08:11:55 AM  all   28.61    0.00   15.72    0.00    0.00   22.42    0.00    0.00    0.00   33.25
08:11:56 AM  all   30.41    0.00   15.98    0.00    0.00   19.33    0.00    0.00    0.00   34.28
08:11:57 AM  all   30.15    0.00   15.98    0.00    0.00   20.88    0.00    0.00    0.00   32.99
08:11:58 AM  all   26.08    0.00   13.98    0.00    0.00   19.09    0.00    0.00    0.00   40.86
08:11:59 AM  all   28.64    0.00   18.67    0.00    0.00   19.69    0.00    0.00    0.00   32.99
08:12:00 AM  all   24.80    0.00   15.04    0.00    0.00   20.32    0.00    0.00    0.00   39.84
08:12:01 AM  all   28.72    0.00   17.49    0.00    0.00   19.06    0.00    0.00    0.00   34.73
08:12:02 AM  all   25.06    0.00   16.28    0.00    0.00   19.38    0.00    0.00    0.00   39.28
08:12:03 AM  all   27.69    0.00   14.87    0.00    0.00   23.08    0.00    0.00    0.00   34.36
08:12:04 AM  all   26.03    0.00   14.95    0.00    0.00   19.59    0.00    0.00    0.00   39.43
08:12:05 AM  all   26.46    0.00   17.56    0.00    0.00   22.39    0.00    0.00    0.00   33.59
08:12:06 AM  all   22.55    0.00   15.92    0.00    0.00   20.42    0.00    0.00    0.00   41.11
08:12:07 AM  all   23.62    0.00   14.44    0.00    0.00   20.21    0.00    0.00    0.00   41.73
08:12:08 AM  all   23.18    0.00   14.58    0.00    0.00   19.79    0.00    0.00    0.00   42.45
08:12:09 AM  all   27.91    0.00   17.31    0.00    0.00   19.90    0.00    0.00    0.00   34.88
08:12:10 AM  all   30.29    0.00   13.84    0.00    0.00   21.93    0.00    0.00    0.00   33.94
08:12:11 AM  all   27.65    0.00   18.09    0.00    0.00   19.90    0.00    0.00    0.00   34.37
08:12:12 AM  all   28.49    0.00   16.94    0.00    0.00   20.97    0.00    0.00    0.00   33.60
08:12:13 AM  all   29.82    0.00   14.65    0.00    0.00   23.65    0.00    0.00    0.00   31.88
08:12:14 AM  all   26.33    0.00   19.15    0.00    0.00   21.28    0.00    0.00    0.00   33.24
08:12:15 AM  all   29.47    0.00   18.64    0.00    0.00   19.90    0.00    0.00    0.00   31.99
08:12:16 AM  all   27.23    0.00   18.59    0.00    0.00   21.73    0.00    0.00    0.00   32.46
08:12:17 AM  all   26.75    0.00   13.77    0.00    0.00   22.08    0.00    0.00    0.00   37.40
08:12:18 AM  all   28.79    0.00   15.94    0.00    0.00   22.37    0.00    0.00    0.00   32.90
08:12:19 AM  all   28.42    0.00   15.25    0.00    0.00   20.67    0.00    0.00    0.00   35.66
08:12:20 AM  all   26.29    0.00   13.92    0.00    0.00   18.30    0.00    0.00    0.00   41.49
08:12:21 AM  all   21.94    0.00   10.97    0.00    0.00   15.05    0.00    0.00    0.00   52.04
08:12:22 AM  all   19.60    0.00   10.80    0.00    0.00   16.08    0.00    0.00    0.00   53.52
08:12:23 AM  all   20.88    0.00    9.79    0.00    0.00   14.69    0.00    0.00    0.00   54.64
08:12:24 AM  all   24.11    0.00   11.93    0.00    0.00   18.27    0.00    0.00    0.00   45.69
08:12:25 AM  all   24.17    0.00   13.49    0.00    0.00   18.32    0.00    0.00    0.00   44.02
08:12:26 AM  all   22.61    0.00   13.32    0.00    0.00   17.09    0.00    0.00    0.00   46.98
