run_id,timestamp_utc,provider,region,paradigm,workload,rep,concurrency,tool,block_size,dataset_size_gb,warmup_s,duration_s,read_throughput_mbps,write_throughput_mbps,total_throughput_mbps,read_iops,write_iops,total_iops,lat_mean_ms,lat_p95_ms,lat_p99_ms,metadata_ops_per_s,cpu_util_pct,raw_artifact_path,raw_sha256
aws-file-largeobj-c04-r2,2026-08-15T13:07:41.668106+00:00,aws,af-south-1,file,largeobj,2,4,elbencho,16m,40,60,900,500.0,,500.0,31.0,,31.0,127.156,,131.072,,1.6,results-sweep/raw/aws-file-largeobj-c04-r2.elbencho.csv,fd41ee31184956a58578b84c01c179c990839c519a2e54cadb8b18de3966e087
aws-file-largeobj-c64-r2,2026-08-15T13:27:32.733441+00:00,aws,af-south-1,file,largeobj,2,64,elbencho,16m,40,60,900,123.0,,123.0,7.0,,7.0,8025.354,,11863.283,,97.0,results-sweep/raw/aws-file-largeobj-c64-r2.elbencho.csv,7108a077ade957615cf10347d118a8250d2371cc8957ed98f0c2226d4688343c
aws-block-largeobj-c16-r3,2026-08-15T13:41:37.292821+00:00,aws,af-south-1,block,largeobj,3,16,elbencho,16m,40,60,900,124.0,,124.0,7.0,,7.0,2020.962,,3526.975,,96.9,results-sweep/raw/aws-block-largeobj-c16-r3.elbencho.csv,70d48094af50f81749776506b79236ff666b6b159a0b1314c5f73d59e5a10a3e
aws-object-largeobj-c16-r1,2026-08-15T13:44:54.663048+00:00,aws,af-south-1,object,largeobj,1,16,elbencho,16m,40,60,900,955.0,,955.0,59.0,,59.0,271.957,,23911.93,,80.8,results-sweep/raw/aws-object-largeobj-c16-r1.elbencho.csv,4d1f21830766da01f0083ca47163d80847ac87498577a50a4002d9572bfa90eb
aws-file-balanced-c04-r2,2026-08-15T13:59:15.770772+00:00,aws,af-south-1,file,balanced,2,4,elbencho,64k,20,60,900,125.0,125.0,250.0,2003.0,2003.0,4006.0,1.996,,2.666,,55.5,results-sweep/raw/aws-file-balanced-c04-r2.elbencho.csv,3fe05e6dd613e3929e070549e367afbce7fb2bbf46f820bed7237a036c0e9b2a
aws-file-balanced-c64-r2,2026-08-15T14:13:36.890300+00:00,aws,af-south-1,file,balanced,2,64,elbencho,64k,20,60,900,125.0,125.0,250.0,2003.0,2003.0,4006.0,31.863,,71.736,,97.1,results-sweep/raw/aws-file-balanced-c64-r2.elbencho.csv,9dea71a74cf3c5aa0a28e901ffd63d224f3e42d827259a3d6452dccd501a57f1
aws-block-balanced-c01-r1,2026-08-15T14:28:36.184947+00:00,aws,af-south-1,block,balanced,1,1,elbencho,64k,20,60,900,80.0,43.0,123.0,1281.0,703.0,1984.0,1.1,,1.373,,24.5,results-sweep/raw/aws-block-balanced-c01-r1.elbencho.csv,9eab9a062f3a64082ece09b08d61c2c46c686db748d27026ba137d542c996a92
aws-object-balanced-c64-r1,2026-08-15T14:40:16.128180+00:00,aws,af-south-1,object,balanced,1,64,elbencho,64k,20,60,900,162.0,149.0,311.0,2605.0,2387.0,4992.0,25.672,,39.554,,47.6,results-sweep/raw/aws-object-balanced-c64-r1.elbencho.csv,cc48d09e5873df594fdf1b3f2658574c51c21d48049183ef6f5a5ce8ec272c3c
aws-block-largeobj-c64-r2,2026-08-15T14:54:24.201439+00:00,aws,af-south-1,block,largeobj,2,64,elbencho,16m,40,60,900,123.0,,123.0,7.0,,7.0,8036.078,,14107.901,,97.0,results-sweep/raw/aws-block-largeobj-c64-r2.elbencho.csv,7ed77635414d3995f182a8414d0edf04cf7d0e8ce5fc32d28153ecf11ce6654e
aws-block-largeobj-c01-r2,2026-08-15T15:08:30.377385+00:00,aws,af-south-1,block,largeobj,2,1,elbencho,16m,40,60,900,125.0,,125.0,7.0,,7.0,127.785,,131.072,,24.3,results-sweep/raw/aws-block-largeobj-c01-r2.elbencho.csv,091cffa4a9342ae72226c06a4facd77e21f231b685bcec662d78273787fc4283
aws-object-balanced-c16-r3,2026-08-15T15:33:18.218879+00:00,aws,af-south-1,object,balanced,3,16,elbencho,64k,20,60,900,38.0,39.0,77.0,615.0,634.0,1249.0,25.596,,50.725,,10.0,results-sweep/raw/aws-object-balanced-c16-r3.elbencho.csv,a6769a69bc60dd52afc40f04b41c2d339f0ba741966e20e2c74345261fbb1d89
aws-object-balanced-c01-r2,2026-08-17T18:35:11.224328+00:00,aws,af-south-1,object,balanced,2,1,elbencho,64k,20,60,900,2.0,2.0,4.0,41.0,39.0,80.0,24.741,,42.654,,0.6,results-sweep/raw/aws-object-balanced-c01-r2.elbencho.csv,15d6e115cf4476c868e68111119a71f3a80a08c9219009fe5a785ef742f8473a
aws-file-largeobj-c16-r2,2026-08-15T16:02:29.789897+00:00,aws,af-south-1,file,largeobj,2,16,elbencho,16m,40,60,900,500.0,,500.0,31.0,,31.0,509.214,,524.288,,1.1,results-sweep/raw/aws-file-largeobj-c16-r2.elbencho.csv,0396e33c883bf9824ba501f850747c3f41487a19b526e545b0581510bffd4653
aws-block-largeobj-c04-r1,2026-08-15T16:16:34.104970+00:00,aws,af-south-1,block,largeobj,1,4,elbencho,16m,40,60,900,125.0,,125.0,7.0,,7.0,502.666,,741.455,,95.2,results-sweep/raw/aws-block-largeobj-c04-r1.elbencho.csv,3d0b14e77193e5e0cbff75fbed8d22e20f4e33a1a622e8072c94e3c9d9dd0d09
aws-object-balanced-c04-r3,2026-08-17T18:57:40.811330+00:00,aws,af-south-1,object,balanced,3,4,elbencho,64k,20,60,900,8.0,10.0,18.0,129.0,163.0,292.0,27.733,,52.252,,2.3,results-sweep/raw/aws-object-balanced-c04-r3.elbencho.csv,25937276bb43f07006766474cfccf5434b694eb30f4adac0033af68945d0bcad
aws-object-largeobj-c16-r3,2026-08-15T16:44:50.696990+00:00,aws,af-south-1,object,largeobj,3,16,elbencho,16m,40,60,900,856.0,,856.0,53.0,,53.0,280.057,,28436.237,,79.6,results-sweep/raw/aws-object-largeobj-c16-r3.elbencho.csv,3b1ed3a23b99a1d6d1045930185b260880f3009f13fcd0ef54919c3ad503d8cd
aws-file-largeobj-c64-r1,2026-08-15T16:51:23.747237+00:00,aws,af-south-1,file,largeobj,1,64,elbencho,16m,40,60,900,501.0,,501.0,31.0,,31.0,2012.965,,2097.152,,1.3,results-sweep/raw/aws-file-largeobj-c64-r1.elbencho.csv,39b3a963100df13be2a572ce916106b329933a9252cdc14251d933b7a3acb034
aws-block-largeobj-c01-r3,2026-08-15T17:05:27.658173+00:00,aws,af-south-1,block,largeobj,3,1,elbencho,16m,40,60,900,125.0,,125.0,7.0,,7.0,127.785,,131.072,,24.2,results-sweep/raw/aws-block-largeobj-c01-r3.elbencho.csv,1d97983785ce7ec08c0a9ed3b5b079802aa6514bf53c0a434ef26e9f84807488
aws-block-largeobj-c64-r1,2026-08-15T17:19:35.862668+00:00,aws,af-south-1,block,largeobj,1,64,elbencho,16m,40,60,900,123.0,,123.0,7.0,,7.0,8056.296,,11863.283,,97.0,results-sweep/raw/aws-block-largeobj-c64-r1.elbencho.csv,b3a1fac478dc710fb45a33d1acdf85b4a1c7da091371d4b850b81a6acf318cdc
aws-file-balanced-c04-r3,2026-08-15T17:33:57.011584+00:00,aws,af-south-1,file,balanced,3,4,elbencho,64k,20,60,900,125.0,125.0,250.0,2003.0,2003.0,4006.0,1.996,,2.666,,56.0,results-sweep/raw/aws-file-balanced-c04-r3.elbencho.csv,e08629ac67484f7f7dad67c03224963d3d8cf32ed81d0268b368818ac646b6e6
aws-object-largeobj-c64-r1,2026-08-15T17:37:10.724732+00:00,aws,af-south-1,object,largeobj,1,64,elbencho,16m,40,60,900,1004.0,,1004.0,62.0,,62.0,985.759,,24468.021,,80.6,results-sweep/raw/aws-object-largeobj-c64-r1.elbencho.csv,11d0a0508e13d44f1fdadadd129a0f5928d4fccab101ec157e89b42d54fcbb3f
aws-object-largeobj-c04-r3,2026-08-15T17:43:47.384784+00:00,aws,af-south-1,object,largeobj,3,4,elbencho,16m,40,60,900,374.0,,374.0,23.0,,23.0,170.815,,56524.285,,29.9,results-sweep/raw/aws-object-largeobj-c04-r3.elbencho.csv,1a9a38330a012fe9386c778f339a206a79fe2ebfbd8d1a01a464a9d72eef208a
aws-block-largeobj-c16-r2,2026-08-15T17:57:51.403199+00:00,aws,af-south-1,block,largeobj,2,16,elbencho,16m,40,60,900,124.0,,124.0,7.0,,7.0,2028.342,,3526.975,,96.9,results-sweep/raw/aws-block-largeobj-c16-r2.elbencho.csv,49a6c78843843987acdda423ebc150ce6bd12a984cc9fef03d76b4c36bfa3174
aws-block-largeobj-c04-r2,2026-08-15T18:11:54.605979+00:00,aws,af-south-1,block,largeobj,2,4,elbencho,16m,40,60,900,125.0,,125.0,7.0,,7.0,496.259,,741.455,,90.4,results-sweep/raw/aws-block-largeobj-c04-r2.elbencho.csv,d5df9b9b18a5299acf47654aa2e3cbfb985bbfe52f4a88016dc6349e3a2f2232
aws-object-largeobj-c04-r2,2026-08-15T18:18:28.328556+00:00,aws,af-south-1,object,largeobj,2,4,elbencho,16m,40,60,900,374.0,,374.0,23.0,,23.0,170.708,,56524.285,,28.9,results-sweep/raw/aws-object-largeobj-c04-r2.elbencho.csv,88ff99e8d3d2312bf7436e7f1757869bf88805cdbe908197cbf3e11a771f4122
aws-file-largeobj-c16-r1,2026-08-15T18:38:16.948706+00:00,aws,af-south-1,file,largeobj,1,16,elbencho,16m,40,60,900,124.0,,124.0,7.0,,7.0,2023.06,,3526.975,,96.9,results-sweep/raw/aws-file-largeobj-c16-r1.elbencho.csv,afa7ab7e3621ea73e2b5e0075a7239aa1b6a253dc98665dd4d6873c6f2be2159
aws-object-largeobj-c16-r2,2026-08-15T18:41:46.888022+00:00,aws,af-south-1,object,largeobj,2,16,elbencho,16m,40,60,900,916.0,,916.0,57.0,,57.0,285.445,,23911.93,,80.9,results-sweep/raw/aws-object-largeobj-c16-r2.elbencho.csv,96ed0fd0508b3feb7de050ccddba6c73b1bfd83b8004c8caaa63b13946d5b8f5
aws-block-balanced-c04-r3,2026-08-15T18:54:14.859918+00:00,aws,af-south-1,block,balanced,3,4,elbencho,64k,20,60,900,125.0,50.0,175.0,2015.0,807.0,2822.0,3.452,,6.088,,37.8,results-sweep/raw/aws-block-balanced-c04-r3.elbencho.csv,2147e2087ce44b6fcf6ec5a346f6b56f91b1a0444a98d265aa216fb024e1a908
aws-file-balanced-c01-r3,2026-08-15T19:15:08.641413+00:00,aws,af-south-1,file,balanced,3,1,elbencho,64k,20,60,900,80.0,44.0,124.0,1282.0,706.0,1988.0,1.097,,1.585,,24.5,results-sweep/raw/aws-file-balanced-c01-r3.elbencho.csv,604f8d8f35a8ebeae376f56cdf269d9c40c615613f08706661ccc1e018efbe55
aws-block-balanced-c01-r2,2026-08-15T19:30:08.412606+00:00,aws,af-south-1,block,balanced,2,1,elbencho,64k,20,60,900,80.0,43.0,123.0,1280.0,703.0,1983.0,1.101,,1.373,,24.5,results-sweep/raw/aws-block-balanced-c01-r2.elbencho.csv,08efac1729f3835bd6362b2074e1316f2ab2df117ef02ab81063e7f7311d5251
aws-file-balanced-c16-r1,2026-08-15T19:44:29.795881+00:00,aws,af-south-1,file,balanced,1,16,elbencho,64k,20,60,900,125.0,125.0,250.0,2008.0,2003.0,4011.0,7.91,,11.585,,86.8,results-sweep/raw/aws-file-balanced-c16-r1.elbencho.csv,3507215d7c6cbe24e21f5a4aaf66821231b30f936f03e97356c2c8a9e9fb61ba
aws-file-largeobj-c01-r2,2026-08-15T19:54:34.119297+00:00,aws,af-south-1,file,largeobj,2,1,elbencho,16m,40,60,900,500.0,,500.0,31.0,,31.0,31.803,,32.768,,3.9,results-sweep/raw/aws-file-largeobj-c01-r2.elbencho.csv,079b7e353a3a7331f8eb0c49a45993329e1f290468f677b21287254d1a29adc0
aws-file-balanced-c64-r1,2026-08-15T20:08:55.211020+00:00,aws,af-south-1,file,balanced,1,64,elbencho,64k,20,60,900,125.0,125.0,250.0,2003.0,2003.0,4006.0,31.873,,71.736,,97.1,results-sweep/raw/aws-file-balanced-c64-r1.elbencho.csv,7b8aabce892357ee1e45cdbae2de40f4cb33b1a8d8abb2cfa70fa19f5b8b87ba
aws-object-balanced-c04-r1,2026-08-18T19:45:27.278032+00:00,aws,af-south-1,object,balanced,1,4,elbencho,64k,20,60,2400,7.0,10.0,17.0,115.0,165.0,280.0,28.079,,52.252,,2.0,results-sweep/raw/aws-object-balanced-c04-r1.elbencho.csv,e9c6a5b216bdc78bded512cc1fa09dadcf440255d3a39118ef084c6f63395c2e
aws-object-largeobj-c64-r3,2026-08-15T20:37:08.720606+00:00,aws,af-south-1,object,largeobj,3,64,elbencho,16m,40,60,900,988.0,,988.0,60.0,,60.0,1096.978,,24608.31,,81.0,results-sweep/raw/aws-object-largeobj-c64-r3.elbencho.csv,400553c6b3f32c979e683888479d5f21d53e52cef789e030962ce6686b4eddff
aws-file-largeobj-c04-r3,2026-08-15T20:56:56.326997+00:00,aws,af-south-1,file,largeobj,3,4,elbencho,16m,40,60,900,125.0,,125.0,7.0,,7.0,504.566,,741.455,,90.2,results-sweep/raw/aws-file-largeobj-c04-r3.elbencho.csv,c89021a217e7867dd71b85aa47f2a8dd6acb28ceead9f4ea6ab949e517c9b407
aws-object-balanced-c04-r2,2026-08-18T20:05:40.247384+00:00,aws,af-south-1,object,balanced,2,4,elbencho,64k,20,60,2400,10.0,10.0,20.0,164.0,160.0,324.0,24.946,,42.654,,2.4,results-sweep/raw/aws-object-balanced-c04-r2.elbencho.csv,c4ba8456de79e462ffaa02dad866534c79d09141a0a7b4da9275f1c16886d709
aws-object-largeobj-c01-r1,2026-08-15T21:41:17.197420+00:00,aws,af-south-1,object,largeobj,1,1,elbencho,16m,40,60,900,93.0,,93.0,5.0,,5.0,170.636,,185.364,,5.0,results-sweep/raw/aws-object-largeobj-c01-r1.elbencho.csv,ffbb79cb09c39736196c98f75162fe24c56538fd69ea352a1fa77dcf146ea122
aws-block-largeobj-c04-r3,2026-08-15T21:55:20.512286+00:00,aws,af-south-1,block,largeobj,3,4,elbencho,16m,40,60,900,125.0,,125.0,7.0,,7.0,507.393,,741.455,,91.4,results-sweep/raw/aws-block-largeobj-c04-r3.elbencho.csv,74ec14583771277dde2b83f5ef43fe41fe96cde1b612c6a4835929211840d072
aws-file-largeobj-c16-r3,2026-08-15T22:01:54.265282+00:00,aws,af-south-1,file,largeobj,3,16,elbencho,16m,40,60,900,500.0,,500.0,31.0,,31.0,509.225,,524.288,,1.1,results-sweep/raw/aws-file-largeobj-c16-r3.elbencho.csv,1ce27228117cd593db979793c8b2e749423382f95e0fa69374eb9659d875b870
aws-file-largeobj-c01-r3,2026-08-15T22:21:41.767658+00:00,aws,af-south-1,file,largeobj,3,1,elbencho,16m,40,60,900,125.0,,125.0,7.0,,7.0,127.796,,131.072,,24.6,results-sweep/raw/aws-file-largeobj-c01-r3.elbencho.csv,e07c4ee92449d2f16b732578b2537422e87706d4210eb3e4e3b737c7272332ba
aws-object-balanced-c16-r2,2026-08-15T22:46:19.868737+00:00,aws,af-south-1,object,balanced,2,16,elbencho,64k,20,60,900,39.0,39.0,78.0,628.0,626.0,1254.0,25.492,,46.341,,10.1,results-sweep/raw/aws-object-balanced-c16-r2.elbencho.csv,ee6deb73b111f5a1db411063329945aa66e09d71b1adc779fdb09f60096e721e
aws-block-balanced-c16-r3,2026-08-15T22:58:47.268190+00:00,aws,af-south-1,block,balanced,3,16,elbencho,64k,20,60,900,125.0,51.0,176.0,2015.0,821.0,2836.0,13.777,,25.276,,49.5,results-sweep/raw/aws-block-balanced-c16-r3.elbencho.csv,7a5ffc8cf6b9cc0fc694f19d670cfc017cb231fa059e6357298f247589421a49
aws-file-balanced-c16-r2,2026-08-15T23:13:08.409280+00:00,aws,af-south-1,file,balanced,2,16,elbencho,64k,20,60,900,125.0,125.0,250.0,2008.0,2003.0,4011.0,7.913,,12.681,,89.7,results-sweep/raw/aws-file-balanced-c16-r2.elbencho.csv,a6eb0e5d0bad6490b8fab10d35febc940945ad6f92615090e5f9c3c85e91f5d8
aws-object-largeobj-c01-r3,2026-08-15T23:32:29.861139+00:00,aws,af-south-1,object,largeobj,3,1,elbencho,16m,40,60,900,93.0,,93.0,5.0,,5.0,170.926,,185.364,,4.8,results-sweep/raw/aws-object-largeobj-c01-r3.elbencho.csv,0ec8ddaa2cad74f5a891ac1b351d716033e2e57edbcf4695117e924a54ef78e0
aws-block-balanced-c64-r2,2026-08-15T23:44:56.877665+00:00,aws,af-south-1,block,balanced,2,64,elbencho,64k,20,60,900,125.0,50.0,175.0,2015.0,808.0,2823.0,55.447,,104.504,,49.8,results-sweep/raw/aws-block-balanced-c64-r2.elbencho.csv,2d8232ac9d530aef4641d6bbc92dd034805afdd430d6b6355f2e57a5f111b19e
aws-object-balanced-c01-r3,2026-08-17T20:00:04.979651+00:00,aws,af-south-1,object,balanced,3,1,elbencho,64k,20,60,900,2.0,2.0,4.0,41.0,38.0,79.0,25.085,,39.554,,0.6,results-sweep/raw/aws-object-balanced-c01-r3.elbencho.csv,eec5c36ed2de626d4a2ba9a4a8776a87e11055bf92bea025b5fc74d4a7e21d68
aws-block-balanced-c64-r1,2026-08-16T00:20:01.841678+00:00,aws,af-south-1,block,balanced,1,64,elbencho,64k,20,60,900,125.0,50.0,175.0,2015.0,815.0,2830.0,55.323,,98.304,,49.9,results-sweep/raw/aws-block-balanced-c64-r1.elbencho.csv,42e924c704b49c84a61c7cd20a91995383ec73f84531494524c3d868ebc2de1c
