Linux 6.8.0-1061-aws (ip-10-42-1-14) 	08/15/26 	_x86_64_	(4 CPU)

19:17:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:17:26     all    0.75    0.00    0.25   24.13    0.00    0.00    0.00    0.00    0.00   74.88
19:17:27     all    0.25    0.00    0.25   24.37    0.00    0.00    0.00    0.00    0.00   75.13
19:17:28     all    0.50    0.00    0.00   24.31    0.00    0.00    0.00    0.00    0.00   75.19
19:17:29     all    0.50    0.00    0.25   24.25    0.00    0.00    0.00    0.00    0.00   75.00
19:17:30     all    0.50    0.00    0.00   24.37    0.00    0.00    0.00    0.00    0.00   75.13
19:17:31     all    0.25    0.00    0.25   24.56    0.00    0.00    0.00    0.00    0.00   74.94
19:17:32     all    0.00    0.00    0.25   24.43    0.00    0.00    0.00    0.00    0.00   75.31
19:17:33     all    0.25    0.00    0.25   24.12    0.00    0.00    0.00    0.00    0.00   75.38
19:17:34     all    0.50    0.00    0.00   24.50    0.00    0.00    0.00    0.00    0.00   75.00
19:17:35     all    0.50    0.00    0.00   24.31    0.00    0.00    0.00    0.00    0.00   75.19
19:17:36     all    0.50    0.00    0.25   24.44    0.00    0.00    0.00    0.00    0.00   74.81
19:17:37     all    0.25    0.00    0.25   24.31    0.00    0.00    0.00    0.00    0.00   75.19
19:17:38     all    0.50    0.00    0.00   24.31    0.00    0.00    0.00    0.00    0.00   75.19
19:17:39     all    0.25    0.00    0.25   24.31    0.00    0.00    0.00    0.00    0.00   75.19
19:17:40     all    0.25    0.00    0.00   24.56    0.00    0.00    0.00    0.00    0.00   75.19
19:17:41     all    0.50    0.00    0.25   24.25    0.00    0.00    0.00    0.00    0.00   75.00
19:17:42     all    0.25    0.00    0.25   24.62    0.00    0.00    0.00    0.00    0.00   74.87
19:17:43     all    0.50    0.00    0.25   24.25    0.00    0.00    0.00    0.00    0.00   75.00
19:17:44     all    0.50    0.00    0.00   24.31    0.00    0.00    0.00    0.00    0.00   75.19
19:17:45     all    0.50    0.00    0.00   24.50    0.00    0.00    0.00    0.00    0.00   75.00
19:17:46     all    0.25    0.00    0.25   24.37    0.00    0.00    0.00    0.00    0.00   75.13
19:17:47     all    0.25    0.00    0.00   24.37    0.00    0.00    0.00    0.00    0.00   75.38
19:17:48     all    0.25    0.00    0.25   24.37    0.00    0.00    0.00    0.00    0.00   75.13
19:17:49     all    0.50    0.00    0.25   24.25    0.00    0.00    0.00    0.00    0.00   75.00
19:17:50     all    0.25    0.00    0.25   24.50    0.00    0.00    0.00    0.00    0.00   75.00
19:17:51     all    0.50    0.00    0.00   24.37    0.00    0.00    0.00    0.00    0.00   75.13
19:17:52     all    0.75    0.00    0.25   24.19    0.00    0.00    0.00    0.00    0.00   74.81
19:17:53     all    0.00    0.00    0.00   24.43    0.00    0.00    0.00    0.00    0.00   75.57
