Linux 6.8.0-1061-aws (ip-10-42-1-14) 	08/17/26 	_x86_64_	(4 CPU)

20:15:57     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:15:58     all    0.75    0.00    0.00   24.06    0.00    0.00    0.00    0.00    0.00   75.19
20:15:59     all    0.25    0.00    0.25   24.31    0.00    0.00    0.00    0.00    0.00   75.19
20:16:00     all    0.50    0.00    0.25   24.25    0.00    0.00    0.25    0.00    0.00   74.75
20:16:01     all    0.00    0.00    0.25   24.62    0.00    0.00    0.00    0.00    0.00   75.13
20:16:02     all    0.50    0.00    0.00   24.31    0.00    0.00    0.00    0.00    0.00   75.19
20:16:03     all    0.25    0.00    0.25   24.31    0.00    0.00    0.00    0.00    0.00   75.19
20:16:04     all    0.50    0.00    0.25   24.31    0.00    0.00    0.00    0.00    0.00   74.94
20:16:05     all    0.50    0.00    0.00   24.31    0.00    0.00    0.00    0.00    0.00   75.19
20:16:06     all    0.25    0.00    0.25   24.56    0.00    0.00    0.00    0.00    0.00   74.94
20:16:07     all    0.25    0.00    0.00   24.37    0.00    0.00    0.00    0.00    0.00   75.38
20:16:08     all    0.50    0.00    0.25   24.31    0.00    0.00    0.00    0.00    0.00   74.94
20:16:09     all    0.25    0.00    0.00   24.56    0.00    0.00    0.00    0.00    0.00   75.19
20:16:10     all    0.50    0.00    0.25   24.31    0.00    0.00    0.00    0.00    0.00   74.94
20:16:11     all    0.25    0.00    0.25   24.37    0.00    0.00    0.00    0.00    0.00   75.13
20:16:12     all    0.50    0.00    0.25   24.31    0.00    0.00    0.00    0.00    0.00   74.94
20:16:13     all    0.25    0.00    0.00   24.43    0.00    0.00    0.00    0.00    0.00   75.31
20:16:14     all    0.50    0.00    0.25   24.44    0.00    0.00    0.00    0.00    0.00   74.81
20:16:15     all    0.25    0.00    0.00   24.37    0.00    0.00    0.00    0.00    0.00   75.38
20:16:16     all    0.50    0.00    0.25   24.25    0.00    0.00    0.00    0.00    0.00   75.00
20:16:17     all    0.25    0.00    0.00   24.37    0.00    0.00    0.00    0.00    0.00   75.38
20:16:18     all    0.25    0.00    0.25   24.31    0.00    0.00    0.00    0.00    0.00   75.19
20:16:19     all    0.50    0.00    0.00   24.50    0.00    0.00    0.00    0.00    0.00   75.00
20:16:20     all    0.25    0.00    0.25   24.37    0.00    0.00    0.00    0.00    0.00   75.13
20:16:21     all    0.00    0.00    0.00   24.62    0.00    0.00    0.00    0.00    0.00   75.38
20:16:22     all    0.00    0.00    0.25   24.56    0.00    0.00    0.00    0.00    0.00   75.19
20:16:23     all    0.00    0.00    0.00   24.62    0.00    0.00    0.00    0.00    0.00   75.38
20:16:24     all    0.00    0.00    0.25   24.56    0.00    0.00    0.00    0.00    0.00   75.19
20:16:25     all    0.00    0.00    0.25   24.94    0.00    0.00    0.00    0.00    0.00   74.81
20:16:26     all    0.00    0.00    0.00   24.62    0.00    0.00    0.00    0.00    0.00   75.38
20:16:27     all    0.00    0.00    0.25   24.37    0.00    0.00    0.00    0.00    0.00   75.38
20:16:28     all    0.00    0.00    0.00   24.62    0.00    0.00    0.00    0.00    0.00   75.38
20:16:29     all    0.25    0.00    0.00   24.75    0.00    0.00    0.00    0.00    0.00   75.00
20:16:30     all    0.00    0.00    0.25   24.62    0.00    0.00    0.00    0.00    0.00   75.13
20:16:31     all    0.00    0.00    0.25   24.50    0.00    0.00    0.00    0.00    0.00   75.25
20:16:32     all    0.00    0.00    0.00   24.62    0.00    0.00    0.00    0.00    0.00   75.38
20:16:33     all    0.00    0.00    0.00   24.62    0.00    0.00    0.00    0.00    0.00   75.38
20:16:34     all    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00   99.50
20:16:35     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:16:36     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:16:37     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:16:38     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:16:39     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:16:40     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:16:41     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:16:42     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:16:43     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
