Linux 6.8.0-1061-aws (ip-10-42-1-14) 	08/16/26 	_x86_64_	(4 CPU)

06:04:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:04:07     all    0.25    0.00    0.25   24.50    0.00    0.00    0.00    0.00    0.00   75.00
06:04:08     all    0.00    0.00    0.00   24.87    0.00    0.00    0.00    0.00    0.00   75.13
06:04:09     all    0.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00   75.00
06:04:10     all    0.00    0.00    0.00   24.81    0.00    0.00    0.00    0.00    0.00   75.19
06:04:11     all    0.00    0.00    0.25   24.94    0.00    0.00    0.00    0.00    0.00   74.81
06:04:12     all    0.00    0.00    0.25   27.57    0.00    0.00    0.00    0.00    0.00   72.18
06:04:13     all    0.00    0.00    0.00   24.81    0.00    0.00    0.00    0.00    0.00   75.19
06:04:14     all    0.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00   75.00
06:04:15     all    0.00    0.00    0.00   24.81    0.00    0.00    0.00    0.00    0.00   75.19
06:04:16     all    0.00    0.00    0.00   25.00    0.00    0.00    0.25    0.00    0.00   74.75
06:04:17     all    0.00    0.00    0.00   24.81    0.00    0.00    0.00    0.00    0.00   75.19
06:04:18     all    0.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00   75.00
06:04:19     all    0.25    0.00    0.00   24.75    0.00    0.00    0.00    0.00    0.00   75.00
06:04:20     all    0.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00   75.00
06:04:21     all    0.00    0.00    0.50   24.75    0.00    0.00    0.00    0.00    0.00   74.75
06:04:22     all    0.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00   75.00
06:04:23     all    0.00    0.00    0.00   27.32    0.00    0.00    0.00    0.00    0.00   72.68
06:04:24     all    0.00    0.00    0.50   24.88    0.00    0.00    0.00    0.00    0.00   74.63
06:04:25     all    0.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00   75.00
06:04:26     all    0.00    0.00    0.00   24.87    0.00    0.00    0.00    0.00    0.00   75.13
06:04:27     all    0.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00   75.00
06:04:28     all    0.00    0.00    0.00   26.82    0.00    0.00    0.00    0.00    0.00   73.18
06:04:29     all    0.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00   75.00
06:04:30     all    0.00    0.00    0.25   24.81    0.00    0.00    0.00    0.00    0.00   74.94
06:04:31     all    0.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00   75.00
06:04:32     all    0.00    0.00    0.00   24.81    0.00    0.00    0.00    0.00    0.00   75.19
06:04:33     all    0.00    0.00    0.00   26.75    0.00    0.00    0.00    0.00    0.00   73.25
06:04:34     all    0.00    0.00    0.00   24.81    0.00    0.00    0.00    0.00    0.00   75.19
06:04:35     all    0.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00   75.00
06:04:36     all    0.25    0.00    0.25   24.88    0.00    0.00    0.00    0.00    0.00   74.63
06:04:37     all    0.00    0.00    0.00   24.81    0.00    0.00    0.00    0.00    0.00   75.19
06:04:38     all    0.00    0.00    0.00   26.38    0.00    0.00    0.00    0.00    0.00   73.62
06:04:39     all    0.00    0.00    0.00   24.81    0.00    0.00    0.00    0.00    0.00   75.19
06:04:40     all    0.00    0.00    0.25   24.94    0.00    0.00    0.00    0.00    0.00   74.81
06:04:41     all    0.00    0.00    0.00   24.81    0.00    0.00    0.00    0.00    0.00   75.19
06:04:42     all    0.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00   75.00
06:04:43     all    0.00    0.00    0.00   25.81    0.00    0.00    0.00    0.00    0.00   74.19
06:04:44     all    0.00    0.00    0.25   24.94    0.00    0.00    0.00    0.00    0.00   74.81
06:04:45     all    0.00    0.00    0.00   24.87    0.00    0.00    0.00    0.00    0.00   75.13
06:04:46     all    0.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00   75.00
06:04:47     all    0.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00   75.00
06:04:48     all    0.00    0.00    0.00   26.32    0.00    0.00    0.00    0.00    0.00   73.68
06:04:49     all    0.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00   75.00
06:04:50     all    0.00    0.00    0.00   24.81    0.00    0.00    0.00    0.00    0.00   75.19
06:04:51     all    0.00    0.00    0.25   25.00    0.00    0.00    0.00    0.00    0.00   74.75
06:04:52     all    0.00    0.00    0.00   24.81    0.00    0.00    0.00    0.00    0.00   75.19
06:04:53     all    0.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00   75.00
06:04:54     all    0.00    0.00    0.00   24.81    0.00    0.00    0.00    0.00    0.00   75.19
