Linux 6.8.0-1061-aws (ip-10-42-1-14) 	08/15/26 	_x86_64_	(4 CPU)

14:30:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:30:20     all   47.06    0.00    8.18    0.00    0.00    2.56    0.00    0.00    0.00   42.20
14:30:21     all   43.91    0.00    2.79    0.00    0.00    2.54    0.00    0.00    0.00   50.76
14:30:22     all   47.96    0.00    3.32    0.00    0.00    2.55    0.00    0.00    0.00   46.17
14:30:23     all   43.18    0.00    3.03    0.00    0.00    3.03    0.00    0.00    0.00   50.76
14:30:24     all   44.36    0.00    3.33    0.00    0.00    2.05    0.00    0.00    0.00   50.26
14:30:25     all   47.61    0.00    3.27    0.00    0.00    3.27    0.00    0.00    0.00   45.84
14:30:26     all   44.50    0.00    3.07    0.00    0.00    2.05    0.00    0.00    0.00   50.38
14:30:27     all   44.05    0.00    3.04    0.00    0.00    3.80    0.00    0.00    0.00   49.11
14:30:28     all   46.56    0.00    3.56    0.00    0.00    2.54    0.00    0.00    0.00   47.33
14:30:29     all   43.48    0.00    3.32    0.00    0.00    2.30    0.00    0.00    0.00   50.90
14:30:30     all   46.31    0.00    2.80    0.00    0.00    3.31    0.00    0.00    0.00   47.58
14:30:31     all   45.20    0.00    4.04    0.00    0.00    3.03    0.00    0.00    0.00   47.73
14:30:32     all   45.01    0.00    3.32    0.26    0.00    2.56    0.00    0.00    0.00   48.85
14:30:33     all   46.06    0.00    3.82    0.00    0.00    2.80    0.00    0.00    0.00   47.33
14:30:34     all   43.26    0.00    3.31    0.00    0.00    2.29    0.00    0.00    0.00   51.15
14:30:35     all   43.91    0.00    3.81    0.00    0.00    3.05    0.00    0.00    0.00   49.24
14:30:36     all   45.78    0.00    3.32    0.00    0.00    2.56    0.00    0.00    0.00   48.34
14:30:37     all   42.42    0.00    2.83    0.00    0.00    2.31    0.00    0.00    0.00   52.44
14:30:38     all   44.86    0.00    3.51    0.25    0.00    3.01    0.00    0.00    0.00   48.37
14:30:39     all   45.62    0.00    3.09    0.00    0.00    2.32    0.00    0.00    0.00   48.97
14:30:40     all   43.58    0.00    3.53    0.00    0.00    2.77    0.00    0.00    0.00   50.13
14:30:41     all   44.90    0.00    2.81    0.00    0.00    3.06    0.00    0.00    0.00   49.23
14:30:42     all   45.69    0.00    3.30    0.00    0.00    3.05    0.00    0.00    0.00   47.97
14:30:43     all   45.96    0.00    3.03    0.00    0.00    3.03    0.00    0.00    0.00   47.98
14:30:44     all   44.56    0.00    3.04    0.00    0.00    3.04    0.00    0.00    0.00   49.37
14:30:45     all   43.73    0.00    3.07    0.00    0.00    2.05    0.00    0.00    0.00   51.15
