Linux 6.8.0-1061-aws (ip-10-42-1-14) 	08/15/26 	_x86_64_	(4 CPU)

23:24:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:24:53     all    4.82    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.16
23:24:54     all    3.80    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   95.19
23:24:55     all    4.07    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.91
23:24:56     all    3.32    0.00    0.77    0.00    0.00    0.26    0.00    0.00    0.00   95.65
23:24:57     all    4.04    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   94.70
23:24:58     all    3.30    0.00    1.02    0.00    0.00    0.51    0.00    0.00    0.00   95.18
23:24:59     all    3.57    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.41
23:25:00     all    4.01    0.00    0.50    0.00    0.00    1.00    0.00    0.00    0.00   94.49
23:25:01     all    3.54    0.00    1.26    0.00    0.00    0.51    0.00    0.00    0.00   94.70
23:25:02     all    4.05    0.00    0.76    0.25    0.00    0.51    0.00    0.00    0.00   94.43
23:25:03     all    3.56    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   95.17
23:25:04     all    4.29    0.00    0.51    0.00    0.00    0.76    0.00    0.00    0.00   94.44
23:25:05     all    4.06    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   95.18
23:25:06     all    3.80    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   94.94
23:25:07     all    4.07    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   95.17
23:25:08     all    4.07    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   94.91
23:25:09     all    3.30    0.00    1.02    0.00    0.00    0.25    0.00    0.00    0.00   95.43
23:25:10     all    4.06    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   94.67
23:25:11     all    4.06    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   94.92
23:25:12     all    4.05    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   94.68
23:25:13     all    3.57    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.41
23:25:14     all    3.57    0.00    0.77    0.26    0.00    0.00    0.00    0.00    0.00   95.41
23:25:15     all    3.06    0.00    1.02    0.00    0.00    0.26    0.00    0.00    0.00   95.66
23:25:16     all    3.59    0.00    0.77    0.00    0.00    0.26    0.00    0.00    0.00   95.38
23:25:17     all    4.31    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.67
23:25:18     all    3.07    0.00    1.02    0.00    0.00    0.26    0.00    0.00    0.00   95.65
23:25:19     all    3.81    0.00    1.27    0.00    0.00    0.00    0.00    0.00    0.00   94.92
23:25:20     all    3.76    0.00    0.75    0.00    0.00    1.00    0.00    0.00    0.00   94.49
23:25:21     all    3.81    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   95.18
23:25:22     all    4.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.94
23:25:23     all    4.30    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   94.68
23:25:24     all    3.54    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   95.19
23:25:25     all    4.26    0.00    0.75    0.00    0.00    0.75    0.00    0.00    0.00   94.24
23:25:26     all    3.56    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   95.42
23:25:27     all    3.54    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   95.19
23:25:28     all    3.82    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   95.67
23:25:29     all    4.07    0.00    0.51    0.25    0.00    0.00    0.00    0.00    0.00   95.17
23:25:30     all    3.31    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   95.67
23:25:31     all    3.82    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   95.42
23:25:32     all    3.05    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.93
23:25:33     all    3.81    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   95.43
23:25:34     all    3.55    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   95.69
23:25:35     all    4.05    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   94.94
23:25:36     all    3.59    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   95.90
23:25:37     all    3.31    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   95.67
23:25:38     all    3.31    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.67
23:25:39     all    3.54    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   94.95
23:25:40     all    3.05    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   95.93
23:25:41     all    3.81    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   95.69
23:25:42     all    3.81    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   95.18
23:25:43     all    3.57    0.00    0.77    0.00    0.00    0.00    0.00    0.00    0.00   95.66
23:25:44     all    4.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.94
23:25:45     all    3.55    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   95.43
23:25:46     all    3.83    0.00    1.02    0.00    0.00    0.26    0.00    0.00    0.00   94.90
23:25:47     all    3.83    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   95.66
23:25:48     all    4.55    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   94.19
23:25:49     all    4.34    0.00    0.77    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:25:50     all    3.83    0.00    0.77    0.00    0.00    0.00    0.00    0.00    0.00   95.41
23:25:51     all    3.81    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   95.18
23:25:52     all    4.29    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   94.70
23:25:53     all    3.79    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   94.95
23:25:54     all    4.08    0.00    1.02    0.00    0.00    0.26    0.00    0.00    0.00   94.64
23:25:55     all    4.07    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   95.17
23:25:56     all    4.06    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   95.18
23:25:57     all    3.32    0.00    1.02    0.00    0.00    0.26    0.00    0.00    0.00   95.40
