run_id,timestamp_utc,provider,region,paradigm,workload,rep,concurrency,tool,block_size,dataset_size_gb,warmup_s,duration_s,read_throughput_mbps,write_throughput_mbps,total_throughput_mbps,read_iops,write_iops,total_iops,lat_mean_ms,lat_p95_ms,lat_p99_ms,metadata_ops_per_s,cpu_util_pct,raw_artifact_path,raw_sha256
azure-file-largeobj-c04-r2,2026-08-15T13:33:43.035971+00:00,azure,southafricanorth,file,largeobj,2,4,elbencho,16m,40,60,900,240.0,,240.0,15.0,,15.0,263.283,,440.872,,8.5,results-sweep/raw/azure-file-largeobj-c04-r2.elbencho.csv,4a4eae1055dafb7483cd2961f4acc915041288457adfab5906f00dbe673806a2
azure-file-largeobj-c64-r2,2026-08-15T13:44:03.993833+00:00,azure,southafricanorth,file,largeobj,2,64,elbencho,16m,40,60,900,214.0,,214.0,13.0,,13.0,4496.149,,7053.95,,43.4,results-sweep/raw/azure-file-largeobj-c64-r2.elbencho.csv,98feb9e3e6a3838947e6b2ad9135536f9f339da33429cfbf9a5910db1a90407b
azure-block-largeobj-c16-r3,2026-08-15T13:57:35.988685+00:00,azure,southafricanorth,block,largeobj,3,16,elbencho,16m,40,60,900,140.0,,140.0,8.0,,8.0,1817.841,,2965.821,,96.8,results-sweep/raw/azure-block-largeobj-c16-r3.elbencho.csv,858b1f1d0674b9c5217fd1ac78f4e3bfed77ffa166250db1946f1bc1c6b930ea
azure-file-balanced-c04-r2,2026-08-15T14:36:16.112725+00:00,azure,southafricanorth,file,balanced,2,4,elbencho,64k,20,60,900,37.0,56.0,93.0,605.0,896.0,1501.0,5.532,,11.759,,4.2,results-sweep/raw/azure-file-balanced-c04-r2.elbencho.csv,f3865e21ea2f6ec92b0e95f6a7fc2d752c377c4f1cb0128731c9d1e3faac6851
azure-file-balanced-c64-r2,2026-08-15T14:43:40.454293+00:00,azure,southafricanorth,file,balanced,2,64,elbencho,64k,20,60,900,236.0,183.0,419.0,3779.0,2937.0,6716.0,19.314,,74.593,,15.0,results-sweep/raw/azure-file-balanced-c64-r2.elbencho.csv,f2f5b688ce82d403dcefd4e05e710955bf4fc964cb3690b3f86429b876240c48
azure-block-balanced-c01-r1,2026-08-17T18:44:43.079126+00:00,azure,southafricanorth,block,balanced,1,1,elbencho,64k,20,60,1200,24.0,28.0,52.0,398.0,454.0,852.0,2.368,,5.332,,22.2,results-sweep/raw/azure-block-balanced-c01-r1.elbencho.csv,b27931bb70cbd9c0a49d36589042dee2f7a770c24a0494bfd25479a6756411cf
azure-block-largeobj-c64-r2,2026-08-15T15:39:07.622188+00:00,azure,southafricanorth,block,largeobj,2,64,elbencho,16m,40,60,900,144.0,,144.0,9.0,,9.0,5216.505,,33554.432,,96.7,results-sweep/raw/azure-block-largeobj-c64-r2.elbencho.csv,352e8b07b0ccf2ceec19aa9ab2c458021453861a1cb797645f60ff05221dc8a7
azure-block-largeobj-c01-r2,2026-08-15T15:52:16.701098+00:00,azure,southafricanorth,block,largeobj,2,1,elbencho,16m,40,60,900,145.0,,145.0,9.0,,9.0,109.617,,185.364,,24.3,results-sweep/raw/azure-block-largeobj-c01-r2.elbencho.csv,7b9a9898b001d527cbd6b1be3ef5aa024f61594b709588db718a1e2b51898add
azure-file-largeobj-c16-r2,2026-08-15T16:43:48.571865+00:00,azure,southafricanorth,file,largeobj,2,16,elbencho,16m,40,60,900,222.0,,222.0,13.0,,13.0,1100.762,,2097.152,,8.4,results-sweep/raw/azure-file-largeobj-c16-r2.elbencho.csv,523d86a75e4717359e2344ccbbee0618b3e71266740302613b136580e1f68c9f
azure-block-largeobj-c04-r1,2026-08-15T16:56:59.336820+00:00,azure,southafricanorth,block,largeobj,1,4,elbencho,16m,40,60,900,141.0,,141.0,8.0,,8.0,452.522,,741.455,,95.3,results-sweep/raw/azure-block-largeobj-c04-r1.elbencho.csv,d2334f293730e661ac9d0fb867a3c6319b0c0a03776806d463a8e511abc68253
