Linux 6.8.0-1064-azure (csb-bench-host-azure) 	08/17/26 	_x86_64_	(4 CPU)

19:44:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:44:55     all    0.25    0.00    0.25   95.69    0.00    0.25    0.00    0.00    0.00    3.55
19:44:56     all    1.00    0.00    1.00   97.25    0.00    0.25    0.00    0.00    0.00    0.50
19:44:57     all    1.01    0.00    0.25   98.74    0.00    0.00    0.00    0.00    0.00    0.00
19:44:58     all    0.50    0.00    0.50   96.73    0.00    0.25    0.00    0.00    0.00    2.01
19:44:59     all    0.75    0.00    1.00   96.50    0.00    0.25    0.00    0.00    0.00    1.50
19:45:00     all    0.76    0.00    0.50   98.74    0.00    0.00    0.00    0.00    0.00    0.00
19:45:01     all    1.01    0.00    0.25   98.24    0.00    0.25    0.00    0.00    0.00    0.25
19:45:02     all    0.76    0.00    0.76   97.73    0.00    0.50    0.00    0.00    0.00    0.25
19:45:03     all    0.75    0.00    0.50   97.74    0.00    0.25    0.00    0.00    0.00    0.75
19:45:04     all    1.25    0.00    0.75   96.49    0.00    0.25    0.00    0.00    0.00    1.25
19:45:05     all    0.50    0.00    0.50   97.73    0.00    0.25    0.00    0.00    0.00    1.01
19:45:06     all    0.75    0.00    0.50   98.49    0.00    0.25    0.00    0.00    0.00    0.00
19:45:07     all    0.75    0.00    0.50   98.50    0.00    0.25    0.00    0.00    0.00    0.00
19:45:08     all    0.25    0.00    0.51   99.24    0.00    0.00    0.00    0.00    0.00    0.00
19:45:09     all    1.25    0.00    0.50   97.75    0.00    0.50    0.00    0.00    0.00    0.00
19:45:10     all    0.50    0.00    0.25   98.99    0.00    0.25    0.00    0.00    0.00    0.00
19:45:11     all    0.51    0.00    0.00   99.49    0.00    0.00    0.00    0.00    0.00    0.00
19:45:12     all    0.50    0.00    0.50   98.74    0.00    0.25    0.00    0.00    0.00    0.00
19:45:13     all    0.75    0.00    0.25   98.49    0.00    0.00    0.00    0.00    0.00    0.50
19:45:14     all    0.50    0.00    1.00   98.25    0.00    0.25    0.00    0.00    0.00    0.00
19:45:15     all    0.76    0.00    0.00   97.46    0.00    0.00    0.00    0.00    0.00    1.78
19:45:16     all    0.50    0.00    0.75   97.24    0.00    0.25    0.00    0.00    0.00    1.25
19:45:17     all    1.01    0.00    0.25   98.49    0.00    0.25    0.00    0.00    0.00    0.00
19:45:18     all    0.75    0.00    0.25   97.74    0.00    0.25    0.00    0.00    0.00    1.00
19:45:19     all    0.75    0.00    0.50   98.25    0.00    0.50    0.00    0.00    0.00    0.00
19:45:20     all    0.75    0.00    0.50   96.98    0.00    0.00    0.00    0.00    0.00    1.76
19:45:21     all    0.76    0.00    0.25   98.74    0.00    0.25    0.00    0.00    0.00    0.00
19:45:22     all    0.75    0.00    0.50   97.99    0.00    0.25    0.00    0.00    0.00    0.50
19:45:23     all    0.75    0.00    0.25   98.74    0.00    0.25    0.00    0.00    0.00    0.00
19:45:24     all    0.75    0.00    0.75   98.25    0.00    0.25    0.00    0.00    0.00    0.00
19:45:25     all    0.25    0.00    0.00   99.24    0.00    0.25    0.00    0.00    0.00    0.25
19:45:26     all    0.75    0.00    0.50   97.24    0.00    0.25    0.00    0.00    0.00    1.25
19:45:27     all    0.76    0.00    0.25   97.98    0.00    0.00    0.00    0.00    0.00    1.01
19:45:28     all    0.75    0.00    0.25   98.74    0.00    0.25    0.00    0.00    0.00    0.00
19:45:29     all    0.50    0.00    0.50   95.99    0.00    0.50    0.00    0.00    0.00    2.51
19:45:30     all    0.76    0.00    0.25   96.97    0.00    0.25    0.00    0.00    0.00    1.77
19:45:31     all    0.75    0.00    0.75   98.25    0.00    0.25    0.00    0.00    0.00    0.00
19:45:32     all    0.50    0.00    0.50   96.47    0.00    0.25    0.00    0.00    0.00    2.27
19:45:33     all    0.75    0.00    0.75   97.74    0.00    0.00    0.00    0.00    0.00    0.75
19:45:34     all    0.76    0.00    0.25   98.74    0.00    0.25    0.00    0.00    0.00    0.00
19:45:35     all    1.00    0.00    1.50   92.98    0.00    0.50    0.00    0.00    0.00    4.01
19:45:36     all    0.76    0.00    0.00   99.24    0.00    0.00    0.00    0.00    0.00    0.00
19:45:37     all    0.50    0.00    0.25   98.99    0.00    0.25    0.00    0.00    0.00    0.00
19:45:38     all    1.24    0.00    0.75   97.76    0.00    0.25    0.00    0.00    0.00    0.00
19:45:39     all    0.50    0.00    0.50   97.49    0.00    0.25    0.00    0.00    0.00    1.25
19:45:40     all    1.01    0.00    0.25   96.48    0.00    0.25    0.00    0.00    0.00    2.01
19:45:41     all    0.51    0.00    0.51   96.72    0.00    0.00    0.00    0.00    0.00    2.27
19:45:42     all    1.01    0.00    0.25   97.49    0.00    0.25    0.00    0.00    0.00    1.01
19:45:43     all    0.50    0.00    0.75   98.74    0.00    0.00    0.00    0.00    0.00    0.00
19:45:44     all    0.75    0.00    0.25   96.99    0.00    0.25    0.00    0.00    0.00    1.75
19:45:45     all    0.75    0.00    0.75   95.99    0.00    0.50    0.00    0.00    0.00    2.01
19:45:46     all    0.51    0.00    0.00   99.24    0.00    0.25    0.00    0.00    0.00    0.00
19:45:47     all    0.76    0.00    0.50   98.74    0.00    0.00    0.00    0.00    0.00    0.00
19:45:48     all    0.50    0.00    0.75   98.50    0.00    0.25    0.00    0.00    0.00    0.00
