Linux 6.8.0-1064-azure (csb-bench-host-azure) 	08/15/26 	_x86_64_	(4 CPU)

23:41:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:41:39     all    0.75    0.00    0.75   97.25    0.00    0.00    0.00    0.00    0.00    1.25
23:41:40     all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
23:41:41     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
23:41:42     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:41:43     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
23:41:44     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
23:41:45     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
23:41:46     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
23:41:47     all    0.25    0.00    0.25   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:41:48     all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
23:41:49     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
23:41:50     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
23:41:51     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
23:41:52     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
23:41:53     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
23:41:54     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
23:41:55     all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
23:41:56     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
23:41:57     all    0.25    0.00    0.00   97.24    0.00    0.00    0.00    0.00    0.00    2.51
23:41:58     all    0.25    0.00    0.50   74.38    0.00    0.00    0.00    0.00    0.00   24.88
23:41:59     all    0.00    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   25.06
23:42:00     all    0.25    0.00    0.25   74.50    0.00    0.25    0.00    0.00    0.00   24.75
23:42:01     all    0.00    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   25.06
23:42:02     all    0.00    0.00    0.00   75.00    0.00    0.00    0.00    0.00    0.00   25.00
23:42:03     all    0.00    0.00    0.00   75.13    0.00    0.00    0.00    0.00    0.00   24.87
23:42:04     all    0.00    0.00    0.00   75.00    0.00    0.00    0.00    0.00    0.00   25.00
23:42:05     all    0.00    0.00    0.00   74.81    0.00    0.00    0.00    0.00    0.00   25.19
23:42:06     all    0.25    0.00    0.25   74.63    0.00    0.00    0.00    0.00    0.00   24.88
23:42:07     all    0.25    0.00    0.25   74.81    0.00    0.00    0.00    0.00    0.00   24.69
23:42:08     all    0.00    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   25.06
23:42:09     all    0.00    0.00    0.00   75.19    0.00    0.00    0.00    0.00    0.00   24.81
23:42:10     all    0.00    0.00    0.25   74.62    0.00    0.00    0.00    0.00    0.00   25.13
23:42:11     all    0.00    0.00    0.00   75.00    0.00    0.00    0.00    0.00    0.00   25.00
23:42:12     all    0.25    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   24.81
23:42:13     all    0.00    0.00    0.25   74.81    0.00    0.00    0.00    0.00    0.00   24.94
23:42:14     all    0.00    0.00    0.00   74.87    0.00    0.00    0.00    0.00    0.00   25.13
23:42:15     all    0.25    0.00    0.00   74.75    0.00    0.00    0.00    0.00    0.00   25.00
23:42:16     all    0.00    0.00    0.25   75.00    0.00    0.00    0.00    0.00    0.00   24.75
23:42:17     all    0.25    0.00    0.00   74.75    0.00    0.00    0.00    0.00    0.00   25.00
23:42:18     all    0.00    0.00    0.00   75.19    0.00    0.00    0.00    0.00    0.00   24.81
23:42:19     all    0.25    0.00    0.00   74.69    0.00    0.00    0.00    0.00    0.00   25.06
23:42:20     all    0.00    0.00    0.25   74.75    0.00    0.00    0.00    0.00    0.00   25.00
23:42:21     all    0.00    0.00    0.25   74.81    0.00    0.00    0.00    0.00    0.00   24.94
23:42:22     all    0.00    0.00    0.00   75.13    0.00    0.00    0.00    0.00    0.00   24.87
23:42:23     all    0.00    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   25.06
23:42:24     all    0.00    0.00    0.00   74.87    0.00    0.00    0.00    0.00    0.00   25.13
23:42:25     all    0.00    0.00    0.25   75.00    0.00    0.00    0.00    0.00    0.00   24.75
23:42:26     all    0.00    0.00    0.25   74.75    0.00    0.00    0.00    0.00    0.00   25.00
23:42:27     all    0.00    0.00    0.00   75.19    0.00    0.00    0.00    0.00    0.00   24.81
23:42:28     all    0.00    0.00    0.25   74.75    0.00    0.00    0.00    0.00    0.00   25.00
