Linux 6.8.0-1064-azure (csb-bench-host-azure) 	08/17/26 	_x86_64_	(4 CPU)

18:47:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:47:51     all    0.76    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   98.23
18:47:52     all    0.25    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.73
18:47:53     all    0.25    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.74
18:47:54     all    0.25    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   98.23
18:47:55     all    0.25    0.00    0.51    1.27    0.00    0.00    0.00    0.00    0.00   97.96
18:47:56     all    0.25    0.00    1.01    0.00    0.00    0.51    0.00    0.00    0.00   98.23
18:47:57     all    0.50    0.00    0.75    0.00    0.00    0.75    0.00    0.00    0.00   98.00
18:47:58     all    0.00    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   98.48
18:47:59     all    0.25    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   98.48
18:48:00     all    0.50    0.00    0.50    0.00    0.00    0.75    0.00    0.00    0.00   98.25
18:48:01     all    0.00    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   98.74
18:48:02     all    0.00    0.00    0.76    0.00    0.00    0.50    0.00    0.00    0.00   98.74
18:48:03     all    0.50    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   97.98
18:48:04     all    0.25    0.00    1.00    0.00    0.00    0.75    0.00    0.00    0.00   98.00
18:48:05     all    0.25    0.00    0.75    0.50    0.00    0.50    0.00    0.00    0.00   97.99
18:48:06     all    0.25    0.00    1.01    0.00    0.00    0.51    0.00    0.00    0.00   98.23
18:48:07     all    0.50    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   98.74
18:48:08     all    0.50    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   98.24
18:48:09     all    0.00    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   98.74
18:48:10     all    0.25    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.74
18:48:11     all    0.25    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   98.48
18:48:12     all    0.25    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   98.49
18:48:13     all    0.25    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   98.24
18:48:14     all    0.25    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   98.50
18:48:15     all    0.25    0.00    1.25    0.50    0.00    0.50    0.00    0.00    0.00   97.50
18:48:16     all    0.00    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   98.49
18:48:17     all    0.50    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.74
18:48:18     all    0.00    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   98.49
18:48:19     all    0.25    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   98.74
18:48:20     all    0.25    0.00    1.25    0.00    0.00    0.50    0.00    0.00    0.00   97.99
18:48:21     all    0.50    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   98.49
18:48:22     all    0.50    0.00    0.76    0.00    0.00    0.50    0.00    0.00    0.00   98.24
18:48:23     all    0.50    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   98.50
18:48:24     all    0.25    0.00    1.50    0.25    0.00    0.50    0.00    0.00    0.00   97.50
18:48:25     all    0.25    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   98.73
18:48:26     all    0.51    0.00    1.26    0.00    0.00    0.00    0.00    0.00    0.00   98.23
18:48:27     all    0.25    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   98.74
