Linux 6.8.0-1064-azure (csb-bench-host-azure) 	08/16/26 	_x86_64_	(4 CPU)

08:22:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:23:00     all    9.90    0.00   38.86    0.00    0.00    7.67    0.00    0.00    0.00   43.56
08:23:01     all    0.00    0.00    2.76    0.00    0.00    0.50    0.00    0.00    0.00   96.74
08:23:02     all    0.00    0.00   24.37    0.00    0.00    5.53    0.00    0.00    0.00   70.10
08:23:03     all    0.00    0.00   19.59    0.00    0.00    3.56    0.00    0.00    0.00   76.84
08:23:04     all    0.00    0.00   21.32    0.51    0.00    5.84    0.00    0.00    0.00   72.34
08:23:05     all    0.00    0.00   20.56    0.00    0.00    4.31    0.00    0.00    0.00   75.13
08:23:06     all    0.00    0.00   21.97    0.00    0.00    5.30    0.00    0.00    0.00   72.73
08:23:07     all    0.00    0.00   17.35    0.00    0.00    3.83    0.00    0.00    0.00   78.83
08:23:08     all    0.00    0.00   19.90    0.00    0.00    5.47    0.00    0.00    0.00   74.63
08:23:09     all    0.00    0.00   11.36    0.00    0.00    3.03    0.00    0.00    0.00   85.61
08:23:10     all    0.25    0.00   18.84    0.00    0.00    4.52    0.00    0.00    0.00   76.38
08:23:11     all    0.00    0.00   17.79    0.00    0.00    5.01    0.00    0.00    0.00   77.19
08:23:12     all    0.00    0.00    5.57    0.00    0.00    4.30    0.00    0.00    0.00   90.13
08:23:13     all    0.25    0.00    4.98    0.00    0.00    3.23    0.00    0.00    0.00   91.54
08:23:14     all    0.51    0.00    6.85    0.00    0.00    3.55    0.00    0.00    0.00   89.09
08:23:15     all    0.00    0.00    9.77    0.25    0.00    3.51    0.00    0.00    0.00   86.47
08:23:16     all    0.00    0.00   24.24    0.00    0.00    6.82    0.00    0.00    0.00   68.94
08:23:17     all    0.25    0.00   15.21    0.00    0.00    3.99    0.00    0.00    0.00   80.55
