Linux 6.8.0-1064-azure (csb-bench-host-azure) 	08/18/26 	_x86_64_	(4 CPU)

02:10:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:10:02     all   84.89    0.00    6.30    0.00    0.00    1.51    0.00    0.00    0.00    7.30
02:10:03     all   75.13    0.00    2.28    0.00    0.00    3.05    0.00    0.00    0.00   19.54
02:10:04     all   75.97    0.00    2.58    0.00    0.00    2.58    0.00    0.00    0.00   18.86
02:10:05     all   77.81    0.00    2.30    0.00    0.00    2.81    0.00    0.00    0.00   17.09
02:10:06     all   78.92    0.00    2.31    0.00    0.00    2.83    0.00    0.00    0.00   15.94
02:10:07     all   75.13    0.00    3.05    0.00    0.00    2.79    0.00    0.00    0.00   19.04
02:10:08     all   74.55    0.00    1.53    0.00    0.00    3.05    0.00    0.00    0.00   20.87
02:10:09     all   74.62    0.00    3.05    0.00    0.00    2.79    0.00    0.00    0.00   19.54
02:10:10     all   75.70    0.00    2.28    0.00    0.00    3.80    0.00    0.00    0.00   18.23
02:10:11     all   77.16    0.00    2.54    0.00    0.00    3.05    0.00    0.00    0.00   17.26
02:10:12     all   74.18    0.00    2.53    0.00    0.00    3.04    0.00    0.00    0.00   20.25
02:10:13     all   73.92    0.00    2.78    0.00    0.00    3.04    0.00    0.00    0.00   20.25
02:10:14     all   74.68    0.00    2.30    0.26    0.00    3.07    0.00    0.00    0.00   19.69
02:10:15     all   74.87    0.00    2.79    0.00    0.00    2.54    0.00    0.00    0.00   19.80
02:10:16     all   76.44    0.00    2.76    0.00    0.00    3.51    0.00    0.00    0.00   17.29
02:10:17     all   75.00    0.00    2.55    0.00    0.00    2.81    0.00    0.00    0.00   19.64
02:10:18     all   76.53    0.00    2.30    0.00    0.00    3.06    0.00    0.00    0.00   18.11
02:10:19     all   74.87    0.00    2.26    0.00    0.00    4.02    0.00    0.00    0.00   18.84
02:10:20     all   75.83    0.00    2.54    0.25    0.00    2.80    0.00    0.00    0.00   18.58
02:10:21     all   73.35    0.00    2.28    0.00    0.00    3.55    0.00    0.00    0.00   20.81
02:10:22     all   73.99    0.00    2.53    0.00    0.00    2.78    0.00    0.00    0.00   20.71
02:10:23     all   72.04    0.00    2.77    0.00    0.00    3.02    0.00    0.00    0.00   22.17
02:10:24     all   70.96    0.00    2.27    0.00    0.00    3.28    0.00    0.00    0.00   23.48
02:10:25     all   72.59    0.00    2.54    0.00    0.00    3.05    0.00    0.00    0.00   21.83
02:10:26     all   73.23    0.00    2.27    0.00    0.00    3.28    0.00    0.00    0.00   21.21
02:10:27     all   75.31    0.00    2.27    0.00    0.00    3.27    0.00    0.00    0.00   19.14
02:10:28     all   73.40    0.00    2.30    0.00    0.00    3.32    0.00    0.00    0.00   20.97
02:10:29     all   75.51    0.00    2.53    0.00    0.00    3.03    0.00    0.00    0.00   18.94
02:10:30     all   74.94    0.00    2.78    0.00    0.00    3.04    0.00    0.00    0.00   19.24
02:10:31     all   75.32    0.00    1.78    0.00    0.00    2.80    0.00    0.00    0.00   20.10
02:10:32     all   74.05    0.00    2.29    0.00    0.00    2.80    0.00    0.00    0.00   20.87
02:10:33     all   73.35    0.00    2.28    0.00    0.00    3.55    0.00    0.00    0.00   20.81
02:10:34     all   75.31    0.00    2.52    0.00    0.00    2.52    0.00    0.00    0.00   19.65
02:10:35     all   76.08    0.00    2.29    0.00    0.00    3.05    0.00    0.00    0.00   18.58
02:10:36     all   74.68    0.00    2.28    0.00    0.00    2.78    0.00    0.00    0.00   20.25
02:10:37     all   75.06    0.00    4.07    0.00    0.00    2.80    0.00    0.00    0.00   18.07
02:10:38     all   74.24    0.00    2.53    0.00    0.00    2.78    0.00    0.00    0.00   20.45
02:10:39     all   74.43    0.00    2.28    0.00    0.00    3.04    0.00    0.00    0.00   20.25
02:10:40     all   75.13    0.00    2.54    0.00    0.00    2.54    0.00    0.00    0.00   19.80
02:10:41     all   73.67    0.00    2.53    0.00    0.00    3.04    0.00    0.00    0.00   20.76
02:10:42     all   76.41    0.00    1.79    0.00    0.00    2.82    0.00    0.00    0.00   18.97
02:10:43     all   75.57    0.00    3.02    0.00    0.00    3.02    0.00    0.00    0.00   18.39
02:10:44     all   76.08    0.00    2.29    0.00    0.00    3.05    0.00    0.00    0.00   18.58
02:10:45     all   74.49    0.00    2.81    0.00    0.00    2.81    0.00    0.00    0.00   19.90
02:10:46     all   75.19    0.00    2.53    0.00    0.00    3.04    0.00    0.00    0.00   19.24
02:10:47     all   73.10    0.00    2.28    0.00    0.00    3.05    0.00    0.00    0.00   21.57
02:10:48     all   76.26    0.00    2.27    0.00    0.00    3.28    0.00    0.00    0.00   18.18
02:10:49     all   76.65    0.00    2.03    0.00    0.00    2.79    0.00    0.00    0.00   18.53
02:10:50     all   77.47    0.00    3.04    0.00    0.00    3.04    0.00    0.00    0.00   16.46
02:10:51     all   77.41    0.00    2.28    0.00    0.00    3.55    0.00    0.00    0.00   16.75
02:10:52     all   76.40    0.00    2.28    0.00    0.00    3.05    0.00    0.00    0.00   18.27
02:10:53     all   74.94    0.00    2.53    0.00    0.00    3.04    0.00    0.00    0.00   19.49
