Linux 6.8.0-1064-azure (csb-bench-host-azure) 	08/19/26 	_x86_64_	(4 CPU)

19:07:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:07:09     all   70.15    0.00   12.44    0.00    0.00   11.69    0.00    0.00    0.00    5.72
19:07:10     all   76.50    0.00   10.00    0.00    0.00   13.50    0.00    0.00    0.00    0.00
19:07:11     all   41.15    0.00   48.88    0.00    0.00    9.98    0.00    0.00    0.00    0.00
19:07:12     all   83.25    0.00    4.68    0.00    0.00   12.07    0.00    0.00    0.00    0.00
19:07:13     all   60.20    0.00    3.57    0.00    0.00    9.44    0.00    0.00    0.00   26.79
19:07:14     all    6.01    0.00    2.87    0.00    0.00    6.27    0.00    0.00    0.00   84.86
19:07:15     all    4.94    0.00    3.12    0.00    0.00    5.97    0.00    0.00    0.00   85.97
19:07:16     all    6.32    0.00    2.11    0.00    0.00    5.26    0.00    0.00    0.00   86.32
19:07:17     all    5.76    0.00    2.36    0.00    0.00    5.50    0.00    0.00    0.00   86.39
19:07:18     all    6.02    0.00    3.14    0.00    0.00    5.50    0.00    0.00    0.00   85.34
19:07:19     all    5.60    0.00    2.40    0.00    0.00    4.27    0.00    0.00    0.00   87.73
19:07:20     all    6.32    0.00    2.11    0.00    0.00    5.00    0.00    0.00    0.00   86.58
19:07:21     all    6.30    0.00    2.62    0.00    0.00    4.99    0.00    0.00    0.00   86.09
19:07:22     all    5.80    0.00    2.90    0.00    0.00    5.54    0.00    0.00    0.00   85.75
19:07:23     all    5.32    0.00    2.93    0.00    0.00    4.26    0.00    0.00    0.00   87.50
19:07:24     all    6.04    0.00    2.89    0.00    0.00    5.51    0.00    0.00    0.00   85.56
19:07:25     all    6.07    0.00    2.11    0.00    0.00    5.80    0.00    0.00    0.00   86.02
19:07:26     all    6.33    0.00    3.17    0.00    0.00    5.01    0.00    0.00    0.00   85.49
19:07:27     all    4.71    0.00    2.62    0.00    0.00    5.24    0.00    0.00    0.00   87.43
19:07:28     all    6.84    0.00    2.37    0.53    0.00    5.26    0.00    0.00    0.00   85.00
19:07:29     all    6.82    0.00    2.62    0.00    0.00    5.77    0.00    0.00    0.00   84.78
19:07:30     all    5.85    0.00    2.39    0.00    0.00    5.05    0.00    0.00    0.00   86.70
19:07:31     all    6.25    0.00    2.60    0.00    0.00    4.95    0.00    0.00    0.00   86.20
19:07:32     all    5.82    0.00    2.38    0.00    0.00    5.03    0.00    0.00    0.00   86.77
19:07:33     all    5.94    0.00    2.84    0.00    0.00    6.20    0.00    0.00    0.00   85.01
19:07:34     all    7.09    0.00    1.84    0.00    0.00    4.46    0.00    0.00    0.00   86.61
19:07:35     all    5.73    0.00    2.86    0.00    0.00    4.69    0.00    0.00    0.00   86.72
19:07:36     all    5.56    0.00    2.12    0.00    0.00    3.70    0.00    0.00    0.00   88.62
19:07:37     all    5.59    0.00    2.93    0.00    0.00    3.72    0.00    0.00    0.00   87.77
19:07:38     all    5.99    0.00    2.34    0.00    0.00    5.21    0.00    0.00    0.00   86.46
19:07:39     all    4.74    0.00    3.42    0.00    0.00    3.95    0.00    0.00    0.00   87.89
19:07:40     all    6.28    0.00    2.88    0.00    0.00    4.19    0.00    0.00    0.00   86.65
19:07:41     all    5.56    0.00    2.65    0.00    0.00    3.97    0.00    0.00    0.00   87.83
19:07:42     all    5.79    0.00    2.37    0.00    0.00    3.95    0.00    0.00    0.00   87.89
19:07:43     all    5.59    0.00    2.13    0.00    0.00    3.72    0.00    0.00    0.00   88.56
19:07:44     all    5.79    0.00    2.89    0.00    0.00    4.21    0.00    0.00    0.00   87.11
19:07:45     all    6.01    0.00    2.61    0.26    0.00    3.92    0.00    0.00    0.00   87.21
19:07:46     all    5.48    0.00    2.35    0.00    0.00    4.44    0.00    0.00    0.00   87.73
19:07:47     all    7.12    0.00    2.37    0.00    0.00    3.69    0.00    0.00    0.00   86.81
19:07:48     all    6.99    0.00    2.85    0.00    0.00    4.40    0.00    0.00    0.00   85.75
