run_id,timestamp_utc,provider,region,paradigm,workload,rep,concurrency,tool,block_size,dataset_size_gb,warmup_s,duration_s,read_throughput_mbps,write_throughput_mbps,total_throughput_mbps,read_iops,write_iops,total_iops,lat_mean_ms,lat_p95_ms,lat_p99_ms,metadata_ops_per_s,cpu_util_pct,raw_artifact_path,raw_sha256
gcp-file-largeobj-c04-r2,2026-08-15T13:53:16.380691+00:00,gcp,africa-south1,file,largeobj,2,4,elbencho,16m,40,60,900,138.0,,138.0,8.0,,8.0,461.492,,741.455,,2.5,results-sweep/raw/gcp-file-largeobj-c04-r2.elbencho.csv,3d74224739ec2098d223c4aa31f48e97c9d3bde114b6faed85a189ec5436858a
gcp-file-largeobj-c64-r2,2026-08-15T14:12:03.238503+00:00,gcp,africa-south1,file,largeobj,2,64,elbencho,16m,40,60,900,170.0,,170.0,10.0,,10.0,4830.077,,19951.585,,3.6,results-sweep/raw/gcp-file-largeobj-c64-r2.elbencho.csv,980e6a0ce0d30faf44fda5b198c93a3ca06006cf60138dbdfc6201df16070957
gcp-block-largeobj-c16-r3,2026-08-15T14:20:09.696268+00:00,gcp,africa-south1,block,largeobj,3,16,elbencho,16m,40,60,900,239.0,,239.0,14.0,,14.0,1063.027,,1246.974,,93.3,results-sweep/raw/gcp-block-largeobj-c16-r3.elbencho.csv,98d48684de274f15ef6cce2c48481a51937a1b0def2230181c09d7b2905b0bc1
gcp-file-balanced-c04-r2,2026-08-15T14:33:44.603350+00:00,gcp,africa-south1,file,balanced,2,4,elbencho,64k,20,60,900,555.0,105.0,660.0,8895.0,1681.0,10576.0,1.413,,3.496,,11.6,results-sweep/raw/gcp-file-balanced-c04-r2.elbencho.csv,0edd74f94d49628fca921dae08abe1d8ef5379bca15141989834c37d680e7b5f
gcp-file-balanced-c64-r2,2026-08-15T14:46:27.701370+00:00,gcp,africa-south1,file,balanced,2,64,elbencho,64k,20,60,900,988.0,96.0,1084.0,15819.0,1543.0,17362.0,22.728,,48.71,,9.6,results-sweep/raw/gcp-file-balanced-c64-r2.elbencho.csv,ebfc4b19819439ecc9fdc91cef7ac883aad14517c88d5390c56e0c684281a0f4
gcp-block-balanced-c01-r1,2026-08-15T14:56:06.811649+00:00,gcp,africa-south1,block,balanced,1,1,elbencho,64k,20,60,900,111.0,81.0,192.0,1776.0,1301.0,3077.0,0.664,,1.121,,24.0,results-sweep/raw/gcp-block-balanced-c01-r1.elbencho.csv,bb81ce945e3b5c2e4d0a7f53cbee5f40c607c80bf568f53dae24a5ab12c2bc9d
gcp-block-largeobj-c64-r2,2026-08-15T15:04:36.252514+00:00,gcp,africa-south1,block,largeobj,2,64,elbencho,16m,40,60,900,237.0,,237.0,14.0,,14.0,4231.085,,4987.896,,94.8,results-sweep/raw/gcp-block-largeobj-c64-r2.elbencho.csv,3805c6bc64eabd700a7c372d0b48fb426ff61356f8d9681b9ec7b4d7b4904abf
gcp-block-largeobj-c01-r2,2026-08-15T15:12:40.458691+00:00,gcp,africa-south1,block,largeobj,2,1,elbencho,16m,40,60,900,240.0,,240.0,15.0,,15.0,66.644,,77.936,,24.0,results-sweep/raw/gcp-block-largeobj-c01-r2.elbencho.csv,6af9966967efb8789e8e62a7398be452ee9f245b3c49c4d87c0db533675f3ca2
gcp-file-largeobj-c16-r2,2026-08-15T15:32:08.008683+00:00,gcp,africa-south1,file,largeobj,2,16,elbencho,16m,40,60,900,168.0,,168.0,10.0,,10.0,1520.616,,4987.896,,3.1,results-sweep/raw/gcp-file-largeobj-c16-r2.elbencho.csv,2fd427b08b9e86728e6a4e48db2ffa5c462d81cf442dc0bacb2977a9ec8692e9
gcp-block-largeobj-c04-r1,2026-08-15T15:40:14.721961+00:00,gcp,africa-south1,block,largeobj,1,4,elbencho,16m,40,60,900,239.0,,239.0,14.0,,14.0,266.511,,311.744,,81.2,results-sweep/raw/gcp-block-largeobj-c04-r1.elbencho.csv,8679572b939f07a91b5bce625087664a00869a396c591da6efde9e54189d5282
